Compound	Compoundlemma	Linking	N1	N1type	N2
Vogelpaar	Vogelpaar	0	Vogel	#	Paar
Vogelschwärme	Vogelschwarm	0	Vogel	#	Schwarm
Vogelgruppen	Vogelgruppe	0	Vogel	#	Gruppe
Vogelschwarm	Vogelschwarm	0	Vogel	#	Schwarm
Vogelschwarms	Vogelschwarm	0	Vogel	#	Schwarm
Vogelscharen	Vogelschar	0	Vogel	#	Schar
Vogelheeren	Vogelheer	0	Vogel	#	Heer
Handwechsel	Handwechsel	0	Hand	#e	Wechsel
Zahnwechsel	Zahnwechsel	0	Zahn	#e	Wechsel
Ballverteiler	Ballverteiler	0	Ball	#e	Verteiler
Buchgemeinschaft	Buchgemeinschaft	0	Buch	#er	Gemeinschaft
Buchhändler	Buchhändler	0	Buch	#er	Händler
Buchgesellschaft	Buchgesellschaft	0	Buch	#er	Gesellschaft
Buchreihe	Buchreihe	0	Buch	#er	Reihe
Buchsammlung	Buchsammlung	0	Buch	#er	Sammlung
Hausgemeinschaft	Hausgemeinschaft	0	Haus	#er	Gemeinschaft
Hauskreis	Hauskreis	0	Haus	#er	Kreis
Badgruppe	Badgruppe	0	Bad	#er	Gruppe
Badserie	Badserie	0	Bad	#er	Serie
Radwechsel	Radwechsel	0	Rad	#er	Wechsel
Radteams	Radteam	0	Rad	#er	Team
Radgruppen	Radgruppe	0	Rad	#er	Gruppe
Radunion	Radunion	0	Rad	#er	Union
Radstaffel	Radstaffel	0	Rad	#er	Staffel
Radteam	Radteam	0	Rad	#er	Team
Schlossaustausch	Schlossaustausch	0	Schloss	#er	Austausch
Schlossverein	Schlossverein	0	Schloss	#er	Verein
Wurmzyklus	Wurmzyklus	0	Wurm	#er	Zyklus
Wurmwelle	Wurmwelle	0	Wurm	#er	Welle
Wurmwechsel	Wurmwechsel	0	Wurm	#er	Wechsel
Wurmbündel	Wurmbündel	0	Wurm	#er	Bündel
Wurmwellen	Wurmwelle	0	Wurm	#er	Welle
Hundverein	Hundverein	0	Hund	e	Verein
Hundflut	Hundflut	0	Hund	e	Flut
Gerätauswahl	Gerätauswahl	0	Gerät	e	Auswahl
Gerätwechsel	Gerätwechsel	0	Gerät	e	Wechsel
Gerätzusammenstellung	Gerätzusammenstellung	0	Gerät	e	Zusammenstellung
Gerätkombinationen	Gerätkombination	0	Gerät	e	Kombination
Gerätkombination	Gerätkombination	0	Gerät	e	Kombination
Wegkreuze	Wegkreuze	0	Weg	e	Kreuze
Wegkreuz	Wegkreuz	0	Weg	e	Kreuz
Weggabelung	Weggabelung	0	Weg	e	Gabelung
Wegnetz	Wegnetz	0	Weg	e	Netz
Wegkreuzung	Wegkreuzung	0	Weg	e	Kreuzung
Wegkreuzungen	Wegkreuzung	0	Weg	e	Kreuzung
Wegscheiden	Wegscheide	0	Weg	e	Scheide
Wegkreuzes	Wegkreuze	0	Weg	e	Kreuze
Weggemeinde	Weggemeinde	0	Weg	e	Gemeinde
Weggemeinschaft	Weggemeinschaft	0	Weg	e	Gemeinschaft
Wegverzweigungen	Wegverzweigung	0	Weg	e	Verzweigung
Weggabelungen	Weggabelung	0	Weg	e	Gabelung
Weggabel	Weggabel	0	Weg	e	Gabel
Geschenkauswahl	Geschenkauswahl	0	Geschenk	e	Auswahl
Geschenkberge	Geschenkberg	0	Geschenk	e	Berg
Geschenkkollektion	Geschenkkollektion	0	Geschenk	e	Kollektion
Geschenkliste	Geschenkliste	0	Geschenk	e	Liste
Produktreihe	Produktreihe	0	Produkt	e	Reihe
Produktgruppe	Produktgruppe	0	Produkt	e	Gruppe
Produktkatalog	Produktkatalog	0	Produkt	e	Katalog
Produktfluss	Produktfluss	0	Produkt	e	Fluss
Produktserie	Produktserie	0	Produkt	e	Serie
Produktliste	Produktliste	0	Produkt	e	Liste
Produktlisten	Produktliste	0	Produkt	e	Liste
Produktzyklen	Produktzyklus	0	Produkt	e	Zyklus
Produktdatenbank	Produktdatenbank	0	Produkt	e	Datenbank
Produktkataloge	Produktkatalog	0	Produkt	e	Katalog
Briefwechsel	Briefwechsel	0	Brief	e	Wechsel
Briefwechsels	Briefwechsel	0	Brief	e	Wechsel
Briefverteilung	Briefverteilung	0	Brief	e	Verteilung
Briefalbum	Briefalbum	0	Brief	e	Album
Briefbände	Briefband	0	Brief	e	Band
Briefsammlung	Briefsammlung	0	Brief	e	Sammlung
Briefband	Briefband	0	Brief	e	Band
Briefauswahl	Briefauswahl	0	Brief	e	Auswahl
Kindgruppe	Kindgruppe	0	Kind	er	Gruppe
Kindklasse	Kindklasse	0	Kind	er	Klasse
Bildsammlungen	Bildsammlung	0	Bild	er	Sammlung
Bildessay	Bildessay	0	Bild	er	Essay
Bildvergleich	Bildvergleich	0	Bild	er	Vergleich
Bildstrecken	Bildstrecke	0	Bild	er	Strecke
Bildverzeichnisses	Bildverzeichnis	0	Bild	er	Verzeichnis
Bilddatenbank	Bilddatenbank	0	Bild	er	Datenbank
Bildreihe	Bildreihe	0	Bild	er	Reihe
Bildfolge	Bildfolge	0	Bild	er	Folge
Bildstrecke	Bildstrecke	0	Bild	er	Strecke
Bildwechseln	Bildwechsel	0	Bild	er	Wechsel
Liedauswahl	Liedauswahl	0	Lied	er	Auswahl
Liedfolge	Liedfolge	0	Lied	er	Folge
Liedzyklen	Liedzyklus	0	Lied	er	Zyklus
Liedzyklus	Liedzyklus	0	Lied	er	Zyklus
Liedsammlungen	Liedsammlung	0	Lied	er	Sammlung
