N1	F_LE	HAPAX_LE	F_NLE	HAPAX_NLE
Apfel	30	26	602	317
Auge	899	421	33	23
Bad	210	107	418	205
Ball	9	6	613	295
Bauer	940	447	109	66
Bett	197	112	417	206
Bild	829	436	2147	858
Brett	101	60	185	111
Brief	17	10	536	237
Buch	725	353	1351	566
Dämon	342	202	12	9
Ei	493	274	349	180
Frau	1772	754	41	25
Gerät	906	439	41	29
Geschenk	142	83	306	163
Gitarre	648	346	28	22
Hand	66	32	1435	657
Haus	273	153	2235	927
Hund	1615	722	134	91
Katze	1130	544	17	15
Kind	2972	1203	150	85
Kunde	1457	610	51	38
Lied	276	144	307	139
Mutter	143	74	659	331
Nagel	15	11	373	194
Ohr	300	169	376	188
Person	700	314	56	40
Produkt	141	93	1562	636
Rad	82	59	1040	452
Schloss	49	30	927	466
Schwert	22	17	341	167
Stadt	441	235	2494	995
Student	733	344	15	14
Vater	136	82	279	153
Vogel	15	11	905	453
Weg	396	192	718	360
Wurm	15	13	251	150
Zahn	34	25	786	335
