DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.rattenforum.de/phpbb/viewtopic.php?topic=207077%26forum=38%26start=0	3fc371483b113c1f9bbda743f88603d7014f	11	Eben , als ich neues Futter und frisches Wasser auffüllen wollte , habe ich eine große Blutspur am Futternapf entdeckt . Auf dem Zeitungspapier auf den Ebenen war nichts zu sehen , allerdings auf den	Apfelästen	waren einige und ganz vereinzelte an den Käfigwänden . Ich habe jede Ratte mit Kästepaste aus ihren Verstecken gelockt und begutachtet , auch die Pfötchen von unten .	Pl	Ind	Apfel	U	0
http://old.glamour.de/glamour/7/2/content/01709/4/index.php	552f4c720b020f5922a890c09ff8d60c2562	3	Dann spielen Sie mit uns und gewinnen Sie zwei Übernachtungen für zwei Personen in dem wundervollen Hotel Hohenwart in Südtirol . Und damit die Erholung perfekt ist , dürfen Sie in einem	Apfelbad	relaxen ! Ihr Gutschein ist gültig bis Mai 2005 und kann je nach Verfügbarkeit direkt beim Hotel eingelöst werden .	Sg	Ind	Apfel	U	0
http://www.genau-dein-obst.de/apfelblog/page/34	2a56dd938e65d789a0a9cca3015f17acdb16	44	Bei schönstem Sonnenschein nimmt Hannes Panter in dieser Woche die letzten Schnittmaßnahmen vor . " Erst jetzt sieht man , wo die Blütenansätze sind und ich kann den Baum genauer beschneiden , " erklärt der junge	Apfelbauer	. Auf den Obstplantagen wachsen zum größten Teil Äpfel .	Sg	Ind	Apfel	U	0
http://blog.solingen-internet.de/totterblotschen/totterblotschen31.html	fa540ade2bbfec78e9a3cb1a54706cd6da5e	60	Zuweilen gibt es aber auch romantische Momente in Solingen ; schon alleine ihres Klanges wegen . Ist die Bezeichnung "	Apfelbaum	" für eine Hofschaft mit kleiner Straße nicht Poesie genug , um Gefühle von wilder Natur zu wecken . Nun ja . Dann lassen Sie diesen doch mal Raum zwischen den Plattenbauten .	Sg	Ind	Apfel	U	0
http://blog.wiwo.de/chefsache/2009/03/14/der-staat-als-beute/comment-page-9	8cd3866b0dd929e9bc7a40904fddb8ae0460	72	Manche Politiker reden ihre Anliegen ohne Not um Kopf und Kragen . The time is now . Yes you can ... 20. März 2009 um 13:08 Ach das mit dem	Apfelbäumchen	und seinem diskontierten Wert nennt sich übrigens in Fachchinesisch Horizont Return Analysis . Ampfelbäumchen finde ich aber anschaulicher 20. März 2009 um 13:01 @Magic Mir scheint , ich habe mich missverständlich ausgedrückt .	Sg	Ind	Apfel	U	0
http://chaineux.de/myforum/archiv/topic_10519.html	9cd0b4471f7679808504c036d7e885340535	172	Er selbst wird es wohl gewusst haben . Da saß denn das liebe Königskind unter einem	Apfelbaume	, und ob sie wohl satt und voll war , dachte sie doch , wenn sie nicht Alles hätte , was sie begehrte , müsse sie gleich sterben , denn sie war eine Prinzessin . Sie schaut zum Apfelbaum hinauf , und sieht so schöne rotbackige Äpfel dort hängen , und bittet den Entführer mit süßen lieben Worten : " Ach wer doch nur ein Paar so schöne Äpfel hätte , damit ich nicht verschmachten müsste .	Sg	Ind	Apfel	U	0
http://seniorenstadt.de/diskussion/archiv4/a71.html	5673ced9c25eddc96525f4523e1f3c68e547	88	" und wenn Du denkst es geht nicht mehr , kommt von irgendwo ein Lichtlein her ! " Zweimal Reiner Kunze für Dich : Beschneiden der	Apfelbäume	im Winter Mit den ihren kappe ich alle zweige in mir die hoch hinauswollen Von neuem auf die augen setzend Und auf die äste nach außen Durch die krone eines apfelbaums muß ein mann mit korb hindurchgehn können , sagen die alten gärtner Und übergroßes leid und übergroße freude müssen hindurchgehn können durch uns * * * ... Spuren gibt 's in uns die zu sichern nur wir selbst vermögen So es einem von uns gegeben ist , abdrücke zu nehmen von solcher winzigkeit Und ein mädchen das nicht aus noch ein weiß wird dann plötzlich weiterleben wollen und ein wirklicher leser wird sagen : Noch immer gibt es gedichte * * * aus " auf eigene hoffnung " Reiner Kunze , Fischer Verlag Eva antwortete am 17.01.01 ( 10:46 ) : Mit vierzig Jahren ist der Berg erstiegen , Wir stehen still und schau ' n zurück .	Pl	Ind	Apfel	U	0
http://www.dmg-ev.de/gesellschaft/publikationen/dmg-mitteilungen_archiv/1999_4/1999_4.htm	a9801458c2c90d77565d0457e61307aa136d	77	Land - und Forstwirtschaft überziehen große Regionen Italiens , ein Land von 301.000 km² Größe , langgestreckter Form und komplexer Topographie . Die Folge ist eine große Vielfalt des Klimas und folglich auch der Kulturen - von alpinen und kontinentalen Kulturen mit	Apfelbäumen	, Mais und Soja bis zu mediterranen Kulturen mit Oliven und Zitrusfrüchten . Es gibt 150.000 km² landwirtschaftlich genutzte Fläche , 87.000 km² Wälder und 40.000 km² Weiden .	Pl	Ind	Apfel	U	0
http://www.gartenfundus.de/ziergarten.html	945e3b0e9b6b6405399b758fc515d2866019	30	Ein üppiger Blütenflor in flachen Dolden bedeckt den Strauch fast den ganzen Sommer . Einen ganz besonderen Tipp hat Gabriele Lehmann noch fürs Heckensortiment auf Lager : die	Apfelbeere	( Aronia ) . " In Skandinavien ist dies eine typische Heckenpflanze , aber bei uns ist sie noch kaum bekannt " , so die Fachfrau aus dem Norden .	Sg	Ind	Apfel	U	0
http://www.sweetrabbits.de/f101/beitrag-9004-900.html	6473402bf8dda6d8de60b044f96f7aa3d874	60	da mein hasi ja sprechen kann frag ich den^^ was wäre wenn dein hasi dich plötzlich angreifen würde und dich nichtmehr wieder erkennt ? Top Nutzer : Kanin Registriert seit : 14.08.2009 Anzahl Nachrichten : 183 geschrieben am : 08.10.2010 um 18:37 Uhr IP : gespeichert Ich würde versuchen mich mit ihm zu verständigen und alles mit seinem Lieblingsleckerli ( getrocknete	Apfelblätter	) gut zu machen . Was wäre wenn du Nach hause kommst etwas isst dich mit deiner Mutter und Schwester unterhältst und plötzlich bei all der gemütlichkeit erfährst dass eines eurer Tiere gestorben ist ?	Pl	Ind	Apfel	U	0
