DocURL	DocID	SentID	Reste von Hefezopf und Toast , oder Brötchen . Dazu zwischen jede Lage	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.svseibranz.de/Spielberichte_0809/spielbericht_svob-svsII.htm	c5072d8c909d93a1d2466c9b2cb1628651c5	15	Die Führung hielt jedoch nicht lange . Direkt nach der Pause konnten die "	Äpfelpflücker	" mit einer misslungenen Flanke den erneut starken M. Schramm überraschen und zum 2:2 ausgleichen . Der SVS wiederum lies sich durch den erneuten Ausgleich nicht verunsichern und spielte weiterhin mit drei Stürmen munter nach vorne , sodass sich ein abwechslungsreiches Spiel entwickelte .	Pl	Ind	Apfel	U	1
http://www.frag-mutti.de/thema/duschgel+herstellen	1fac6ff24cdf2aa6e15caed5c5ca3c6d520c	71	Wer eine Apfelschneidemaschine hat , der hat in nur wenigen Sekunden super gleichmäßige Kartoffelspalten . Es gibt ja die Apfelschneidemaschine (	Äpfelspalter	) , ... Geschenkkörbchen aus Plastikschalen herstellen Beim Fleischkauf im Discounter ist das Fleisch immer in Schalen verpackt und immer habe ich mich geärgert über den Abfall ...	Sg	Ind	Apfel	U	1
http://www.gudelius.de/ffrlpro.htm	04f15ce50e8dfe267a99920e764c83d72dbf	9	Wintersun wirbelte heran und bohrte den Revolverlauf in Nikitas Bauch . Mit dem Schmerz in seinem Magen nahm er langsam die Autos wahr , die unten am Eagle Point parkten , die vielen Indianer , die dort standen , angeführt von der	Äpfelelite	der Lakota , den ergebenen Bürgern Lance und Lost His Eye , bis hin zu Bluebird , dem Präsidenten und Misty Moon , der Schuldirektorin . " Ich muß kotzen " , keuchte er .	Sg	Ind	Apfel	U	1
http://www.umweltbriefe.de/docs/archiv/20-04txt.htm	19be20e15e19ea06db6807b55cae0f2fed01	13	das Bild zeigt die Mosterei im Jahre 1988 , das Foto zeigt den Hof während der Apfelsaison . 1991 Erwerb einer neuen Fruchtpresse , Teilmodernisierung 1992 Ausscheiden des Mitinhabers Hans Schulz Hans Schulz an der	Äpfelschwemme	während der Apfelsaison . 1994 Sortimentserweiterung und Aufnahme der Gastroflasche 0,2 Liter , Aufbau einer modernen Abfüllanlage 1996 Ausdehnung der Handelsbeziehung durch die Aufnahme der 1,0 Liter Flasche 1997 Sanierung der veralteten Anlagen 1997 bekam die Mosterei einen neuen Anputz .	Sg	Coll	Apfel	U	1
http://forum.kochen-und-geniessen.de/koch-club-f1/k-g-partyhits-nr-3-rezepte-t5819-s15.html	015a6898709e8915eec346229aed08b8d92a	552	Und die Investitionen in " Hardware " sind auch relativ gering , 360 , - Euro für 3 Edelstahl-Einkochautomaten mit Zeitschaltuhr , nochmal ca. 90 , - Euro für Tauchsieder , 50 , - Euro für Rohrmaterial und Schläuche . Und wenn mir mein Nachbar die Sicherungen umsetzt , steht der kommenden Saison außer	Äpfelmangel	nichts mehr im Weg . Und nochmals Danke für Ihre Impulse .	Sg	Ind	Apfel	U	1
http://www.sanseira.de/rb_sue12/rb120522.html	fc4e20f3c73be6dcf6a3730f674b2b79982d	21	Leider hatten die Geschäfte mittags geschlossen , wir wollten Postkarten kaufen . So schmausten wir noch ein Eis unterwegs und wanderten auf der anderen Talseite auf kleinen Straßen an	Äpfelplantagen	vorbei , Richtung Schloss Dornsberg und von dort auf Weg Nummer 1 mal durch Wald , mal an Äpfelbäumen vorbei nach Plaus . Von Plaus war es dann nur noch ein Katzensprung nach Hause .	Pl	Ind	Apfel	U	1
http://www.howa.de/de/trockenfruechte/apfelringe	4e638f84474789446a6db5dae401f9030efb	9	Chilenische Ringäpfel ( Granny Smith ) sind im Schnitt nicht so gleichmäßig wie die Ringe aus China , haben dafür aber mehr Geschmack . Italien liefert ungeschwefelte Ware - sie ist sehr hell , da die	Äpfelringe	mit Zitronensäure und Meersalz behandelt werden . Nährwerte Apfelringe haben pro 100 Gramm ca. 69 g Kohlenhydrate , sowie 1 g Eiweiss , 1,6 g Mineralien und 10 mg Vitamine .	Pl	Ind	Apfel	U	1
http://www.learnweb.de/Staufer/Essen.html	deecf9741a5e5e492dbfb6684c3f1c979986	32	Wir haben außerdem Bratäpfel ausprobiert . Die	Äpfelbutzen	muss man herausschneiden . In die Löcher gibt man dann Nüsse und ein bisschen Honig .	Pl	Ind	Apfel	U	1
http://www.forher.de/weihnachts-menu-nachspeise-marzipan-bratapfel	0d886fdcf5871504be126815324aaee56168	8	Auf Apfelviertel einen gehäuften EL von der Füllung geben . Mit den restlichen	Äpfelvierteln	wieder zu ganzen Äpfeln zusammensetzen . Gefüllte Äpfel in vier ofenfeste Portionsförmchen setzen .	Pl	Ind	Apfel	U	1
http://www.humannews.de/meldungen/aktuell/beitrag/hinter-der-depression-steckt-geballte-energie	ffe7814e3e7ed3027ab4b32abfa0958da6ad	12	Dies ist bei uns eine sehr wichtige Standartmaßnahme . Zuerst werden alle Zwetschgenbestände , dann alle Birnen - ( seltener ) und dann alle	Äpfelbestände	gründlich " ertragsreguliert " . Sehr zeitaufwändig , aber unverzichtbar .	Pl	Coll	Apfel	U	1
http://www.haushalt-wohnen.de/scheiterhaufen-t16088.html	f1f2025b96b03379eb1156e19f3799188c9c	16	Reste von Hefezopf und Toast , oder Brötchen . Dazu zwischen jede Lage	Äpfelstückchen	und Rosinen . Am Schluss alles mit einer Milch-Eier-Zucker-Masse übergießen und im Backofen ausbacken .	Pl	Ind	Apfel	U	1
http://literaturlexikon.uni-saarland.de/index.php?id=3563	166b7c77c20554f0a91112f05cc8ab299c19	27	Serpentina , erstmals in Menschengestalt , erzählt ihm die Geschichte ihres Vaters aus Atlantis , die Anselmus aufschreibt ohne es überhaupt zu bemerken . Während er in der poetischen Welt aufzugehen droht , begibt Veronika sich in die Fänge des	Äpfelweibs	und lässt sich von ihr einen magischen Spiegel machen , mit dessen Hilfe sie Anselmus beeinflussen kann . Mit ihm stellt sie seinen treuen Glauben an Serpentina und die magische Welt auf eine harte Probe : Bei einem zufällig wirkenden Besuch bei Paulmanns - der Leser ahnt , dass der magische Spiegel eine Rolle dabei spielt - wirkt der Zauber des Äpfelweibs , und Anselmus scheint es , als sei er immer nur in Veronika verliebt gewesen ( 29 ff. ) .	Sg	Ind	Apfel	U	1
