DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.tgw-online.de/174.html	ba6b55397391f9fe28fe2a31bf66f62f3d26	73	Wesentlich spannender machte es die " Zweite " , die am 13.04.07 in einem denkwürdigen Spiel Erzrivale Ochsenfurt II mit 9 - 2 am HDW deklassierte und dadurch aufgrund des besseren Spielverhältnisses vor Astheim Meister in der 3. Bezirksliga Ost wurde . Dem	Bälleregen	in der Stunde des großen Triumphes stellten sich Johannes Wegmann , Stephan Enser , Christian Pohl , Captain Peter Koch , Bertram Berninger und Orhan Demircan . Auch die " Vierte " war in einem " Herzschlagfinale " erfolgreich .	Sg	Coll	Ball	Ue	1
http://www.tusasbach.de/cgi-bin/NachBericht.pl?team=E2-Jugend%26idx=1319053465	99caa71cf6112ab29dbdef73ac033ca8d284	1	Künste , 1877 , S. 106 ; Adler 17 , 1907 , S. 115 ; Wurzbach ; U.A. Wien . PUBLIKATION : ÖBL 1815 - 1950 , Bd. 1 ( Lfg 3 , 1956 ) , S. 27 f. [ Druckausgabe ( PDF ) ] 19.10.2011 - TUS E 2 - Jugend gg . DJK St. Katharinen 4:3 ( 1:2 ) Erstellt am 19.10.2011 21:44:2 5 - Reads : [ 0219 ] - [ Marcel Konrad ] Pokalspiel gegen DJK St.K gewonnen Spielbericht : Wir freuen uns über den 14. Ball aus dem	Bälleprojekt	2011 und bedanken uns recht herzlich bei den neusten Spendern den Opa 's von Luca Buchholz Patrick Bisch Sabine und Christoph Wilmers Weiterhin freue ich mich sehr über neue Unterstützung im Training . Ab sofort ist auch Manuel Hardt als Trainer in der E 2 dabei .	Sg	Ind	Ball	Ue	1
http://tennisblog.artikelbilliger.de/page/10	928ec59f2be53407a623c745e7a001dfa2cd	70	Die Winter-Abo 's haben begonnen und Sie haben noch keine Bälle besorgt ? - Kein Problem , bei der	Bällewoche	von tennis-world.de können Sie ein echtes Schnäppchen machen ! Aktionstag für die hochwertige Tennisbälle von Marken Herstellern wie Head , Dunlop und Babolat .	Sg	Ind	Ball	Ue	1
http://www.talkteria.de/forum/topic-123178.html	df0856c3eda14e0d0e40cdeb250baa7b3317	21	Die Attraktionen bei diesem Fest sind natürlich nicht so groß wie beim Märchenpark , aber dafür ist der Eintritt eben kostenlos . Es gibt aber in der Regel auch Hüpfburgen ,	Bällepools	, dann können die Kinder mit so Klettanzügen an eine Wand springen und bleiben dort kleben , Kinderschminken , Luftrutschen und noch einiges mehr . : : tournesol : : Beiträge 4391 : : 290.91 Talkpoints : : jetzt anmelden Seite 1 von 1 Link dieser Seite : uriblank Erweiterte Suche Ähnliche Themen : Diätsoftware / Ernährungstagebuch fürs Windows-Handy gesucht 467 mal aufgerufen · 0 Antworten · Forum : Software Tipps gesucht bei Brustentzündung 603 mal aufgerufen · 2 Antworten · Forum : Familie & Kinder Film gesucht : Verunglückte Mannschaft ( wahre Begebenheit ) 622 mal aufgerufen · 3 Antworten · Forum : Film & Fernsehen Semi-Professionelles Mikrofon für PC gesucht 488 mal aufgerufen · 1 Antworten · Forum : Hardware Erfahrungen mit einem Emaille Reparatur Set gesucht 710 mal aufgerufen · 0 Antworten · Forum : Haus & Wohnen Weitere interessante Themen : Suche Film oder Buch über Joybubbles 456 mal aufgerufen · 0 Antworten · Forum : Literatur Laufen alle Programme für Windows XP auch auf Windows 7 ?	Pl	Coll	Ball	Ue	1
http://www.tsv-brannenburg.de/Turnen/bericht_kindersportfest_2005.htm	93bdb90d14a27125451baa94a3721d7cbeb9	8	Anschließend wurde die Halle für alle freigegeben und bald waren die zehn verschiedenen Stationen dicht belagert . Das Ziel war , möglichst viele Punkte zu sammeln , und so musste man Geschicklichkeit , Schnelligkeit und Kraft einsetzen um beim Rückwärts-Weitsprung ,	Bälletransport	, Raupengang oder Seilhangeln Erfolg zu haben . Die lustigste und beliebteste Disziplin war zweifellos das Smarties-Strohhalm-Saugen .	Sg	Ind	Ball	Ue	1
http://fsg.un.in.hagen.de/chronik/chronik07_08/svaktionswoche.html	3a313acc23694f36c525c3c932dccbbd85bf	134	" Zum Teil hatte die Oberstufe daran am meisten Spaß , die Pömpel über den halben Schulhof zu werfen . Bei dem Spiel , bei dem man Bälle in den Betonmischer werfen musste ( wir nennen es jetzt mal	Bällemixen	) , flogen über den ganzen Schulhof Bälle . Auch beim Kastenlauf mit Flaschen ging es lustig zu .	Sg	Coll	Ball	Ue	1
http://forum.torwart.de/de/archive/index.php/t-53521.html	cf47a0e6151d0f5d6abfc270265132541858	411	Ich komme auf insgesamte 7 Bewertungen .	Bälleverteilung	: 5 Bälle : -- 4 Bälle : 1 mal 3 Bälle : 2 mal 2 Bälle : 3 mal 1 Ball : 1 mal Macht unterm imaginären Strich eine Durchschnittsbewertung von : 2.4 Punkten von 5 möglichen . Ziemlich mau , zumindet , wenn man bedenkt dass Spiele wie ManU-Chelsea ( 2007 / 2008 / Rückrunde ) dabei waren in denen Fuss wie so häufig beim englischen Fussball zur Höchstform aufgelaufen ist .	Sg	Coll	Ball	Ue	1
http://forum.ksgemeinde.de/archive/index.php/t-146118.html	d00b89970b8330e5997aa76a6455b02dec82	57	( Allerdings grad Bilder von dem Dicken Freund von Stella ) Im Prinzip ähnlich wie Agillity , mit den gleichen Geräten , Wippe , Tunnel , Sprünge etc. Allerdings langsamer , wir laufen einen Parcour mit Slalom , ner	Bällebox	, Leiter . 06.06.2013 , 07:50 noch ein paar Bilder : Die Trainerin wird dann auch bei passender Gelegenheit geduscht :love: ccb 06.06.2013 , 09:57 Das rote Bild ist ja der Hammer :D - das könnte glatt als Kunst durchgehen ;) Ich hab mich zuerst gefragt wie das bearbeitet ist - aber es ist einfach " nur " der Hund im Tunnel , oder ?	Sg	?	Ball	Ue	1
http://www.schwarzenbach-saale.de/detail4.asp?id=3596%26pm_wgr=51	0167b10c36d4e0945e33d09664e49960ca9b	6	" sagen , weil wir die Turnhalle an den zwei Basarwochenenden nutzen dürfen . " Natürlich wollten die begeistern Kinder von Bademeister Thomas Dietrich wissen , wann denn nun die Neuerwerbungen - " Rettungsplattform " , " Wasserweg " und "	Bälleinsel	" - zukünftig bespielbar seien . " Immer samstags von 11 bis 16 Uhr lassen wir die Spielzeuge zu Wasser " , war die Antwort .	Sg	Ind	Ball	Ue	1
http://www.ballorig.de/uelzen/hygiene-und-sicherheit.html	b355a313dcd22779e5be7a0809ca47218f2b	5	Auch das Spielzeug wird regelmäßig gründlich gereinigt . Die Bälle des	Bällebeckens	werden periodisch gereinigt von einer speziellen Bällewaschmaschine . Sicherheit Wir halten uns an die HACCP Verordnungen und besuchen 1 x im Jahr das dafür angesetzte Seminar .	Sg	Coll	Ball	Ue	1
