DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.marketing-diskussionen.de/werbung/pressemeldungen/Nachrichten/allgemein/page/4	386068c91339d1fb4a7ed5b9093a5054a40d	269	Dies ist eine familiär geführte und auch sehr großzügige Ferienanlage , die im Tiroler Stil gehalten ist . Ursprünglich war dies ein	Bauernanwesen	, und auch heute werden dort noch Produkte erzeugt , die aus der eigenen Landwirtschaft stammen . Das Haus hat eine Rezeption , einen Empfangsbereich , Eingangshalle , Aufenthaltsraum , Lesebereich , TV-Raum mit Video , einen Wintergarten , Stube , Internetcorner und auch WLAN gegen Gebühr im Angebot .	Sg	Ind	Bauer	n	1
http://www.geschichteinchronologie.ch/islam/Haarm5_Aegypten-F-GB-suezkanal-osmanen.htm	2e1a33dbc4a9541011ded2a6ca3228655ad1	182	ab 1815 ca. Ägypten : Landwirtschaftsreformen Wesentliche Verbesserung der Bewässerung -- Ausweitung der landwirtschaftlichen Nutzfläche -- Ausrichtung der Produktion auf den Export -- Einführung neuer Produkte S. 370 ) . Ägyptens Armeeaufbau nach französischem Vorbild mit Marine - Landwirtschaftsreformen , Monopolisierungen und Gegenwehr - ägyptische	Bauernarmee	und Gegenwehr - ägyptische Kollaboration mit Basir II . gegen Drusen - England am Persischen Golf - Ägyptens Besetzung des Sudan - KZ-ähnliche Staatsfabriken in Ägypten und Baumwollwirtschaft - griechische Unabhängigkeitsbewegung und erste europäische Offiziere in der osmanischen Armee - unabhängiges wahhabitisches Riad - muslimische Studenten in Europa - Unabhängigkeit Griechenlands Zusammenfassung Ägypten unter Muhammad ' Ali beginnt mit einem Armeeaufbau nach französischem Vorbild mit einer neuen Handels - und Kriegsmarine .	Sg	Coll	Bauer	n	1
http://forum.express.de/archive/index.php/t-9038.html	b1ef3a621df00f1595793a200d6533a73d21	49	' Judas ' war im Vergleich zur Mönchengladbacher Anhängerschaft der personifizierte Treueschwur . Ich stelle es mir bildlich vor : Erst Spiel in Müngersdorf mit der Mutti besuchen , Köln niederträchtig in bester	Bauernart	' fäkalsprachig ' beschimpfen und danach ab auf die Ringe oder in die Altstadt , endlich Großstadt erleben und genießen . Meine Güte , wie heuchlerisch ... aber damit muss man als Mönchengladbacher erst einmal fertig werden - man ist seinem erbitterten Feind jenseits des sportlichen in jeder Beziehung unterlegen !	Sg	Ind	Bauer	n	1
http://www.oekosozial.at/index.php?id=13320%26L=0%26page=3	88f66fd99a1e7c0c8611b823dfb4b5182ec4	28	Positive Vorbilder motivieren zu besserem Handeln . Deshalb schreibt das Ökosoziale Forum heuer wieder in Andenken an den	Bauernbefreier	Hans Kudlich den Hans-Kudlich-Preis für besondere Leistungen um den ländlichen Raum aus . ORF RadioKulturhaus , Großer Sendesaal 1040 Wien , Argentinierstraße 30 a 7. März 2012 , 18:30 Uhr Visionen für den Wandel " Im Zeitraum " : Über Visionen zum Wandel diskutierten der Kulturwissenschafter Harald Welzer und der Vizepräsident des Ökosozialen Forums Werner Wutscher mit Johannes Kaup .	Sg	Ind	Bauer	n	1
http://www.npla.de/de/poonal/archiv/504	3b4f83c29a33a7ad4ea5d079ccd00d76811e	44	Die Ergebnisse sollen von der Bundesregierung , dem Kongress und den Bauernorganisationen unterschrieben werden . Zehn der 23 Organisationen eines Bündnisses , das sich aus dem Ständigen Agrarkongresses CAP ( Congreso Agrario Permanente ) , der	Bauernbewegung	" El campo no aguanta más " und der landesweiten Bauern - und Vertriebsorganisationen El Barzón zusammen setzt , gaben gestern ( 5.1. ) bekannt , dass sie zu einer Vereinbarung gekommen seien . Nun hoffen sie , damit auch bei der Regierung auf positive Resonanz zu stoßen .	Sg	Coll	Bauer	n	1
http://www.alte-post-holzkirchen.de/gasthof/historisches.html	4f7faa3b8a07d73a58bdd0438b39a96544e7	4	Nach ihm ging das Haus über die Jahre durch mehrere Hände . 1751 wird Anton Grasberger als	Bauernbräu	genannt 1796 erwarb Jacob Holfeld den Bauernbräu und wurde 1812 zum königlichen Postexpeditor ernannt . Sein Sohn Johann nannte 1827 den Bauernbräu in Postbräu um 1865 erwarb Joseph Steingraber aus Höhenkirchen den Postbräu , verstarb jedoch bereits ein Jahr nach dem Kauf .	Sg	Ind	Bauer	n	1
http://www.ploetzblog.de/2014/01/08/leserwunsch-reines-buchweizenbrot-mit-sauerteig-nach-ada-pokorny	0764ed38e91d7afc375fa0937131f492f438	41	Hab gerade erfahren , dass bei uns in Kärnten Buchweizenmehl früher von den Bauern zum Roggenmehl gegeben wurde . Daraus wurde dann unser	Bauernbrot	gebacken . Werde demnächst in meinem Blog ausführlich darüber berichten . lg SAM 8. Januar 2014 um 12:27 So - jetzt hab ich das Rezept : mit einigen Anpassungen werd ich dann herumexperimentieren .	Sg	Ind	Bauer	n	1
http://agso.uni-graz.at/marienthal/chronik/01_1921.htm	e2efde19efd903eae2d486fa691ab4258337	3	Am 24. April 1921 finden in Gramatneusiedl Gemeinderatswahlen statt . Die " Sozialdemokratische Arbeiterpartei " erhält 895 Stimmen , die " Christlichsoziale Wirtschafts - , Gewerbe - , Hausbesitzer - und Bürgerpartei " ( ein Wahlbündnis aus " Christlichsozialer Partei " , " Niederösterreichischem	Bauernbund	" und " Christlichsozialem Volksverband für Niederösterreich " ) 296 Stimmen . Bemerkenswert sind die 51 Stimmen für die " Kommunistische Partei Österreichs " , die im Ort weder über eine Lokalorganisation verfügt noch überhaupt kandidiert .	Sg	Coll	Bauer	n	1
http://www.freefarm.de/kategorie/news/page/5	ca7ec11b8f1af1a9d5ac66177746208a5feb	14	In My Free Farm sind die Gilden nicht als Gilden / Gilde ausgeschrieben , sondern als Bauernclubs . Jedes Mitglied kann ab Level 10 einem Bauernclub beitreten oder gegen den Kaufpreis von 1.500 kT einen	Bauernclub	kaufen und gründen . Dann jedoch muss man einen Bauplatz opfern auf dem der Bauernclub steht .	Sg	Coll	Bauer	n	1
http://www.schachfeld.de/f123/loesungen-bauerndiplom-4247/index2.html	0907c5171873ad330c75eb7b8cc41c722b76	95	bauerndiplom und co bauerndiplom und co : tag ich frage mich ob man irgendwo ... Bauerndiplom usw	Bauerndiplom	usw : Hallo Leute , ich habe mir das Offizielle Buch ... 36 Schachkombinationen mit Lösungen 36 Schachkombinationen mit Lösungen : Ich empfehle euch die Schachkombinationen der ...	Sg	Ind	Bauer	n	1
