DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.amadeus-magazin.de/1063	8a5bab7d4662422d2e7ad25d80a1f410095d	72	Hierdurch erhalten Sie Informationen bezüglich Ausstattung , Sonderausstattung und Verbindungstür . Klicken zum Vergrößern Auftragsdetail - Anzeige Bettplatz-Ausstattung Gemischtes Abteil für osteuropäische Verbindungen In den Funktionen TMF und RES wurde bei Bettreservierungen in Zügen der ehemaligen GUS-Staaten in der Teilmaske " Eingaben Reservierung " ein neues Auswahlfeld für verschiedengeschlechtliche	Bettenabteile	hinzugefügt . Klicken zum Vergrößern " Eingaben Reservierung " - Angabe für gemischtes Bettenabteil Sicherheits-Hinweis bei optionierten Reservierungen am Folgetag Optionsbuchungen für Reservierungsleistungen des Folgetages ( erster Reisetag am nächsten Tag ) müssen von Ihnen storniert oder in eine Festbuchung umgewandelt werden .	Pl	Ind	Bett	en	1
http://powerbook.blogger.de/2009/05/20/445585/sultan-laxeby-frrrrrrrrghhhhh	8e510d7f793c49015527cb4fd529ee5311d9	9	Bei Lattenrost hatte ich eigentlich auch gar keine andere Wahl , verfügt das SULTAN LAXEBY doch über 42 Federhölzer . Mit dem Wisch von dem Fred aus der	Bettenabteilung	bin ich dann noch gut gelaunt zur Kasse und zur Warenauslieferung . Bis hierhin - alles top !	Sg	Ind	Bett	en	1
http://zweinullig.de/and-the-oscar-goes-to-ikea	362019146b3bef2f17865dfd3e8025c7bf3b	3	So könnte man Werbung für die neue Einbauküche direkt neben Brad Pitt projizieren , der vor einer Küchenleiste steht . Oder man könnte in einer Bettszene das aktuelle	Bettenangebot	des Möbelhauses direkt neben den Protagonisten sehen . Mit der Aktion könnte man jegliche Werbung direkt in Film projizieren .	Sg	Ind	Bett	en	1
http://www.uteglaser.de/arbw_heft2_05.htm	beea17c6bc0f0dbe6999935eace43afd17d9	61	" Wir haben HRS als Partner gewonnen " , berichtet Kai Mennigmann . HRS meint " Hotel Reservation Service " , dessen	Bettenangebote	mit der WJT-Internetseite verlinkt sind . Allerdings : Bei Redaktionsschluss wies HRS nur acht Hotels im Rheinisch-Bergischen Kreis aus , wenn der Button " Bergisch Gladbach und 30 Kilometer Umkreis " bei der Hotelsuche angeklickt wurde .	Pl	Ind	Bett	en	1
http://www.wild-east.de/firmen/rueganer/16_05_2001/index3.html	71c6121de509fa112be3a6c422cecfde9b1f	62	Die Art und Weise , wie dies an die Öffentlichkeit gelangte , läßt auch nicht auf einen Versprecher , eine gezielte Indiskretion oder eine Medienente schließen . Angesichts dessen läßt sich die in der vergangenen Woche mehrfach ungläubig gestellte Frage " Kempinski in einer 2000er	Bettenanlage	auf dem Bug ? " zur Zeit mit " Ja " beantworten , zumindest ist das im Augenblick so vorgesehen .	Sg	Ind	Bett	en	1
http://www.klinikum-nuernberg.de/DE/aktuelles/knzeitung/2011/201101/kommunale_kh.html	7697a8dac56c7f979b6547688d1fe0cc4a82	7	Dennoch steht jedes zweite Bett in einer Klinik in öffentlicher Trägerschaft . Der	Bettenanteil	der Privaten beträgt nur 16,5 Prozent . Die öffentlichen Krankenhäuser sind also deutlich größer als die private Konkurrenz und sie sind in der Regel der Daseinsvorsorge verpflichtet .	Sg	Coll	Bett	en	1
http://www.mydays.de/geschenkideen/designhotels	667daeb23a68a91c29eede8efbfd2c2836dc	14	Mach jetzt die Designträume Deiner Liebsten wahr - mit einer Nacht für Zwei in einem unserer fantastischen Designhotels . Die Gäste werden ihren Aufenthalt in einem dieser privat geführten Designhotels mit hochwertiger Zimmerausstattung garantiert genießen : Das einmalige Konzept , die außergewöhnliche Lage sowie eine kleine	Bettenanzahl	bringen ganz bestimmt auch Deine Liebsten zum träumen ! Schließen Träumen in Design für Zwei ( 9 ) Einmaliges Design in den besten Hotels und magische Momente warten auf deine Liebsten !	Sg	Ind	Bett	en	1
http://www.leipzig-online.de/matratzen-arten.html	ff54108a31f854bdbb00f7cbf3a67f15057f	3	Damit das auch passiert , kommt es bei der Wahl der richtigen Matratze auf das individuelle Körpergefühl an . Für die verschiedenen Ansprüche und	Bettenarten	wie beispielsweise Futonbetten gibt es die unterschiedlichsten Matratzen . Der Klassiker ist die Federkernmatratze .	Pl	Ind	Bett	en	1
http://www.klinikum-worms.de/zivildienst-im-klinikum-worms.html	f6b8333ff4adb258f6f31eb9a3022f005f55	3	Patiententransport : Hilfsbedürftige Patienten werden von Station in die jeweiligen Funktionsbereiche ( Röntgen , EKG , etc. ) begleitet . Bettenzentrale : Ver - und Entsorgung von sauberen bzw. benutzten Betten zwischen Station und Bettenzentrale , Mithilfe in der	Bettenaufbereitung	. Pflegebereich : Unterstützung bei der pflegerischen Versorgung der Patienten auf der Station sowie Hol - und Bringedienst innerhalb des Hauses .	Sg	Ind	Bett	en	1
http://www.uniklinik-freiburg.de/onlinemagazin/live/aktuelles/bettzeug.html	2d3238af9e1fcda96aec3f79c5b9346f5538	5	Richtiges Bettzeug für einen erholsamen Schlaf ? ( 31.10.2007 ) Die neue	Bettenauflage	der Firma " TerraPro International AG " verspricht , dass bestehende Beschwerden und Schlafstörungen zurückgehen , die durch störende äußere Einflüsse , wie beispielsweise elektromagnetische Strahlung verursacht werden sollen . Doch stimmen diese Versprechungen wirklich ?	Sg	Ind	Bett	en	1
http://gastgeber-sylt.de/ferienwohnung-westerland-153944.php	50b4994ec91434061945538ea57755a7f00d	25	Bei Buchungen unter 9 Nächten berechnen wir 40.00 Euro für die Endreinigung . Raum - /	Bettenaufteilung	: Die Wohnung teilt sich wie folgt auf : Eine Küche , ein Duschbad , ein Wohnzimmer , ein Doppelschlafzimmer und ein Einzelzimmer . Das Wohnzimmer verfügt über einen Essbereich , einen Kabelflachbild TV , Musikanlage mit CD - Player und für Ferienlektüre sorgt eine Auswahl an Büchern .	Sg	Ind	Bett	en	1
