DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.myrrthronth.de/Lyrics/LunarAurora_Star.htm	c74262ffcc93005f1e894d6bb72c2a1209e1	30	Aus dem Schlafborn Ich wusst ' zu trinken Wo schwarze Welten Troestend winken . Aus	Daemonentraeumen	Ich wusst ' zu lesen Wo gramgebeugte Geister Fleischlos verwesen . Dies ist meine Welt Nicht mehr Und ward es nur in eilig Entgleitenden Stunden .	Pl	Ind	Dämon	en	1
http://www.antichrist-wachtturm.de/print-x.php?kommentare-oktober-2010.xhtml	a85b3f6c019019e88cf13de0f7c714425005	235	Dass du inzwischen lehrst und nicht nur informierst , das kann man zweifelsfrei deinen Kommentaren ... Kommt mir so vor , als würde die WTG ihre	Dämonenabbildungen	mittlerweile zugeben . In einigen Kommentaren von ZJ war das ja schon so gewesen .	Pl	Ind	Dämon	en	1
http://www.gfx-sector.de/Anime-Manga-Talk.t58411.html	2fc3cd73043139217784c269a3c3ec4f6971	97	Ja das wird bestimmt toll . Die	Dämonenaction	sieht sehr ansprechend aus , es sei noch als Gameinformation gesagt , dass jede Woche ein neuer Gegner erscheint und bekämpft werden muss . Hoffentlich wird die Story cool .	Sg	Ind	Dämon	en	1
http://www.abz-nord.de/cms/wissen/akupunkturpunkte/lungenleitbahn/125-lunge-9.html	f8457787ab2bcb31505c63c349b9695b5e09	73	Lu 9 tonisierend genadelt , hebt den Puls an und kann auch bei allgemein schwachen Pulsen genadelt werden , um das Bild zu klären und überhaupt einen Puls zu fühlen . Dämonen ( Gui ) - Punkt : Diese Punktekategorie ist besonders wirksam bei akuten Geisteskrankheiten , Anfallsleiden und Besessenheit , die im alten China als	Dämonenangriffe	betrachtet wurden . Gui Xin = Dämonenherz , ein alternativer Name von Lu 9 , deutet auf eine zentrale Einwirkungsmöglichkeit bei oben genannten Leiden hin .	Pl	Ind	Dämon	en	1
http://www.ulisses-forum.de/archive/index.php/t-443.html	3ff50e9f676b16159017a4135c0e274aaad4	721	Du solltest bei solch einer Offgame-Betrachtung , die in diesem Fall imho einzig sinnvolle Betrachtung , nicht den Fehler machen , x und y gleichzusetzen . Die TP aus z. B. Kampfzaubern sind nämlich definitiv nicht mit jenen aus	Dämonenangriffen	gleichzusetzen . Solch ein Invocatio Minor , um einen Heshthot zu beschwören und in den Kampf zu schicken , kostet schließlich auch nur 14 AsP , richtet jedoch weit mehr als 14 TP an , was gerade einmal ca. 1 Kampfrunde entspräche .	Pl	Ind	Dämon	en	1
http://lamertien.schattenseiten.de/nh/dsa/halledertoten.htm	d17193853e1276b565fa9dba193ccc68cdc0	7	Al ' shir el Maskara Krieger Stufe 12 Spieler : Bernd Abenteuer : Schlacht in den Wolken Starb auf dem Mythraelsfeld bei dem Magnum Opus des Weltenbrandes - sein Körper fing im Innern Feuer , und er ward beim besten Willen nicht mehr zu retten . Borax Zwergenmechanicus Stufe 5 Spieler : David Abenteuer : Die letzten Tage von Ysilia Starb beim Kampf , oder besser gesagt bei der Flucht vor der	Dämonenarche	aus dem Ysili-See . Saronne von Merklensqvist Magierin Stufe 8 Spieler : ich selbst Abenteuer : Goldene Blüten auf blauem Grund Kurz vor dem entgültigen Fall Kurkums , nach dem Kampf gegen den neungehörnten Nirraven , war es sie , die ihr Leben mit einem Balsamsalabunde opferte , um den 3. Gezeichneten vor dem Tode zu bewahren .	Sg	Ind	Dämon	en	1
http://www.ulisses-forum.de/archive/index.php/t-1837.html	437baf1541a5beeb2729778c1795d9fad697	97	Ich habe bisher noch nirgendwo 2 x 4 - Basen zum Kaufen gesehen . 21.10.2008 , 18:20 Für Armalion speziell hergestellt werden ( oder wurden ? ) 2x2 und 2x5 cm-Basen , wobei es eine lästige Diskussion darum gibt , dass letztere laut Regelwerk garnicht verwendet werden dürfen . Es sollten eigentlich 2 x 4 cm sein , die es aber nicht zu kaufen gibt 4 x 4 cm Basen für " große Figuren " gibt es nicht zu kaufen , ebenso wie Basen in " Sondergröße " , wie für Tatzelwürmer ,	Dämonenarchen	etc. Solche Basen kann man aber sehr gut selbst basteln : Es gibt Pappe in den Stärken 2 mm und 3 mm ( Bastelläden oder guter Schreibwarenladen ) .	Pl	Ind	Dämon	en	1
http://www.tabletopwelt.de/forum/archive/index.php/t-36345.html	d7613715a0f7a2fa4aacb5a2a007150a940f	663	@Triple Weiß nicht , bei 2000 Punkten habe ich immer 8 mit , die haben eigentlich bis jetzt immer gereicht . Einmal habe ich es auch mit 10 probiert , aber das war vollkommen unnötig , die Mehrpunkte sind in 5 Hunde besser investiert . ^^ 04.09.2003 , 16:23 @Triple : in meiner reinen	Dämonenarmee	hab ich nur 6 drin , da es punktetechnisch nicht anders passt - 6 - 8 sollten aber reichen . Klar ; gegen Zwerge braucht man eher mehr , und wenn dann auch noch ein Charakter ( selbst ohne Ausrüstung ) dabei steht , sind die recht hart .	Sg	Coll	Dämon	en	1
http://www.ulisses-forum.de/archive/index.php/t-443.html	3ff50e9f676b16159017a4135c0e274aaad4	410	Ein nur einigermaßen intelligent gespielter Dämon oder schlicht einer mit passenden Kräften hebelt diese scheinbar bombastische Wirkung des Gardianum beinahe völlig aus ( Wurfgeschosse , seien es auch nur Kieselsteine / 20 m Abstand halten und warten / dämonische Kräfte , über die bloße Faust hinaus usw. ) . ... so , als ob	Dämonenattacken	wesentlich weniger schlimm wären ... Dämonen sind eben seltsame Geschöpfe , unterliegen nicht der Massenträgheit , der Gravitation nur eingeschränkt , lachen nur über Schwerthiebe und ... tja , leider haben sie auch so ein Problem mit dem Durchdringen spezieller , magischer Schilde ...	Pl	Ind	Dämon	en	1
http://www.scifi-forum.de/off-topic/off-topic-allgemein/68232-nebenjobs.html	3d41c68a7e719432bcd0c32d04cec65bde5a	60	Für Sonntags Zeitungen austragen . _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Inmitten des ewigen Kreislaufs der Zeit , wird aus lauem Wind ein Sturm entstehen . Vom Abgrund starren	Dämonenaugen	weit , die die Razgriz , die schwarzen Flügel sehen . Mein VT Meine LS 11 Bildergeschichte 22.12.2010 , 04:21 # 12 Seythia Registriert seit : 28.05.2008 Ort : Nürnberg / Jetzt Berlin Beiträge : 944 Zeitungen austragen , also ABONIERTE Zeitungen , ist was ganz feines .	Pl	Ind	Dämon	en	1
http://www.spiegel.de/spiegel/print/d-43375561.html	72f120151d365e115ddc6212bf1adef28260	6	Das Ausweich-Manöver des früheren Piloten-Pastors war konfessionell bedingt . Denn in der protestantischen Theologie , so klagt van Dam , werde zwar " die Realität des Teufels und der Dämonen von vielen verteidigt " , doch über Besessenheit und	Dämonenaustreibung	, von Experten auch Exorzismus genannt , werde -- anders als bei den Katholiken -- " meistens geschwiegen " . Seit Luthers Reformation rücken die Protestanten dem Teufel nicht mehr mit frommem Zeremoniell zu Leibe -- was van Dam einem Sieg des Höllenfürsten gleichsetzt .	Sg	Ind	Dämon	en	1
http://www.rainerhauke.de/lk11_14-23.html	e1192345d9dc176d3f6d5bab773d533679c1	8	Oder ist das alles viel komplizierter , als daß man es zur Erklärung bei einem volkstümlichen Spruch belassen könnte ? Was geht bei sogenannten	Dämonenaustreibungen	eigentlich vor sich ? Einigkeit scheint schon damals nicht darüber bestanden zu haben .	Pl	Ind	Dämon	en	1
