DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.aquarienverein-kampffisch.de/index_11.htm	4408b078ddea6e4f75d6f0c7466a19beccf1	150	Das Weibchen konnte ich gelegentlich sogar bei der Mithilfe des Nestbaues beobachten . An einem Sonntagmorgen schritt das blaue Paar zur Zucht und ich konnte eine sehr reichliche	Eiabgabe	feststellen . Das rote Paar jedoch im anderen Abteil machte nicht die geringsten Anstalten , ebenfalls ein Nest zu spucken .	Sg	Ind	Ei	er	0
http://www.aqua-terra-net.de/Hydro/Zucht/Horadandia2.htm	956cdbe75d2e21f8f2a36170503a28ef7590	23	Die Eltern suchen nicht danach . Nach zwei , drei	Eiabgaben	kehrt das Weibchen zum Trupp zurück , der sich um die Zeit gewöhnlich in den Ludwigia einstellt , so daß das Aquarium unbesetzt wirkt . Horadandia atukorali ist ein Dauerlaicher .	Pl	Ind	Ei	er	0
http://www.ghwrs-lauda.de/Naturwanderung%20Kl2d%2006.htm	6c22cc0dd5273d9edb81c9e4c668297e6eb6	22	Ein einziger Schwalbenschwanz überflog die Beobachter . Er müsste längst zur	Eiablage	in seinem Revier sein , doch die extrem kalte Witterung bewirkte Verspätung oder gar Ausfall der großen Falter . Schließlich entdeckten die Kinder noch eine " Punker-Raupe " , von Herrn Tack vorsichtig und furchtlos auf dem Finger präsentiert : Der " Braune Bär " , jetzt noch als Raupe , anschließend im Puppenstadium , danach ein Nachtfalter mit prächtigen orange-blauen Hinterflügeln .	Sg	Ind	Ei	er	0
http://www.pythonschlangen.de/python/html/30.1.html	83bd3821e6d8ce315148c9c9411905ba39ce	38	Die zeit von September bis Februar / März hat sich bei uns als Paarungszeit herauskristallisiert .	Eiablagen	finden bei uns ab April statt . Da der regius die Eier in seinen Heimatgebieten oftmals in verlassenen Termintenbauten ablegt , empfehle ich auch dringenst die Inkubation eines Geleges .	Pl	Ind	Ei	er	0
http://1390.einrichtungsbeispiele.de/aquarium-von-ombre-wand-___flatscreen-___-sehen-was-laeuft%21_aquarium18197.html	7d7ea18756f7ab9d03c0f18a0b53cf71f48b	46	Deutscher Name : Hummelgarnele Herkunft : Indien Größe : bis 3 cm Geschlechtsunterschiede : Weibchen wirken etwas massiger . Bei erwachsenen Weibchen kann man , sofern	Eiansatz	vorhanden ist , einen weißen Eifleck erkennen . Verhalten : friedlich .	Sg	Ind	Ei	er	0
http://www.egymhm.de/unterrichtundmehr/ags/aquarium/aquarium.php	5b818cf3789f24cfbfc799ef8b4d03416692	16	Damit die Eier überhaupt befruchtet werden können , treten bei diesen Cichliden nur beim Männchen gelbliche Farbflecke an der Afterflosse auf . Das Männchen spreizt nur seine Afterflosse mit den	Eiattrappen	vor dem Weibchen , wenn nun das Weibchen die vermeintlichen Eier ins Maul nehmen will , gibt das Männchen sein Sperma ab . Dieses gelangt in das Maul des Weibchens und befruchtet die Eier .	Pl	Ind	Ei	er	0
http://www.natosti.uni-oldenburg.de/tiere/09_1_cladocera.html	2cf9ec8cbbf71592e0cda9ef29580e37173d	159	Die ersten Untersuchungen über Copepoda publizierte POPPE ( 1891 ) für die Insel Spiekeroog . Es wurden damals die beiden Arten Eucyclops serrulatus ( Syn . : Cyclops agilis ) und Acanthocyclops vernalis ( Syn . : Cyclops elongatus ) nachgewiesen . Neben farblosen Individuen kann bei Eucyclops serrulatus der ganze Körper oder nur das Abdomen intensiv gelb , rostrot bis blauviolett gefärbt sein , die	Eiballen	erscheinen dunkelgrün bis fast blauschwarz . Diese Art ist wohl der weitestverbreitete Cyclopoide überhaupt ; sie kommt in neu entstandenen Wasseransammlungen , in periodischen und perennierenden Kleingewässern vor , tritt im Litoral von Seen und Teichen und subterran auf .	Pl	Ind	Ei	er	0
http://www.bastelfrau.de/basteln/ostereier	f5c85cda8e5a43554cae7bb719011188fbe9	4	Drei Eier , die mit Blumenservietten beklebt wurden . Weiterlesen über Ostereier Blog von moench Eierhalter mit Rosen 8. April 2014 - 15:29 -- Katja In Serviettentechnik gearbeitet Weiterlesen über Eierhalter mit Rosen Blog von Katja Eierbäume 8. April 2014 - 15:13 -- Tynchen Für diese drei	Eibäume	wurden die Eier marmoriert , ... Weiterlesen über Eierbäume Blog von Tynchen Ostereier Marmorieren 6. April 2014 - 8:37 -- Bastelnasi Hier möchte ich Euch anhand eines Videos / Podcastes von mir zeigen wie man Ostereier marmriert und dekoriert , in 2 Varianten , viel Spaß beim Zugucken und Nachbasteln Weiterlesen über Ostereier Marmorieren Blog von Bastelnasi Seiten 1 2 3 4 5 6 nächste Seite › letzte Seite » Suchen bei Google Custom Search Doodeln Keramikmalerei Kerzen bemalen Kerzen gießen Linoldruck Makramee Papierbatik Papiermosaik Reliefgießen Seife gießen Stoffdruck Teebagfolding - Teebeutelfalten Töpfern Beliebte Themen ATCs - Artist Trading Cards Aus alt mach neu Basteln mit Schrumpfplastik Basteln mit Wachstuch Nostalgisches Salzteigrezepte Shabby Chic Sparen beim Basteln Weihnachtskarten ( Galerie ) Neue Kleinanzeigen Zur Zeit leider keine Anzeige vorhanden Buch-Navigation Badesalz , Badezusätze und Pflegeprodukte selbermachen Bastelmaterial - Alternativen Bastelmaterial selbst herstellen Basteln - rund ums Kind Bastelvorlagen und Malvorlagen Bastelwerkzeuge selber machen Blumen basteln mit verschiedenen Bastelmaterialien Copyright und Urheberrecht Färben mit Cool Aid Hintergrundpapiere selbst herstellen Notizbücher Ordnungshelfer Home Copyright © Bastelfrau alles party / disco film musik bühne sport / freizeit kinder / jugend etc. kinoprogramm kurse / workshops ausstellung gewinnerliste veranstaltung melden alles kontakte grüsse kaufen / verkaufen verschenke jobs wohnen / reisen sonstiges kleinanzeige aufgeben Adressen - Gastronomie adresse melden cds und musik chemnitzer köpfe hausbriefkasten artikelarchiv suche heft abonnieren meine Daten merkzettel passwort ändern neu anmelden Kurse / Workshops vom 11.05.2014 bis 11.06.2014 Es wurden 5 Kurse & Workshops gefunden .	Pl	Ind	Ei	er	0
http://www.frauenworte.de/vbforum/archive/index.php/t-26894.html	28fc1263d51008d46c5d7ab0bc94afb5e1b5	25	Also , bei uns war es so , daß erstmal in der Kiwu-Klinik eine Diagnoserunde absolviert wurde . Dazu waren ca 3 - 4 Termine notwendig für Erstgespräch mit Deinem behandelnden Doc inkl. Amnamese ) , Blutwerte , gynokologische Untersuchung mit	Eibeobachtung	usw. Da konnten wir uns aber auch sehr frühe oder sehr späte Termine aussuchen .	Sg	Ind	Ei	er	0
http://www.nymphensittichforen.de/beitrag19019seite2.html	6da26ab3f4f47716b90a11128399a88cc4ca	33	Somit musste er sie auch erst mal gar nicht greifen und somit auch nicht stressen . Als sie in Narkose lag und er die Kloake freilegte , hatte sie eine monströse	Eibeule	. Ich bin so froh , dass er da war und fand es auch absolut super , wie schnell er zu einem Termin bereit war .	Sg	Ind	Ei	er	0
http://www.rogervogel.ch/presseberichte.htm	225d737169d52195c4de8a219b4ba2149f02	76	Der Begriff " Leben " ist hier weitläufig zu verstehen , und für Roger Vogel spielen dabei die verschiedenen Kräfte eine zentrale Rolle . Auf jedem seiner	Eibilder	sind die Lebenskräfte auf ein und dieselbe Art dargestellt : sie manifestieren sich in der Eischale , die der Künstler nie ganz gelassen hat . Immer ist sie zerbrochen , mal stark und mal weniger stark .	Sg	Ind	Ei	er	0
http://www.vogelforen.de/archive/index.php/t-38099.html	78e289abc38a5526b745c65836127734995d	199	uriblank Den Artikel meintest du doch , oder ? Eigentlich schätze ich diesen Züchter , seine artikel sind sehr nützlich , z.B. über die	Eibildung	usw. Da gibt es sonst wenige gleichwertige Artikel im deutschsprachigem Netz !	Sg	Ind	Ei	er	0
http://www.kinderwunsch.medhost.de/zyklus.html	8b9749443966e05dfbae91f94c9206031227	15	Es wird in der Hirnanhangdrüse ( Hypophyse ) gebildet . FSH regt die Bildung von Östrogenen in den	Eibläschen	an und stimuliert die Bildung und Aktivität von Zellen im Inneren des Follikels ( Granulosazellen ) . Sie stehen mit der Eizelle in Verbindung und versorgen sie mit Nährstoffen .	Pl	Ind	Ei	er	0
http://www.medizin-netz.de/medizin/frau/zysten-der-eierstoecke	37605ec40371993efe9eeb9e38e2bcb76d34	14	Zysten am Eierstock können auf zwei Wegen entstehen : Entweder es handelt sich um Zysten , die sich aus der normalen hormonellen Funktion des Eierstocks heraus entwickeln ( funktionelle Zysten ) , oder es handelt sich um Tumorbildungen , die mit der eigentlichen Funktion des Eierstocks nichts zu tun haben ( echte Neubildungen ) . Funktionelle Zysten Bei jeder Frau kommt es zwischen der ersten und der letzten Regelblutung ( Menarche und Menopause ) in jedem Zyklus zur Bildung eines kleinen Zystchens , des Follikels (	Eibläschens	) . Im Follikel reift die Eizelle heran , bei einer Follikelgröße zwischen 18 und 25 Millimetern kommt es zum Eisprung , danach wandelt sich der Follikel zum Gelbkörper ( Corpus luteum ) um und beginnt mit der Bildung des Gelbkörperhormons ( Progesteron ) .	Sg	Ind	Ei	er	0
http://www.innenwelten-verlag.de/Galerie/Fotos/Domburg01/index.htm	746a915eccb7c75c839bb301b0541eeb9b84	55	Und niemand kam uns ( und dem Eibrot ) zu Hilfe ! Uh-oh ... Nachdem das	Eibrot	alle war , bewarfen wir DIE VÖGEL mit Erdnußflips , um sie zu verjagen , aber selbst das klappte nicht ! Im Gegenteil , es machte sie rasend !	Sg	Ind	Ei	er	0
http://www.richards-garten.de/salate/kochbuch/a/kochbucha.htm	639fef0450d03ab999c11000b20d9db7178c	405	6 Semmeln werden dünn abgerieben , in Würfel geschnitten und mit etwas Milch befeuchtet . Während sie ziehen , rührt man 50 gr. Butter mit 3	Eidottern	und 125 gr. Zucker schaumig . Daran gibt man etwas Zitronenschale , 1 Fläschchen Arrak-Aroma , das weich gewordene Brot und 500 gr. geschälte , gebrühte und in Achtel geschnittene Aprikosen .	Pl	Ind	Ei	er	0
http://www.nabu-lueneburg.de/hinweise-f%C3%BCr-naturfreunde/wissen/m%C3%BCcke-frisst-frosch-frosch-frisst-m%C3%BCcke	e325d0035ec2a5f1df44ea755ac78d890a59	7	Im Frühjahr sitzen Sie am Rand von Gewässern und später in Bäumen und Sträuchern bis zu 10 m Höhe . Eier und Laich : Eier in walnussgroßen , kompakteren Klümpchen an Wasserpflanzen geheftet ; Eizahl je Klümpchen 10 bis manchmal 100 , Ei zweifarbig , oberseits braun bis hellbraun , unterseits gelblich-weiß ,	Eidurchmesser	1,5 - 2 mm , Hüllen 3 - 4 mm ; Embyonen hellgelblich . Nahrung : In der Umgebung von Basel wurden rund 430 Kotballen auf Nahrungsreste untersucht .	Sg	Ind	Ei	er	0
http://www.hufrehe-forum.de/28362214nx18618/ektoparasiten-und-endoparasitenwuermer-f134/div-helminthen-wuermer-t2798.html	c04558d1f7c4def40b638fd972263867219a	473	Eier kugelig , dickschalig mit Golfballstruktur ; lange überlebensfähig ; Desinfektionsresistent . Entwicklung : Exogene	Eientwicklung	zur infektiösen LIII . Infektion : Nach Wirtverzehr , Aufnahme von Welpenkot mit LIV oder infektiösen Eiern .	Sg	Ind	Ei	er	0
