DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.neu-reich.de/mein-oberhavel/oranienburg/freizeit-und-tourismus.html	df919d9697e4003798c7063c641a283db1e9	44	Dieser lockt an den Wochenenden mit zahlreichen Veranstaltungen , vom Schaumelken über das Volksmusikkonzert bis hin zum Flohmarkt . Nicht nur bei Kindern besonders beliebt : Die Fahrt mit der	Eierbahn	mit Stopp im Kälbchen - Schweine - und Hühnerstall . In Oranienburg-Eden wurde 1893 die erste ?	Sg	Ind	Ei	er	1
http://www.tierschutzverein.at/news/frohe-ostern-auch-fuer-tiere!_7039	a61afffa1cd8f88c41a205ae101dc47a2bb0	13	Vielleicht kaufen Sie also ein ausländisches Produkt mit schlechteren Tierschutzstandards , welches in Österreich nur verarbeitet wurde . Bitte unterstützen Sie heimische	Eierbauern	mit dem Kauf von Spitzenprodukten aus Freiland - und Biohaltung . Für den traditionellen Osterkuchen bietet es sich an , einmal das Backen ohne Eier zu versuchen !	Pl	Ind	Ei	er	1
http://gaertnerblog.de/blog/2007/eierbaum-solanum-melongena	5b306aed231bb7ae527413f32010717a2703	73	einjährig , Wuchs-Höhe ca. 60 - 80 cm Die Pflanzen müssen oft gedüngt werden , auch benötigen sie sehr viel Wasser . Der	Eierbaum	eignet sich super als Topfpflanze . Aber auch geeignt für Zimmer , Gewächshaus , im Sommer auch im Freien .	Sg	Ind	Ei	er	1
http://www.restaurantfuehrer-bremen.de/restaurant-angebot/kohlfahrten-kohlessen.php	4f8216e8cb628caeea20b15df1a6f0f5d7a7	1	Weiß jetzt nicht ob ich die Adresse einstellen darf , ich frag mal den Mod . :( Schöne Grüße Jürgen :thumbsup: vBulletin® v 3.6.5 , Copyright © 2000 - 2011 , Jelsoft Enterprises Ltd . Home Übersicht Bremen Kontakt < zurück vorblättern > Restaurantführer Bremen und umzu Restaurants Kohlfahrten Bremen , Bremerhaven und Umgebung Termine Kohlfahrten : Termine JANUAR ... > Szenario einer Kohlfahrt Ein Bollerwagen gehört dazu , eine Gruppe immer heiterer , oft angeheiteter und verkleideter Menschen , Bier und Schnaps , bunt geschmückte Regenschirme , ein großer Würfel zum Spielen und pro Person ein	Eierbecher	oder Schnapsglas , an einem Band um den Hals gehängt ... weiterlesen ... > Dazu unser Kochbuchtipp : " Das Kohl & Pinkel Buch " mehr zum Buch ...	Sg	Ind	Ei	er	1
http://www.nexave.de/forum/24518-iphone_44.html	c935aa24b869853b8e53f81004a996740fae	43	Immerhin sind die Frequenzen eigentlich Allgemeingut und wurden von den Betreibern IMHO nur gemietet . Damit gelten natürlich auch andere Spielregeln , als bei	Eierbechern	... Radiostationen sind auch verpflichtet allen Parteien nach einem gewissen Proporz Zeit für Wahlwerbung zur Verfügung zu stellen .	Pl	Ind	Ei	er	1
http://www.das-kleine-rote-osterei.de/stimmen-zum-buch	7ee73085dfcda325dff6baada843f02d3b74	28	Kurze , knackige Sätze kommentieren die Gedanken des roten Ostereis , während ein Foto darüber sein Erlebtes und sein Handeln in einem Bild festhält . Mit Hilfe des	Eierbechers	, zwei aufgeklebten Augen und dem roten Osterei erzählt die Autorin eine lustige Geschichte , die auf Humor , Satire und prägnante Schlussaussage setzt . Während junge Leser sich hauptsächlich die Bilder ansehen , lesen Erwachsene sich schon die Texte durch .	Sg	Ind	Ei	er	1
http://uob.zarum.de/cms/1404.0.html	ddd5680ea102e62136c67d8b62387fef3d82	9	Besonderes Interesse gilt dabei den Nestern der Solens in denen sie die neuen Generationen ihrer Worker , Worrior und Queens heranzüchten . Zuckende	Eierbeutel	die kurz vor dem Schlüpfen stehen , befremdliches knirschen und kratzen erfüllt die dunklen Kammern und genau an diesem Ort sollt ihr verweilen bis ihr alle Informationen gesammelt und zu Papier gebracht habt . Doch um in die Brutkammern der Solens zu gelangen müsst ihr erst einen Weg in das Innere ihrer unterirdischen Bauten finden .	Pl	Ind	Ei	er	1
http://www.gtrp.de/archive/index.php/t-38554.html	64ef7ead9e06ed62c3610a38f24c1ab67e6d	45	Bestzeit bisher eine 0:38 .253 Dann mal mein Setup : -19 / -14 11,5 / 13,5 10 / 10 10 / 10 7 / 7 Spur 3 / 2 - 0,30 / -0,30 Bremse 0 / 6 140 ' er Getriebe Max . Tempo 158 Höchster Gang : 2.850 1. 2. 3. 2.289 4. 1.798 5. 1.503 Antrieb 60 / 60 / 50 07.09.2011 , 23:39 Bei mir ähnlich wie bei der	Eierbirne	:froi: Grundsetup von eNTe - Sturz 2,5 / 1,1 Federn 12,5 / 10,3 Flügel voll 38,711 aber da ist noch viel drin ... :yes: @kain wenn ich gewusst hätte , dass du zur gleichen Zeit so ' ne Runde postest , hätte ich erst gar nichts geschrieben :argh: : lol eNTe 08.09.2011 , 12:49 Update : 38.459 Das hier ist wieder eine Strecke bei dem das Getriebe die größte Rolle spielt ...	Sg	Ind	Ei	er	1
http://www.abentheuer-online.de/2009/2009h%20ae%20h/haehundbrunch.htm	222584506408c74d87bb19dffcff0803e0ed	24	Zur Erinnerung an die Stunden in Abentheuer erhielt Frau Kaufmann noch unseren Jahresjockelorden sowie eine Prinzenpaartasse , die Guido eigens für diesen Anlass gebrannt hatte . Fazit : Mit FKK und der Hahn-Äbbelsche-Hahn Aktion mit	Eierbrunch	haben die Süssschnüsser einen vielversprechenden Auftakt für die fünfte Jahreszeit in Abentheuer hingelegt . Am Samstag geht es noch zur großen Dorffasnacht ins Abentheuerer-Haus .	Sg	Ind	Ei	er	1
http://www.forum-kroatien.de/t316076f11748338-Delfine-in-Kroatien-5.html	f5f3ac806e57573406481a42ce09be49500e	56	Meine SY heisst " Tiamo " , Bavaria 44 , gegenwärtiger Liegeplatz : Izola . Gruss Bodo Daxbauer Offline Stammgast im Kroatien-Forum Beiträge : 1.758 17.04.2011 20:59 # 108 RE : RE : Delfine in Kroatien wir hatten letzte Woche zwei Sichtungen , einmal bei Medulin , einmal bei Vrsar - - 18.04.2011 07:45 # 109 RE : Delfine in Kroatien Falls Ihr die Delfinsichtungen noch nicht an die GRD meldet und dies tun möchtet : uriblank Sichtungsbogen gibt es als Download ( damit auch möglichst die Infos mitgeteilt werden , die für die Delfinschützer und - forscher wichtig sind - Genauer Ort , Uhrzeit , Anzahl , Jungtiere , Verhalten usw. ) Gruss denisdominik Offline Mitglied im Kroatien-Forum Beiträge : 115 22.06.2011 08:35 # 110 RE : Delfine in Kroatien Gestern Mittag haben wir eine Gruppe von 30 - 40 Tieren auf der Rückseite Rab höhe	Eierbucht	gesehen . Ein paar machten sich über ein ausgelegtes Fischernetz her , andere sprangen aus dem Wasser .	Sg	Ind	Ei	er	1
http://www.brodowski-fotografie.de/beobachtungen/haeufig_gestellte_fragen.html	b629f5fcffff4b88ea82eab94563e2969416	157	Warum gehören Möwen zu den Feinden vieler Vogelarten ? Ganz einfach . Die Möwen sind große	Eierdiebe	, zerstören viele Gelege und sie holen sich die Küken anderer Vögel . Mehr dazu unter Vogelgeschichten .	Pl	Ind	Ei	er	1
http://www.gethe.de/Aktuelles%20Einzelseiten/aktuelles_2011/aktuelles_2011_Stadtmeisterschaft.htm	3c22f486e55a2978e21564bab160eaee74cd	19	Bei den Junioren Tour Springen durfte sich Sophia Brandt vom Reitverein Alt Bossel über den neuen Titel freuen . Stadtmeisterin bei den Jungen Reitern Tour Dressur wurde Daniela Gawlitza ( Auf der Gethe ) , das Springen gewann Annette	Eierding	( Märkischer Reitverein Haßlinghausen ) . In den Kombinationswertungen siegten Laura Katharina Klose ( Auf der Gethe ) in der Klasse E und Annette Eierding in der Klasse A. In der Vereinsgesamtwertung aller teilnehmender Reiter schafften es die Mitglieder vom Reitverein Auf der Gethe mit 374 Punkten auf den ersten Platz .	Sg	Ind	Ei	er	1
