DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.ikz.de/1996-2005/1998/21/9821098.php	4e3b82db3d7a9d93f3d3ed6414091658f8be	30	Alle Papiersorten sind aus 100 % Altpapier gefertigt . Für die	Händereinigung	findet sich in dem breiten Produktspektrum stets auch das für den jeweiligen Einsatzzweck optimale Mittel . Sie sind auf Hautverträglichkeit getestet .	Sg	Ind	Hand	Ue	1
http://www.deutschlands-dicke-seiten.de/forum/archive/index.php/t-28989.html	1b5d084119063ace09fb09d7a64c4034ed6b	282	Ich weiß keine passende Antwort . Liebe Grüße tortilla 29.12.2010 , 08:45 Leider kann man die Form des ( türkischen ) Handschlags / Begrüßungsritus nicht in den Duden aufnehmen ( KLICK HIER ( uriblank ) ) , aber dieses	Händegewusel	scheint mittlerweile gang und gäbe geworden zu sein . Nicht nur die Sprache verändert sich - " multikulti " hat in mehrere Ebenen Einzug gehalten .	Sg	Coll	Hand	Ue	1
http://www.onlineschmie.de/presse/html/body_ta_-_juli_2005_teil_ii.html	7c1622b7c16e157131f416da30d9cadb64ee	61	Darauf hatte Meyer nur gewartet . Trocken erklärte er den	Händehebern	, es gebe gar keine Niederschrift vom 24. Juni ; sie sei noch nicht angefertigt worden . Er , Meyer , habe nur mal testen wollen , wie aufmerksam die Abgeordneten ihre Unterlagen lesen .	Pl	Ind	Hand	Ue	1
http://www.deutsche-liebeslyrik.de/hafis/hafis390.htm	8cc4d07892ddbb71d0da24b5a684849d968d	7	Spiele zum persischen Lied ' Die Weisen von Iraks Gesang . Die Töne der Laute , das	Händegewühle	Erinnern an die Jugend mich . O gieb mir den übrigen Wein , daß betrunken Den Freunden ich mein Leben weih ' !	Sg	Coll	Hand	Ue	1
http://www.lyrik-kriegundleben.de/sommer.html	ee55339c52840ff63a3f486282b7a10e7480	42	Blauer Mund und junge Hände zogen durch den Blaubeerhain , pflückten Stunden und auch Tage in Gemeinschaft - nie allein .	Händeblau	und Mückenstiche zeigten an des Pflückers Fleiß , mancher summte Kinderlieder oder Schlager - so ganz leis ' . Es verschwanden manche Beeren , blaue Früchte - frisch , gesund , landeten voll heiß ' Begehren in dem Blaubeerkindermund .	Sg	Ind	Hand	Ue	1
http://www.bet-debora.de/neu/tag_jour3/imp/tagungen_jour3_imp4.htm	6d210a248b24bd9416780b90843c19ef3604	6	Berühren sich also zwei Hände , wird ein Raum geschaffen , in dem eine Freundschaft keimen kann . Meistens , wie bei diesem Flug , geht ja dem	Händeaustausch	ein Gedankenaustausch voraus , als erste Annäherung . Ähnliches , die im Wort angelegte Nähe von jad und jadid , erfuhr ich bei der dritten Bet-Debora-Tagung .	Sg	Coll	Hand	Ue	1
http://www.baunet.de/bg059/lack-208.html	284e785fd38ba076126087f7f2a79394dcb1	22	Der Doppelname steht aber auch für zwei Quellen , aus denen Tradition und Technologie ... Siehe # 4 . Schorn & Groh Furniere - Veneers : Leuchtende Furnierakzente in Küche ... konnte das hauchdünne Furnier problemlos auf die Rundungen an den Seiten des	Händeschrankes	aufgebracht werden . Die empfindliche Oberfläche wurde mit einem strapazierfähigen DD-Lack versiegelt .	Sg	Ind	Hand	Ue	1
http://www.ekieppelheim.de/content/e3770/e6510/e6194/index_print_ger.html	d3965f143035ef91933b8327d0e59a7ca38c	7	Die Verkleideten wurden in zwei Gruppen geteilt und mussten verschiedene Aufgaben bewältigen . Beim "	Händetelegramm	" war Schnelligkeit und Fingerspitzengefühl gefragt , bei der " Bleistiftstafette " Konzentration und Ruhe , beim " Häufeln " dagegen Beweglichkeit und Gleichgewichtssinn . Das Pantomimenspiel forderte die Fantasie der Teilnehmer heraus .	Sg	Ind	Hand	Ue	1
http://gesund-bleiben-im-job.de/entspannung/haendewaschen-waescht-zweifel-ab	003804da8cc7a29994143c56ce847b1aba8a	25	Die vorher gewählte CD dagegen wurde deutlich besser bewertet . Anders bei den	Händewaschern	: sie stuften sowohl die abgelehnte als auch die gewählte CD ungefähr wieder auf Platz 5 und 6 ein . Das Ergebnis wurde bei einer ähnlichen Untersuchung mit 85 Probanden bestätigt .	Pl	Ind	Hand	Ue	1
http://www.flash-zine.de/flash031/jess_022.htm	1f30c26c6dbdf26604c958f6385a1443918a	53	S. 22 , 1. Spalte , 2. Absatz von unten : " Die Frau auf der Guillotine gebar sich in ihrer Todesangst wie irre . " Wie unschwer zu erraten ist , war das hier einer von den '	Händeringern	' . " Gebar " ist nun mal die Vergangenheitsform von " gebären " - und nicht von " gebärden " , was hier aber gemeint war .	Pl	Ind	Hand	Ue	1
