DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.hochschulfilmclub.de/cms_x/movie/db.pl/film/4523c33c1.html	6f5fa00cd4b45c2ab1e25301eba2001e5cc0	1	Die Begründung kommt seltsam bekannt daher : Man wolle den Verkehr aus der Stadt heraus halten . Literatur : Westfalen , Hefte für Geschichte , Kunst und Volkskunde 62. Band 1984 Kontakt : : Impressum Hochschulfilmclub Startseite Programm Newsletter Sommerkino Förderung Archiv Über uns Kontakt / Impressum HfC-Archiv Aktuelle Filme : 15 Filmarchiv : 609 Archiv , 11.01.2007 21:00 Uhr ( ) Aaltra Produktion : Frankreich / Belgien 2004 Regie : Benoît Delépine , Gustave de Kervern Drehbuch : Kamera : Hugues Poulain , Jackson Elizondo Musik : Les Wampas Schauspieler : Technik : 35 mm , 92 Minuten , uriblank > Wir befinden uns tief in der nordfranzösischen Provinz , in einem Dorf , das eher die Bezeichnung "	Häuseransammlung	" verdient . Hier leben ein Landarbeiter und ein Büroangestellter in herzlicher Feindschaft auf gegenüberliegenden Seiten der Hauptstraße .	Sg	Coll	Haus	Uer	1
http://www.movienerd.de/kino-2/winters-bone	631fa69a99f29ca380ae781eed16061158f3	22	Sie hat vor Ort gedreht , teils auch Ortsansässige als Laiendarsteller hinzugeholt , und mit ihren an Farbe armen Winterbildern die Trostlosigkeit der Gegend hervorgekehrt . Der Boden wirkt unfruchtbar , die verwahrlosten	Häuserbaracken	scheinen kurz vor dem Einsturz zu stehen , überall liegt Schrott - keine lebenswerte Gegend . Dennoch geht es um Überleben , den Willen , sich durchzuschlagen und dem Teufelskreis aus Gewalt und Gegengewalt zu entkommen - Ein Hoffnungsschimmer , der hier von der unbeugsamen Ree personifiziert wird .	Pl	Ind	Haus	Uer	1
http://www.anglerboard.de/board/archive/index.php?t-115484-p-8.html	4398cdbe2970f64f3a0377ef4ba2890a1cbc	564	Habe mal einen Kartenausschnitt angehängt , der den Bereich zeigt ( Markierung 1 ) . Die Markierung ist nicht 100 % ig ... ich weiß nicht sicher , welche	Häuserbereiche	da früher schon zwischen nicht schiffbarer Ems ( ganz links in der Karte noch zus ehen ) und Landwehr gestanden haben . Soll nur symbolisieren , dass das Wasser bis an die Landwehr ging .	Pl	Ind	Haus	Uer	1
http://www.brandeins.de/archiv/2008/liebe/wer-nicht-muss-der-kann.html	7501b30b2a328d110f2079d4348f2ed4e1f1	122	Ohne Bedingungen erhielt er knapp 19 000 Euro . Der	Häuserbesetzer	Häni begann , nach und nach zeitweise leer stehende Gebäude zu übernehmen , mal eine alte Brauerei , mal eine Gründervilla . Und zwar nicht , indem er mit Gewalt die Räume besetzte , sondern klug mit den Besitzern über Zwischenlösungen verhandelte .	Sg	Ind	Haus	Uer	1
http://www.wilerbuerger.ch/index.php?id=143	654abad484a692e9ff8ae8424658ebd28134	44	Gerade hier wurde 1961 eine Eingabe von einer Geschäftsstelle " Pro Wil " an den Bronschhofer und Wiler Gemeinderat gerichtet , den Weiler doch ganz nach Wil einzugemeinden . Bis auf einen	Häuserbesitzer	hatten alle Bewohner unterschrieben . Argumentiert wurde dabei mit der wirtschaftlichen und geographischen Zugehörigkeit zu Wil .	Sg	Ind	Haus	Uer	1
http://cdv-forum.de/cdvboard/deutsch/archive/index.php?t-37164.html	9111f5dd53b0c7da8f098dc68413655ab5d2	160	Außerdem gibts da noch dass Problem dass du ne Leiche bist und wir nicht . Wir sehen also nicht deinen Namen auf nem	Häuserblock	, bei uns steht da nur " a Zombie " , wenns also blöd läuft und wir uns bedroht fühlen ... :D 04.09.2007 , 16:39 Ich hab noch keine Bücherei gefunden und sammel EXP eben dadurch dass ich Zombies vermöbel .	Sg	Coll	Haus	Uer	1
http://www.scifi-forum.de/filme-tv-serien-co/zeichentrick-anime-cgi-co/66969-superman-langweiligster-superheld-ever-3.html	348f59175336bf9087b9d6f13d671af97c85	59	Was besonders im Falle von Superman die Hilfe in Notsituationen , besonders im Falle von schweren Unfällen und Katastrophen angeht , so sehe ich keine Straffälligkeit , die sofern überhaupt vorhanden , den positiven Nutzen durch sein Eingreifen übersteigt . Ich wollte jetzt eher weniger auf Katastrophenhilfe heraus , sondern eher auf die Tendenz gerade Supermans und der anderen " Metamenschen " in ihren Kämpfen durchaus mal ganze	Häuserblöcke	dem Erdboden gleich zu machen ( Kollateralschäden und so ) . Allerdings solange man mit Polizeiorganen (in)offiziell kooperiert , wie zum Beispiel Batman in " The Dark Knight " , Hancock bei dem Banküberfall oder Iron Man mit dem Militär , um eine Krise im zweiten Film zu beenden , dann sehe ich keine wirkliche Straffälligkeit seitens des Helden - jedenfalls keine Straffälligkeit , die nicht durch die Schadensverhinderung gerechtfertigt wird .	Pl	Coll	Haus	Uer	1
http://rennkuckuck.de/php/reisen/Apold_2007.php	f02c02cdfa5160ec8f3b45513b81154d2351	45	Weltkrieges hier ein ähnliches Schicksal erlitten wie die Juden im Deutschen Reich . 4 Tage die viele wie Balsam für die Seele vorkommen wenn sie die nächsten Monaten zwischen grauen	Häuserblöcken	um geben von Rumänien leben werden 4 Tage die viele neue Freundschaften mitgebracht haben und für einige die Gewissheit nicht der / die einzige in diesem verrückten Land zu sein . Radio-WEB.in fo - Verzeichnis für Webradio / Internetradio / Online-Radio Dynamische Webseiten mit PHP , mySQL und CSS für Ihren Internet-Auftritt Surfen ohne Vorratsdatenspeicherung : Mog i net ! - " Nationaltrainer " Joachim Löw fett es : fettes aus Sport , Politik , Gesellschaft , Wirtschaft , Wissenschaft , Medien , Umwelt , Kunst und Kultur Zum Seitenanfang Fremd-Werbung Werbung : Besucherstatistik gesamt : 3.148.160 heute : 101 gestern : 1.279 max. pro Tag : 2.684 gerade online : 126 max. online : 809 diese Seite : 3.709 Ende : 0,079 Sekunden Total : 0,079 Sekunden Mozilla / 5.0 ( compatible ; heritrix / 1.14.4 + uriblank ) Kurzfassungen der Jahresberichte und Mitteilungen : NF 90 : 2008 Aktuelles Home Info Tagungen Publikationen GeoLinks Impressum Die Fazies lakustriner und palustriner Karbonate aus dem Miozän von Langenaltheim / Südliche Frankenalb Von Christian Weiß , Richard Höfling & Heinz G. Lorenz Mit 9 Abbildungen Zusammenfassung In der südlichen Frankenalb existieren zahlreiche limnische und pedogene Karbonatvorkommen aus dem Miozän .	Pl	Coll	Haus	Uer	1
http://www.textem.de/index.php?id=2035	8d2dce01756da595d596afe91d72ebd00615	129	Eben noch hatten wir in Thermalquellen gesessen , oder auf weichen , duftenden Wiesen , in Welten , wo schmerzende Glieder nicht existierten . Dann stürzte ein massiver Raubvogel vom Himmel - nein , ein Jagdflugzeug von Zeppelin-Größe oder etwas Ähnliches wälzte sich durch Luftschichten , durchschnitt mit dem Kreischen einer Kreissäge den halbblauen Morgenhimmel , ließ den zusammengekauerten Ort unter sich erzittern , und auch wir saßen abrupt auf , in diesen ersten Sekunden nach dem Erwachen , wenn die Trennlinie zwischen den Welten noch durchlässig ist . Doch dann das vertraute Vibrieren der Fensterscheiben , und das dumpfe Unterwasser-Dröhnen von Flugzeugen im Sinkflug , und wir erinnerten das Gelände von Airbus , das wir am Abend zuvor gesehen hatten , zwischen Deich und Elbufer : Werkhallen von der Größe ganzer	Häuserblocks	, bunt beleuchtet wie die Straßen in Blade Runner . Wer wollte schon jeden Morgen so geweckt werden ?	Pl	Coll	Haus	Uer	1
http://www2.drkcms.de/drklippe/ehrenamt.html	088cac82bc3da95a424fe251c37e564cfc71	10	Der Katastrophenschutz stellt die Grundversorgung der Bevölkerung bei größeren Schadenslagen und Unglücken wie Naturkastrophen sicher . Er greift aber auch bei kleineren Ereignissen wie Busunglücken oder	Häuserbränden	und unterstützt den Rettungsdienst bei der Versorgung von Betroffenen und Verletzten . Förder-Mitglied werden Mit Ihrem Mitgliedsbeitrag unterstützen Sie nachhaltig die humanitäre Arbeit des Roten Kreuzes .	Pl	Ind	Haus	Uer	1
