DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.handicap-network.de/Handicaps/allergien/allerga.htm	1ea181ae3ca5d6b1502c39c5c3689ef4a088	446	Dazu gehörten laut BBC Graspollen , Schuppen der Haut von Haustieren und Hausstaubmilben . Die positiven Proben wurden zusätzlich auf Reaktionen auf eingeatmete Gras - , Baum - und	Katzenallergene	untersucht . Zu Beginn des Untersuchungszeitraumes wiesen 30 Prozent der Männer allergische Reaktionen auf .	Pl	Ind	Katze	n	1
http://www.battlefield-x.de/forum/archive/index.php/t-21580.html	771c35916d2266865be52b389b031922e8cd	210	Da höre ich doch Hoffnung heraus !!! Du solltest dazu erwähnen dass du eine extreme	Katzenallergie	hast und meine beiden Kätzchen immer sehr schnell verfluchst . Und ja , es fehlt die Quellenangabe .	Sg	Ind	Katze	n	1
http://www.perserkatzen-forum.de/archive/t757.html	7ac38f49ab07f784765afdf17b090d14433d	22	Hallo Simone , wie alt ist denn dein Sohn ? Gerade bei leichten	Katzenallergien	gibt es verschieden Therapie-Möglichkeiten ! Mußt du mal im I-Net suchen ... oder einen Facharzt für Allergien fragen !	Pl	Ind	Katze	n	1
http://www.gegenkopfschmerzen.de/blog/2011/04/01/kanadischer-forscher-entwickelt-impfstoff-gegen-katzen-allergie	f5a7fd1819b9849e54898af53a07f55edd3a	13	Laut Larché sollen am Anfang vier bis acht Impfstoff-Dosen im Jahr verabreicht werden , aber die gängigen Nebenwirkungen würden bei diesem Impfstoff nicht auftreten .	Katzenallergiker	dürfen hoffen , dass der Impfstoff auch hierzulande auf den Markt kommt . » 2 Kommentare Pete sagt : 28. Mai 2011 um 07:34 Wow das klingt großartig !!	Pl	Ind	Katze	n	1
http://www.miauforum.de/geschichten/fortsetzung/neu.html	5989dd6360122ad8ce966a76c61789b411bc	104	Ich muss aber dringend wach bleiben , um meinen Plan rasch anzugehen , schließlich soll Dosi Nils das von mir erwählte Fräulein Lina Wildgans nicht nur rasch kennenlernen , sondern es soll auch noch genügend ihrer Urlaubszeit verbleiben , damit die beiden sich ausgiebig beschnuppern können . Um wach zu bleiben , widme ich mich ein Weilchen der Ausbildung meines Katzenstimm-Volumens und miaue - ich ziehe natürlich alle Register - alle mir zur Verfügung stehenden Oktaven hoch und runter , atme nochmals tüchtig , achte auf die Stimmstütze im Bauch und singe abschließend meine innig geliebte	Katzenarie	. Er soll endlich kommen , meine Geduld eilt Richtung Nullpunkt .	Sg	Ind	Katze	n	1
http://home.bn-ulm.de/~toni007/catgirls/catgirls.htm	d4cfcb769ed8d34a3b83f18b5e32789969da	15	Auch auf der Bonenkai 2001 entdeckte ich ein Catgirl gleicher Rasse . Diese	Katzenart	muß wohl sehr verbreitet sein . Auch hier handelte es sich um ein sehr nettes und freundliches Kätzchen , das sich sogar hoch oben auf seinem Baum fotografieren ließ .	Sg	Ind	Katze	n	1
http://www.beaverscove.de/html/geschi.html	489b9e8de196e95a63cd15fc0585a85ed407	10	Außerdem fiel uns auf , daß Simba absolut keine Furcht kannte und Fremden extrem vertrauensvoll gegenübertrat . Im Dezember besuchten wir dann mit unserem inzwischen etwas wuchtiger gewordenen Kater unsere erste	Katzenausstellung	, die mit etwa 600 teilnehmenden Katzen in Unna stattfand . Ich kann mich noch genau erinnern , daß wir rein garnichts über Ausstellungen wußten und das unser Käfig recht spartanisch ausgestattet war .	Sg	Ind	Katze	n	1
http://home.wtal.de/cats/guestlog.htm	05c125995f701da9e0df8065d2c2e01e4b0c	65	Hallo , ich würde wirklich gern einen Beitrag ins Gästebuch machen , aber es kommt immer eine Fehlermeldung , überprüfe doch bitte , ob da auch alles funktioniert ... Habe noch eine Frage : Weisst Du etwas über	Katzenausstellungen	in der Schweiz / resp . Deutschland ? Tschüss und mach weiter so !!!	Pl	Ind	Katze	n	1
http://www.stimmedertiere-hagen.de/vermittelt.htm	47f13a2e97ced610c17a51bfc0cc18ecff28	548	Auch die vierjährige Gina hat endlich ein schönes neues Zuhause gefunden ! Lia Endlich nach langer Wartezeit und mit viel Geduld konnten wir das dritte	Katzenbaby	einfangen . Wir haben sie Lia genannt und der Tierarzt schätzt sie auf etwa 8 bis 10 Wochen .	Sg	Ind	Katze	n	1
http://suche.deine-tierwelt.de/foren/Caddy.html	cfd1394561d643c42ab0cca91a066ffdafba	24	Aber die kleinen sind dick und temperamentvoll und nerven ihre Mutter sehr . Wann kann ich anfangen mit Zusatzfutter für	Katzenbabys	??? 16.05.2009 Alles Glück dieser Erde liegt auf dem Rücken der Pferde gebisslos reiten der Anfang Sabsi ich überleg gerade warum es nicht gehen soll ...	Pl	Ind	Katze	n	1
