DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.frauentreffpunkt-neuperlach.de/Angebote/Aktuelles_Programm/i_2007.html	afa3e61ac1467bc239b38e41b89b53dfe726	26	... alles was Mädchen über ihren Zyklus wissen wollen ...	Mütterabend	als Vorbereitung zum Workshop am 17.3. mit Dr. Alenka Berkopec-Valena . Unkostenbeitrag 2 € , Vereinsfrauen frei .	Sg	Ind	Mutter	U	1
http://www.statistik-portal.de/Pressemitt/2013335.asp?201311	0812ce93294021151f1279351d3fa4d46b70	20	Frauen , die mit einem Partner im Haushalt zusammenleben , sind tendenziell häufiger Mutter als Frauen ohne Partner im Haushalt . Bei verheirateten Frauen fiel der	Mütteranteil	am höchsten aus . Er lag bei den Frauen im Alter von 35 bis unter 55 Jahren im Jahr 2012 zwischen knapp 89 und 91 Prozent .	Sg	Ind	Mutter	U	1
http://gea.de/region+reutlingen/reutlingen/jungs+und+ihre+vaeter+in+aktion.1943219.htm	27306db2e74c889f936fdd5e080f89178650	2	Coolness-Training - Wie reagiert man auf Provokationen ? Bildungsprojekt an der Eichendorff-Realschule Jungs und ihre Väter in Aktion Von Christoph B. Ströhle REUTLINGEN . " Erfolge schulischer Elternarbeit sind fast immer Erfolge der	Mütterarbeit	" , sagt Andreas Foitzik , Leiter des Jugendmigrationsdienstes der Bruderhaus-Diakonie in Reutlingen . Nicht so bei der Eichendorff-Realschule .	Sg	Ind	Mutter	U	1
http://www.antbo.de/kataloge/a1035/seite-12.html	5ff1637ad88e2e7906ddce6462bbd5b36a3a	35	) Details ( Die Mütter : Kann denn Bügeln Sünde sein ? ( CD ) 2006. Wenn Sie wissen möchten , was ein	Mütterauflauf	ist , oder ob Bügeln Sünde sein kann / wenn Sie sich über die beiden linken Hände ihres Mannes wundern und sich Gedanken über ihren Ring ( nicht den Ehering , sondern den am Bauch ) machen und das Stück Hefe , das in jeder Frau schlummert - / dann werden Sie von ... [ CD Interpreten ] [ Details ] Dieter Stork and David Plüss : So wird die Welt zum Gotteshaus ( MC ) 1998. - [ Interpreten , ] [ CD Interpreten ] ) Details ( Dillon , Bethany : Bethany Dillon ( CD ) 2004. 15 Jahre ist sie alt , schreibt ihre Lieder größtenteils selbst , und liefert dazu ganz unbekümmert ein Album ab , das durchaus zu den " CD des Jahres " - Kandidaten gezählt werden darf - Bethany Dillon !	Sg	Ind	Mutter	U	1
http://www.muenchenbuchsee.ch/artikel/124/Aktuelles/News/Archiv%202007	21153dd6363dccf7ecae1a78bbf1a6fb64c3	23	Gleichzeitig konnte die Nachfolgerin von Elisabeth Liechti , Christine Giger , willkommen geheissen werden . Wir wünschen Frau Giger viel Freude und Befriedigung als	Mütterberaterin	in Buchsi . Bild : links Christine Giger , rechts Elisabeth Liechti Foto GFM , Ruth Schwarz 07.12.2007 Unterschied « wie Tag und Nacht » Die Pläne für ein Hochhaus beim Bahnhof Münchenbuchsee sind beerdigt .	Sg	Ind	Mutter	U	1
http://www.floerken.de/tdfns2/html2/19400109%20kreisfuersorgerin%20recktenwald%20an%20gesundheitsamt.htm	1a6ec80e207a10c82d9bedb0b910a1b2eabb	12	Der Polizeimeister will in solchen Füllen mit der Fürsorgerin Hausbesuch machen . Dr. Seefeld , Rosbach , sprach gelegentlich der	Mütterberatung	von einem Kompaniebefehl , nach dem Soldaten , die sich mit Frauen der Heilstätte abgeben , verschärften Arrest erhalten . gez. ( Recktenwald Kreisfürsorgerin i ARSK , LSK 3275 , Bl 48 .	Sg	Ind	Mutter	U	1
http://www.uniklinikum-jena.de/frauenheilkunde/Start/Geschichte-font-12.html	50fcbf01fc746a221de394e4027d52a0d7c6	25	Nach dem in Greifswald erfolgreich abgeschlossenen Medizinstudium ging sie 1922 nach Jena , um hier mit ihrem Ehemann , ebenfalls Arzt , eine allgemeinmedizinische Praxis zu führen , in der Geburtshilfe ein Schwerpunkt war . Sie widmete sich besonders der Gesundheitsfürsorge im Wochenbett und im Säuglingsalter und führte in Jena die ersten kostenlosen	Mütterberatungen	ein . Klara Griefahn hatte selbst zwei Kinder und mit ihnen eine glückliche Zeit .	Pl	Ind	Mutter	U	1
http://www.schoenstatt.de/news2004/12dezember/4t1230de-rch-rancagua-navidad.htm	abc5e1fe45f85f7a1eb475dbf91096eb2420	10	Am 22. Dezember wurden die Weihnachtskartons verteilt . Während eine kleine Gruppe unterwegs ist und Weihnachtskartons verteilt , Lucia Maldonado aus der	Mütterbewegung	, was alles getan sein muss vom Besorgen der Kartons bis zur Verteilung an die bedürftigen Familien - eine wunderbar solidarische Arbeit der ganzen Schönstattfamilie . Man erinnert sich an Alexis und Ximena Henríquez , aus der Familienbewegung , die vor sechs Jahren diese Initiative in Rancagua angefangen haben .	Sg	Ind	Mutter	U	1
http://www.trennungsfaq.de/forum/archive/index.php/thread-1312.html	800f13db6afa285ec6c4deddf9f1c7abe80d	153	Väter haben und brauchen einen eigenen Zugang zu ihrer Rolle als Elternteil . Bislang jedoch ist Familienbildung traditionell	Mütterbildung	. Adressaten von Familienbildungsangeboten sind vor allem Frauen und die AnsprechpartnerInnen weiblich .	Sg	Ind	Mutter	U	1
http://beatrice-grimm.de/b_Alltaegliches2010.html	4d740b8f507901ac4c3ed05ef39cc1fe4544	331	Die neue Ausgabe von Mütterblitz ist online ! uriblank	Mütterblitz	ist das erste " matriviviale " Online-Magazin - an mütterlichen und dem Leben verpflichteten Werten orientiert . Wir machen Mütter zum Thema !	Sg	Ind	Mutter	U	1
