DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.kuehnle-online.de/literatur/ganghofer/hochland/11.htm	ca4d75e4d8a2ed24f6693b3ff579c971ea0a	252	Er deutete nach dem Fensterbrett . Als ich näher trat , gewahrte ich auf der blank gescheuerten Fichtenplatte , zwar schwach aber dennoch erkenntlich , die	Nägelabdrücke	zweier Bergschuhe . Ich rüttelte an dem Fliegengitter - es war von außen leicht zu öffnen .	Pl	Ind	Nagel	U	1
http://forum.ksgemeinde.de/archive/index.php/t-94937-p-6.html	c5d8a6d45bc6edbffb1970d74540b95985d4	95	Habt ihr schon einen neuen Leguan in Aussicht ? Tut mir leid , daß ihr eure grüne Lady erlösen lassen mußtet :( Skruf 03.01.2010 , 14:17 @ spikerico & Sammy : Henry hat auch so Rot / Braune Verfärbungen an den	Nägelansätzen	auch mal mehr mal weniger . Eine gute bekannte von mir die T.Ä. ist meinte mal anhand von Bildern das ist nur weil " heller Hund helle Nägel " da sieht man dann die kapiellaren durch ?	Pl	Ind	Nagel	U	1
http://forum.nfsplanet.de/archive/index.php/t-4961.html	4a30a3ce9c968165a25ef01805f898ee02fe	126	NFSU 2 RULEZZ ... aba was ich nicht verstehe : in dem trailer von NFSMW habe ich gesehen das man richtig tunen kann ... jedes teil einzeln Front-Heck und ihr wisst schon weiter ... das spiel ist nicht schlecht(NFSMW) . aba wo die übertrieben haben : ich bin bei blacklist 5. .. ich soll 20 Bull 3 n rammen ,14 Straßensperren durchbrechen davon 4 stck	Nägelbänder	... 7 min überleben und abhauen usw. .. eyy ich bin bei blacklist member 5 und das ist so schwer ... was verlangt Razor dann von mir ?? wie übertrieben ... naya trotzdem werde ich das spiel spielen und tunen muss ich wohl wieda in NFSU 2. .. bye King-Z 29.11.2005 , 19:09 hm .. lol .. was habt ihr nur alle mitm tuning .. ich mein es is doch genug .. wenig wäre so wie NFSU 1. .	Pl	Ind	Nagel	U	1
http://www.gesundheit-zum-nachlesen.de/ernaehrung-2.html	969a00e046015bb9b7b1e1567b50df982a0c	18	Liebeskummer ist eine heftige seelische Belastung , aber die schlimmsten Symptome sind gar nicht so schwer zu bekämpfen - mit der richtigen Ernährung und viel Bewegung . Gegen die tiefe Traurigkeit helfen nach Angaben der Gesundheitszeitschrif ... weiterlesen Knackige Äpfel helfen gegen Nägel kauen Forscher haben herausgefunden , dass das Kauen an den Fingernägeln auch dem Spannungsabbau der "	Nägelbeißer	" dient . Das Beste wäre demzufolge natürlich , Stress gar nicht erst entstehen zu lassen .	Pl	Ind	Nagel	U	1
http://510852.homepagemodules.de/t99f18-Buecher-zur-eigenen-Entwicklung-1.html	e053f5ab786afb6977cbc9aa9c23ad5c2251	66	ich hätte es jetzt nicht treffender beschreiben können . Es ist alles sehr ausführlich beschrieben , auch wofür genau jeder einzelne Finger / Zeh steht , bzw. worauf man bei bestimmten Veränderungen zb.	Nägelbeschaffenheit	, Verformungen etc. schließen kann bzw. welches Thema dahintersteht . Neugierig auf dieses Buch wurde ich eigentlich weil mich mein Mann immer auslacht ( nicht boshaft ) , da meine Zehen so extrem lang sind .	Sg	Ind	Nagel	U	1
http://www.kapba.de/KurzerUeberblick.html	22178275889a99e5d351edd0f476527d4e9c	68	Trotz der Waffenstillstandsvereinbarung , die in Moskau unterzeichnet wurde , die georgische Besatzungsarmee bombardiert weiterhin abchasische Städte und Dörfer . Setzen Artillerie und Raketenangriffe , benutzen die so genannten "	Nägelbomben	" , die nach den Genfer Konventionen verboten ist . Die einzige Möglichkeit zur Stabilisierung der Situation in Abchasien und dem zufolge im gesamten Kaukasus ist der sofortige und bedingungslose Rückzug alle Besatzungstruppen aus dem abchasischen Territorium und Aufnahme von Gesprächen mit dem Ziel eine politische Lösung für die Krise auszuarbeiten .	Pl	Ind	Nagel	U	1
http://www.whudat.de/der-king-beim-friseur-damals-und-gestern	81924bb7a334358f96b69f8c2d85073ab474	69	Erst lesen , dann schreiben ! *schlägtsichaufdiestirn* Nochmal @ GL : Für die Mädels gibts da	Nägeldesign	. ( Spontan wollte ich son Spruch in die Richtung " Gibts bei MAX BAHR auch . " bringen . Aber der ist mir zu platt ...	Sg	Ind	Nagel	U	1
http://www.gca.ch/Genealogie/Sternberg/Orte/Sternberg_B.htm	d03201d827f0b630e45c32d21c09d2749c30	16	untersetzter Statur . Zwei	Nägeleinbrüche	auf der Brust , ein Honigmaal am rechten Fuss . Gesucht wegen Diebstahls .	Pl	Ind	Nagel	U	1
http://www.hamburg-presse.de/pageID_9729517.html	a5d7fe59946dec802bea98421433e31a9d7c	94	Wir haben dafür lange und kräftige Eisennägel an Bord , die wir mit einem schweren Hammer zur Hälfte ins Gras zwischen Treidelweg und Kanalufer schlagen . Die	Nägelenden	belegen wir dann mit Vor - und Achterleine , werfen die an Bord befindliche Gangway raus , verschließen unser Schiff und gehen an Land . So dürfen Kanalfahrer in Frankreich pausieren .	Pl	Ind	Nagel	U	1
http://www.hahaha.de/witze/berufe/anwaelte-richter/8708/der-richter-zornig-angeklagter-warum-erzaehlen.html	43e46f29b876003d978283c053d3508f9dfe	113	Treffen sich nach langer Zeit zwei Schulfreunde und unterhalten sich über ihre Berufe . Schmitz ist Werbefachmann und Müller	Nägelfabrikant	. Spontan bietet Schmitz seinem Freund Müller eine Werbeaktion an .	Sg	Ind	Nagel	U	1
