DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.akszd.de/html/body_zuchterstudie3.html	487b2a8b20a23c18d34f54b1f54715dc62f1	63	Auf eine besondere Schwierigkeit gilt es bei den Zwergschecken hinzuweisen : Viele Tiere zeigen Ohren , die im unteren Bereich weiß durchsetzt sind , bis hin zu einer angedeuteten Streifenbildung . Nicht in den Ohrenrändern und nicht am	Ohrenansatz	, sondern wirklich in den Ohren . Dies ist sehr problematisch , weil wegen der besonderen Ohrenbehaarung das Schaufertigmachen nicht viel retten kann .	Sg	Ind	Ohr	en	1
http://www.castingshow-news.de/haben-sinti-bei-dsds-keine-chance-17535	b79aaa85dbfd1c6bc19da3500246e6882219	129	Und wenn du denkst das der Song sooo gut ist , kannst dir gleich einen Einweisung holen . Schlecht bewertet Gefällt mir oder Gefällt mir nicht : 4 10 OkayLetsGo sagt : 23. Januar 2011 um 23:58 @ Karl , der Einzige , der einen	Ohrenarzt	aufsuchen muss , und nicht nur den , bist DU !! Nicht allein , dass Du von Gesangstimmen keine Ahnung hast , Du hast auch ein großes Problem mit Dir selbst und brauchst DRINGEND psychatrische Hilfe !	Sg	Ind	Ohr	en	1
http://web2.cylex.de/suche/deutschland/ort-biedenkopf/plz-/l1cy1-d_ort1cy1-biedenkopf-plz1cy1-_name1cy1-biedenkopf-s1.html	1b07b9740ad20d2d7e68aa6a726c2ef65303	34	HEINZ WERNER DR . MED ARZT FÜR ANAESTHESIOLOGIE HESSEN , 35216 BIEDENKOPF , AM LEISEKÖPPEL 7 Betäubungsmittel , Gesundheit und Schönheit , medizinisches , Praktischer Arzt , Anästhesisten , Patienten , Arzt Biedenkopf , gesund , Heilberufe , Intensivmedizin , Anaesthesist , Anästhesist , Ärzte , Betäubung DR MED FRANK BERNECKER HESSEN , 35216 BIEDENKOPF , HOSPITALSTR 20 Sprechzeiten : Montag von 08:00 Uhr bis 11:00 Uhr von 14:00 Uhr bis 17:00 Uhr Dienstag von 08:00 Uhr bis 11:00 Uhr von 14:00 Uhr bis 18:00 Uhr Mittwoch n. V. / ambulante OPs Donnerstag von 08:00 Uhr bis 11:00 Uhr von 14:00 Uhr bis 17:00 Uhr Freitag von 08:00 Uhr bis 11:00 Uhr von 13:30 Uhr bis 16:00 Uhr Sonstige u. n. V. Genehmigung zum Ambulanten Operieren Sonographie der Nasennebenhöhlen medizinischer , Hals Nasen Ohrenärzte , Sozialwesen , Hals Nasen Ohrenheilkunde , HNO Heilkunde ,	Ohrenärzte	, Gesundheit und Schönheit , HNO Arzt , Facharzt , HNO Arzt ... HIRSCH HESSEN , 35216 BIEDENKOPF , MARKTPLATZ 3 öffentlich , Fachbereich , Ernährung , Prozesse , Allergien , Öle , Apotheken , Pflege , Apotheke Biedenkopf , Gesundheitsmittel , Apotheke , Gesundheit , Beratung , Kosmetik , Arzneimittel , Notdienst , SCHLOß - HESSEN , 35216 BIEDENKOPF , OBERMÜHLSWEG 1 Kompressionsstruempfe , medizinisch , diabetisch , Beratung , Pharmazie , Arzneimittel , Schmerzmittel , Gesundheitssystem , Kompressionsstrümpfe , Martin , Allergikerbedarf , krank , Vital , Allopathische , LANG DETLEF OPTIK HESSEN , 35216 BIEDENKOPF , BACHGRUNDSTR 6 Unser Ziel war es , ein ausgefallenes Konzept zu realisieren , in dem sich der Kunde wohl fühlt und sein Anspruch im Bereich gutes Sehen und Aussehen optimal erfüllt wird !	Pl	Ind	Ohr	en	1
http://www.sabro.de	8f75fbbb9cdf61db87527709fae6a19e8072	17	Damit auch Ihr Pferd in den Genuss von SABRO kommt , bieten wir natürlich auch den geeigneten Kappzaum , die gebisslose Zäumung , Kandaren sowie Trensen mit Ohrenausschnitten aus unserem tollen und vor allem soften Leder an ! Denn nur eine Trense mit	Ohrenausschnitt	ermöglicht ein entspanntes Ohrenspiel . Auch für Ihre Katze werden Sie hier mit Sicherheit fündig .	Sg	Ind	Ohr	en	1
http://www.netz-kids.de/3332.htm	d3cc4d141a1e8d0ab31ff0c9a58827101c1b	18	Im unteren Bildschirmbereich sind die einzelnen Hyperlinks nochmals als reiner Text aufgeführt . Vier weitere Links führen zu Informationsseiten über Bax Blubber ,	Ohrenbär	und die Märchenaktionen des WDR sowie zu der Liste mit anderen Kinderseiten im Internet . Letztere vier Hyperlinks wurden grafisch nicht hervorgehoben , um sie auf diese Weise von den Seiten abzuheben , die Informationen über die Sendung Lilipuz beinhalten .	Sg	Ind	Ohr	en	1
http://www.hermann-mensing.de/oktober06.htm	7e1001fd870e6fac0b859178461e3021427f	147	Morgen berichten wir EXCLUSIV . Ich werde Ukulele spielen , Lieder singen , Kurzgeschichten und	Ohrenbären	lesen und zwischendurch soviel Radau machen wie möglich . Es ist noch kühl , die Sonne wirft lange Schatten , möglich , dass ich gleich mein Rad ins Freie trage und davon fahre .	Pl	Ind	Ohr	en	1
http://www.wortpfau.de/zitate/H%E4tte.html	d8e084e7799309a54a3c7fe21f05d65d1c84	8	Nie hat man den gesehen , den eine gute Tat gereut hätte . Zitat von Jean-Jacques Rousseau Die	Ohrenbeichte	hätte dem Menschen nie sollen genommen werden . Ich hätte ihn nicht für einen Wald voll Affen weggegeben .	Sg	Ind	Ohr	en	1
http://www.roma-antiqua.de/forum/rom_24/gfrrrlulbh_zwei_heiligenfledderern_unterwegs_rom-13310-print	755a17603dcdadd79bc4db4e3abc352dbcf9	70	- und da das Reisearrangement wirklich günstig war , willigten wir ein . So saßen wir also mit unserer unfreiwilligen literarischen Begleitung zu nachtschlafender Zeit ( die	Ohrenbläser	hatten den frühestmöglichen Flug gebucht , damit mehr Zeit für Rom blieb ) am 19. Juli in einem Flugzeug , das uns dem Ziel unserer Sehnsüchte , der ewigen und heiligen und lärmenden und vor Lebenslust sprühenden Stadt , wieder einmal näher brachte . Das römische Programm war nach dem Willen unserer Ohrenbläser ja grob abgesteckt und vorgegeben .	Pl	Ind	Ohr	en	1
http://www.trinaural.de/vb3/archive/index.php/index.php?t-1718.html	50d4834803075c9cb89bfe2ee85b72ee66a6	22	Eben habe ich eine weitere dieser ESP Platten aufgelegt . Auch wenn das Thema mono hier in einem trinauraligen Forum sicher nur von einem wenig entwickelten und exotisch belegten , wie ein auch aus alten Büchern aufsteigendem Geruch anmuten mag , mir bieten sich so	Ohrenblicke	mit mir alt bekanntem Musikmaterial , das mich doch sehr überrascht . So wie auch diese Platte hier , die sich jetzt im Hintergrund dreht .	Pl	Ind	Ohr	en	1
http://www.sibirer-vom-kirnbach.de/html/sibirer_und_nevas.html	685b058e070646a6193e4c5ae3dc95bf62f9	43	Die runde Schnauze harmoniert zum stumpfen Dreieck des Kopfes . Die Ohren sollen mittelgroß sein , an der Basis breit und mindestens um	Ohrenbreite	auseinander stehend . Die verlängerte , senkrechte Linie des Ohransatzes endet in der Mitte des Auges .	Sg	Ind	Ohr	en	1
http://www.schlossmuseum.de/objekt/objekt23.html	59ec9739d8c643ad756688ac5c0490c5eac4	24	Zu Beginn des 18. Jahrhunderts ging die qualitative Führung im Brillenmacherhandwerk auf die englischen Optiker über . Sie schufen , da alle früheren Befestigungsweisen und Formen nicht zu befriedigen vermochten , die " Schläfenbrille " , wobei Stangen die Brille an die Schläfen drückten , und schließlich die "	Ohrenbrille	" , die mit der Verlängerung der Seitenstangen erstmals über die Ohren reichte 1752 wurden die ersten Brillen mit Doppelstangen , die durch ein Gelenk verbunden waren , angeboten . Der zweite , kleinere Teil war nach innen zu klappen , so daß sich die Stangen an den Hinterkopf anlegten .	Sg	Ind	Ohr	en	1
http://www.schlossmuseum.de/objekt/objekt23.html	59ec9739d8c643ad756688ac5c0490c5eac4	31	Auch mit der Einführung konkaver Gläser zur Unterstützung bei Kurzsichtigkeit und der zunehmenden Industrialisierung der Brillenherstellung durch verbesserte Schleifmaschinen und - methoden war man noch weit von einer " wissenschaftlichen " Optik im Sinne der Dioptrienberechnung entfernt , die erst zu Beginn des 20. Jahrhunderts Fuß zu fassen begann . Dennoch stieg um 1800 die Nachfrage nach den in Deutschland erst ab 1792 hergestellten	Ohrenbrillen	stark an , gerade auch in Norddeutschland . Kleingewerbliche Optiker bestimmten hier das Bild , wenn auch die Tendenz dahin ging , die Brillengestelle nicht mehr selbst herzustellen , sondern sie von der prosperierenden Brillenindustrie zu beziehen .	Pl	Ind	Ohr	en	1
http://www.beepworld.de/cgi-bin/forum_de/archive/index.php/t-123940-p-7.html	c24a9dd99d6407d33b80970217f46e781ec8	73	Irgendeiner findet sich immer . Macht echt Spass , stimmts ? 15.11.2008 , 08:59 ... Kann mir einer einen guten	Ohrenchirurg	empfehlen , der nach den alten methoden operiert ? Am liebsten im Raum Hamburg ...	Sg	Ind	Ohr	en	1
http://www.nikoninfo.de/forum/archive/index.php?t-32902.html	8d28e51b941ef81947edef7da1eb4e25dc1b	70	Gibt leider übers Internet keinen aussagekräftigen Hörtest , da die Computerlautsprecher oder die an der Stereoanlage die Frequenzen nicht wiedergeben können . Auch die meisten Kopfhörer schaffen das nicht , wo nur noch der Gang zu nem	Ohrendoktor	mit entsprechender technischer Ausstattung bleibt um das mal richtig prüfen zu lassen . Solange bleiben " nur " Vergleichswerte über wie Fledermaus , Fernsehröhre , Ultraschallreiniger ( nicht diese Spielzeuge ) , Sensorreinigung , Grillen usw. LG Wilhelm Nikonghostrider 23.04.2010 , 18:46 Ich habe auf meiner Kamera ebenfalls drei dunkle Stellen am am oberen linken Bildabschnitt .	Sg	Ind	Ohr	en	1
http://www.boxernothilfe.de/schicksale/edna.html	c87e02f3b99ae4f727f39c948e63a23ba113	2	Am Sonntag , den 1. September 2002 , fuhren wir nach Bocholt und holten Edna ab . Sie war sehr wackelig auf den Beinen , hatte eine schlimme	Ohrenentzündung	und einen dicken Abszeß am Hals . Es schien , daß sie kaum etwas hören konnte .	Sg	Ind	Ohr	en	1
http://www.zwerghase.de/widder.htm	b49333f1bd2363d35f872fdacbf6962f9eb6	39	Man hoffte , dadurch Ohrkrankheiten ( Ohrräude ) zu bekämpfen . Eigentlich ein Witz , denn beim Hund wird immer gesagt , daß Schlappohren weniger Luft bekämen und dadurch noch mehr zu	Ohrenentzündungen	neigen . Damit wollte man das Kopierverbot ( Zuschneiden und Aufstellen der Hängeohren ) verhindern , das jetzt im Tierschutzgesetz steht .	Pl	Ind	Ohr	en	1
http://www.edelsteindatenbank.de/bernstein.htm	ef9ddb209dd316a861d589bbe6b80ea0f3a2	53	Er fördert aber auch die schnellere Heilwirkung bei Asthma , Atemlosigkeit , Brustschmerzen , Entzündungen , Herzschwäche und bei der Basedowschen Krankheit . Sehr positiv wirkt er bei Infektionen ,	Ohrenerkrankungen	, Phantomschmerzen , Nierenerkrankungen , Störungen des Nervensystems , Taubheit , Schwindelanfällen , Reisekrankheit , Keuchhusten , Hormonstörungen , Gesichts - und Gürtelrose , Furunkel , Laryngitis sowie bei Leber - und Lungenerkrankungen . Die gelbe klare Farbe des Bernsteins löst Verspannungen und Verhärtungen .	Pl	Ind	Ohr	en	1
http://www.dag-muenster.de/content_dag/webpages_deutsch/konzerte.php	79a43d76655a6462ae526ea9390bfe6a187d	12	Es fällt angesichts der großartigen Leistungen aller Künstler schwer , den einen oder anderen hervorzuheben . Ein besonderer Blick - und	Ohrenfang	waren natürlich die Klaviertücke des amerikanischen Komponisten Mike Cornick für 6 Hände Baroque to the Blues - was man als " Fugato-Jazz " bezeichnen könnte - sowie Anyone for tennis und Benodet brise . Beeindruckend waren auch die 7 frühen Lieder von Alban Berg , gesungen von der Sopranistin Ji Young Kim und am Klavier begleitet von Jisun Yun , sowie die 3 spätromantischen Lieder von Alma Mahler , vorgetragen von der Mezzosopranistin Hye-Yeon Kim mit Klavierbegleitung von Juhee Lee .	Sg	Ind	Ohr	en	1
http://www.computerbase.de/forum/archive/index.php/t-617742.html	9b55487a197d4f3de5dff3327d47224aee01	229	Hallo , ich finde , dass man den Tragekomfort nicht zu testen braucht . Jeder Mensch hat eine andere Kopf - und	Ohrenform	. Wenn es beim Klaus passt , dann drückt es vielleicht beim Peter .	Sg	Ind	Ohr	en	1
http://www.crossover-agm.de/cdSoto04.htm	15f380f9fd98bd5706adef0fca8be9014420	5	Und das betrifft in erster Linie nicht die handwerkliche Qualität der dargebotenen Tonkunst , denn die ist unstreitig erstklassig , sondern vielmehr die größtenteils moderne Ausrichtung des Songmaterials . " Soul Divine " sorgt schon für ein erstes Grummeln in der Magen - und	Ohrengegend	; es mag wohl am Gitarrensound liegen , der sehr auf groovend modern getrimmt ist . Howie Simons Gitarrensolo kann den Song auch nicht wirklich retten .	Sg	Ind	Ohr	en	1
http://www.ratgeber.web8000.de/html/hoher_blutdruck_kopfschmerzen.html	48593ddd754f6d159d3c4d33cbb117fc2090	22	Wenn neben dem Kopfschmerz auch noch Schwindel auftritt , dann sollten Sie diesem Alarmzeichen unbedingt sofort Beachtung schenken . Für Schwindel und	Ohrengeräusche	ist meist eine Mangeldurchblutung im Gehirn verantwortlich . Sie sollten baldigst den Blutdruck behandeln lassen , wenn dieser Schwindel und die Kopfschmerzen anfallsweise auftreten .	Pl	Ind	Ohr	en	1
http://www.dasmedizinblog.de/2009/08	1b018e3957094370a58649b3f1cb098492fc	39	Man kann dieses Geräusch dann auch nicht einfach ausblenden oder darüber hinweg hören . Was kann man tun bei	Ohrengeräuschen	? Unabhängig von den Ursachen der Ohrengeräusche werden diese von Medizinern unter dem Begriff Tinnitus zusammengefasst .	Pl	Ind	Ohr	en	1
http://www.neuseelaenderclub.de/berichte/berichtvergleichsschau/30clubvergleichsschau.html	5aa0074e2e5bec6eed07f5e2949526945ad6	30	Vertreter mit kurzem , fleischigem und gut getragenem Ohr wechselten ab mit solchen , die faltige , etwas lange Ohren aufwiesen . Auch die breite	Ohrenhaltung	, bevorzugt bei Rammlern , wurde bemängelt . Sillmann wies in der Position " Deckfarbe und Gleichmäßigkeit " auf die drei Farbabstufungen und deren Besonderheiten hin .	Sg	Ind	Ohr	en	1
http://www.handicap-network.de/handicap/Handicaps/asthma/asthmaa.htm	cafb87aaa68c5e829de0427e9e208568729c	41	Fawziah Marra , Mitautorin der aktuellen Studie , betonte , dass nicht jede Infektion im Kindesalter mit einem Antibiotikum behandelt werden müsse . Die derzeitigen Richtlinien gehen laut BBC davon aus , dass Kinder unter zwei Jahren bei einer	Ohreninfektion	ein Antibiotikum erhalten sollen . Der Großteil der Infektionen der oberen Atemwege und Bronchitiserkrankungen würden jedoch durch Viren ausgelöst .	Sg	Ind	Ohr	en	1
http://www.der-gebrauchte-hund.de/uns_harry1.htm	8567f086f03d682ecf32dbe94b6dffa2091c	7	Nach mehreren folgenden Laboruntersuchungen konnte letztendlich eine Ansteckung mit Mittelmeer - und heimischen Infektionskrankheiten doch noch ausgeschlossen werden . Die Therapien hinsichtlich der	Ohreninfektionen	und der Haut - u. Fellprobleme dauerten noch viele Wochen . Auch wenn wir aufgrund des zu diesem Zeitpunkt fehlenden Vertrauensverhältnisses in Verbindung mit seinen traumatischen Erfahrungen durch erlittene Misshandlungen manch unorthodoxe Umsetzungsformen dieser Therapien einfallen lassen mussten , ging es aus medizinischer Sicht stetig aufwärts .	Pl	Ind	Ohr	en	1
http://www.pferdekutscher.de/vorpferd/fahren/fahrsport-und-fn/6167-hilfe-das-erste-turnier-steht-an	b9ed077c58c430e3f776eade75a675941358	9	Was soll ich anziehen ( Fahre eine Marathon in dunklem Grün mit hellbraunen Polstern und das Pony hat ein hellbraunes Geschirr ) brauche ich eine Bockdecke ? Dachte an dunkle Hose und helle Bluse ... 2. Sind an dem Pony	Ohrenkäppchen	erlaubt ? Sind Hufschuhe erlaubt ?	Pl	Ind	Ohr	en	1
http://www.alloriental.de	6196a72ec6a554b795541dea2f5b6a30c786	24	Überzeugen Sie sich selbst und testen Sie unsere Ohrenkerzen ! Neben	Ohrenkerzen	oder Badekugel und anderen Produkten zur äußerlichen Anwendung erhalten Sie bei uns auch Getränke mit wertvollen Inhaltsstoffen , wie zum Beispiel unseren Nonisaft . Er enthält viele natürlich vorkommende Mineralien und wird aus den Früchten der Morinda Citrifolia gewonnen .	Pl	Ind	Ohr	en	1
