DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.linksfraktion.de/nachrichten/nsu-ausschuss-beendet-beweisaufnahme/?drucken	8b438182072ed89396f50e3dd3c6daa85703	43	Nach mehrfachen Fragen wurde deutlich , dass nicht alle Quellen im Bereich rechts des BfV zum Trio befragt wurden , sondern nur die mit einem regionalen Bezug . Ein Zeuge wurde gefragt , ob er die seit Mitte der 90er Jahre im BfV geführte	Personenakte	zu Mundlos damals gelesen habe ? Nach dem dies positiv beantwortet wurde schloss sich die Frage an , ob ihm aufgefallen sei , dass Mundlos Mitte der 90er Jahre persönlichen Kontakt zu einer wichtigen Quelle des BfV mit dem Tarnnamen " Corelli " gehabt habe ?	Pl	Ind	Person	en	1
http://www.datenschutz-bayern.de/print/tbs/tb19/k6.html	6576fa96034f41cf8e1755aa895e6b2571d4	14	Die Prüfung umfasste in Bezug auf das Informationssystem IBA den Zeitraum von 1993 ( seitdem besteht das System ) bis zum Abschluss der Prüfung , sowie die in dieses System übernommenen Informationen aus dem Vorläufersystem auf insgesamt 86 Protokolldatenbändern . In Bezug auf das Registratur-Akten-verwaltungssystem wurde der gesamte Datenbestand erfasst , in Bezug auf die Personen - und Sachakten der gesamte von uns als relevant angesehene Bestand ca. 250 Aktenordner und Dokumente ) .	Personenakten	im Sinne der Vorwürfe habe ich nicht festgestellt . Soweit nichtextremistische Politiker in nicht suchfähig abgelegten Aktenstücken erwähnt werden , handelte es sich zumeist um Hinweise auf Veranstaltungen oder Medien extremistischer Organisationen , in denen diese Politiker Erwähnung fanden .	Pl	Ind	Person	en	1
http://jakoblog.de/tag/soa	10ee41a0b19287ee1adf92a1e2338f31c024	90	Ich könnte den Webservice so erweitern , dass er die SeeAlso-API verwendet ( siehe Ankündigung ) , so dass Links auf Wikipedia auch nur dann angeboten werden , wenn ein passender Artikel vorhanden ist . Für einen verlässlichen und nachhaltigen Dienst ist es dazu jedoch notwendig , dass der SWB seine	Personenangaben	und - Normdaten mit der PND zusammenbringt . Natürlich könnte auch nach Namen gesucht werden aber warum dann nicht gleich den Namen einmal in der PND suchen und dann die PND-Nummer im Titel-Datensatz abspeichern ?	Pl	Ind	Person	en	1
http://www.sommerferien-jetzt.de/hamburg_ferienvohnung.html	0bb5bc9e77f91ccb651f29bcf008f73cfcd7	13	Sie können auf der Titelseite mit einige verschiedene Forderungen nach Ferienhäuser suchen , und mit nur eine klick an " Find Sommerhus " ( finde Ferienhaus ) Bekommen Sie eine Liste mit Ferienhäuser , die ihren Forderungen erfüllen . Auf der Liste sehen Sie 20 Ferienhäuser einer nach dem andern , und Sie können auch die nummer des Hauses sehen , Gebiet ,	Personenanzahl	und Areal des Ferienhauses . Bei einem klick auf einem Ferienhaus können Sie weitere Informationen lesen und auch einen Bescheid zu dem Vermieter schreiben oder um Kontaktinformationen bitten .	Sg	Ind	Person	en	1
http://www.adk.de/de/aktuell/veranstaltungen/index.htm?we_objectID=31404	270c8b7df4b2bd17d3c349df501b5c0e4ef4	18	Sein Archiv bereichert also die Archivbestände der Akademie zum Künstlerexil während des Nationalsozialismus . Mit 320	Personenarchiven	sind sie die bedeutendsten im deutschen Sprachraum . Das Rebling-Archiv tritt dabei in den engeren Kontext anderer Exilanten in den Niederlanden , die sich größtenteils um die Fortsetzung des jüdischen Kulturbunds in Amsterdam gruppierten ; die Namen Kurt Singer , Rudolf und Herbert Nelson , Camilla Spira seien genannt , aber auch das Paula Salomon-Lindberg-Archiv ; bei dieser herausragenden Gesangspädagogin erhielt Lin Jaldati nach Kriegsende eine profunde Gesangsausbildung . Ihr Leben und ihr Archiv stehen aber auch für die Judenverfolgung in den besetzten Niederlanden und ihr Überleben in den Konzentrationslagern Auschwitz-Birkenau und Bergen-Belsen .	Pl	Coll	Person	en	1
http://www.nikoninfo.de/forum/archive/index.php?t-24820.html	20c0b4cb9ac801cd79f02e1b2259425311b5	88	nur unscharfe Aufnahmen gemacht , nun für die einen ist es " Kunst " , wenn ich so was einschicken würde , würde es heißen , der ist zu blöd seine Kamera zu bedienen . Auch	Personenaufnahmen	die ich als totgeblitzt bezeichnen würde werden da als Kunst abgedruckt . Ich bin daher sehr vorsichtig , was dieses Thema angeht und Du Heinz schreibst ja selbst , das man sich in einem anderen Forum schwer in der Wolle hatte .	Pl	Ind	Person	en	1
http://www.stadt-markkleeberg.de/de/leben_wohnen/wohnen/Betreutes_Wohnen	4372b6f80ee2a4d9d16b74198bceeb9727ce	10	Auch eine Anschlußmöglichkeit für ein Notruftelefon ist in jeder Wohnung vorhanden . Das alle Hausaufgänge über einen	Personenaufzug	verfügen , versteht sich von selbst . Die Wohnungsgrößen variieren in der Regel zwischen 34 und 60 qm , eine Wohnung hat eine Größe von 110 qm und ist besonders für eine Familie mit pflegebedürftigen Kindern gedacht .	Sg	Ind	Person	en	1
http://news.immobilo.de/2013/02/15/treppenlift-die-geschichte-eines-verkannten-helfers	9ef1386cc9489bf328090cbf8c0c0a403652	10	Die Beförderung von einem Stockwerk ins nächste wurde schließlich durch die Einführung von Aufzügen erheblich erleichtert , sodass es heutzutage nicht mehr denkbar ist , dass etwa Angestellte 30 Etagen zu Fuß hochsteigen müssen , um in ihre Büros zu gelangen . Die Technik von	Personenaufzügen	wurde bis zur Mitte des 20. Jahrhunderts immer weiter verbessert und schließlich flächendeckend in neu gebaute Hochhäuser , besonders in Bürogebäude , integriert . Zwar gab es damals noch keine Treppenlifte im heute bekannten Sinne , doch ihre Wurzeln liegen in ebendieser Zeit - denn sie funktionieren nach einem ganz ähnlichen Prinzip wie Fahrstühle , indem sie Personen und Lasten von einer Etage in die nächste befördern können .	Pl	Ind	Person	en	1
http://www.kooperation-international.de/buf/grossbritannien/laenderbericht.html	f5feadb05a0397aed99bd402699ddc29fbbb	401	Knowledge Transfer Portal Im Februar 2009 haben die Research Councils einPortal zum Wissenstransfer eingerichtet , das Angebote und Aktivitäten der sieben Forschungsräte zusammenfasst . Das Portal ist untergliedert in die vier Bereiche Forschungszusammenarbeit , Ausbildungskooperativen , Informations - und	Personenaustausch	sowie Kommerzialisierung und Entwicklung . Der Wissenstransfer von der Forschung in die Gesellschaft und in Unternehmen war auch ein wichtiger Aspekt des im Dezember 2006 veröffentlichten Berichts Making the most of UK Research .	Sg	Coll	Person	en	1
http://mmgz.de/leistungen.htm	bc6dd4ce486ea0d501184a847632955790a8	1	Diese Ansprache erschien als Faxbox-Predigt des Bergmoser + Höller Verlags . nach oben Konzept , Webdesign : XIQIT GmbH Home Nachrichten Volkshilfe Links IG-Gründung Interregnum AUSWAHL Home Argumente Beispiele BEWUSST SEIN Bücher-Dateien Dank schenken Deutschlandverzeichnis Nachrichtenüberblick Nachrichten abonnieren Neue Gemeinschaft Partnerhinweise Regeln Ziele Kontakt Interregnum Die IG-Leistungen Argumente WARUM Beispiele die IG-Regeln die IG-Ziele die IG-Leistungen Notfallanweisung Rechtsbeistand Der IG-Ausweis ist auch in Deutschland als Interregnumausweis bzw.	Personenausweis	einsetzbar und überall zu verwenden . Kostenfreie telefonische Unterstützung und Beratung für IG ' ler , bei Problemaufgaben .	Sg	Ind	Person	en	1
http://abschnitt5.leibelt.de/index.php?/archives/P22.html	3919c657816dc30c440fb4a1f05df9d201f1	50	Diese Alternativroute führte letztendlich zur ausgeschriebenen Zielhaltestelle . Wie sich Sekundenbruchteile nach dem Verlassen des	Personenbeförderers	heraustellen sollte , war diese Zielhaltestelle optimistisch weit vom eigentlichen Ziel entfernt . Sich seiner Orientierungslosigkeit bewusst werdend , brachte A 5 einen Jocker ins Spiel , das Mobilfunktelefon .	Sg	Ind	Person	en	1
http://www.fachinformationen-finanzen.de/boerse-aktien/zukunftsideen-des-mobilitaetsunternehmens-taxmobil-finden-einhellige-zustimmung_12059.html	49af3dc8c233d8301743e96728f5b8d01e40	13	Schon jetzt bewertet dabei eine namhafte Frankfurter Wirtschaftsprüfungsgesellschaft die Aktien der Taxmobil AG weit über ihrem aktuellen Verkaufspreis . Die Taxmobil AG bringt ein innovatives Mobilitätskonzept auf den Markt mit dem Ziel , durch den Verkauf der Dienstleistung " Individuelle	Personenbeförderung	auf Basis eines unternehmerisch organisierten Sammelverkehrs " , Gewinn zu erwirtschaften . Weitere Informationen uriblank Autor / Kontakt : Oehme FinanzMarketingBeratung Herr Michael Oehme Friedberg Fon : 06031 / 96 59 800 Fax : 06031 / 96 59 801 URL : uriblank Kontakt aufnehmen Hinweis : Fachinformationen-Finanzen.de distanziert sich ausdrücklich vom Inhalt dieser Pressemeldung / dieses Artikels .	Sg	Ind	Person	en	1
