DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.knx-user-club.de/forum/archive/index.php/t-649.html	075490c75a78c756715921cf9126d89397f8	86	Ist das eine Vermutung , oder lässt sich Deine These argumentatorisch untermauern ? Gibt es eine Untersuchung von Deiner Seite oder anderweitige Erkenntnisse , dass sich über die Abgabe einer kostenlosen Software der	Produkteabsatz	in einem ähnlich angesiedelten Markt beleben liess ? Nur mal so am Rande ..	Sg	Ind	Produkt	e	1
http://www.smoodo.de/gesundheit-medizin	af8c8940d73c50feaa01cd92e523c89627b3	24	Wir verstehen darunter eine Form der Mediation . Das	Produkteangebot	des YogiSAN Shop ist für Yoga-Anwender , und deckt den entsprechenden Bedarf . Das sind Hilfsmittel , Taschen , diverse Sitzkissen , aber auch spezieller Schmuck .	Sg	Ind	Produkt	e	1
http://www.journal-b.ch/de/092012/politik/27/Gest%C3%B6rte-Beziehung-kitten-Medien-Finanzierung-Webung-Verlag-Publikum-Journal-B-Markt.htm	3ccc02c3098134a7fda6208615300e0a01e5	26	Zwar wollen nun die meisten grossen Häuser mit kostenpflichtigen Online-Angeboten auch beim Aboverkauf wieder zulegen , mit vorerst noch ungewissem Ausgang . Die klassische Werbung mit Image - und	Produkteanzeigen	ist für Medienunternehmen weitgehend verlorenes Terrain . Bannerblindheit und Adblocker bei den Lesern sowie das mächtige Google-Anzeigenimperium machen den Display-Anzeigen im Netz das Leben schwer .	Pl	Ind	Produkt	e	1
http://www.mahnerfolg.de/rechtsgebiete/index.php/europaeisches-banken-und-versicherungsrecht	6c08de01c10fd0f750f4accfd4bc86ae7032	17	Behandelt werden auch das Auftreten am Markt , die Verträge , insb . jede Form der Kreditvergabe , vertriebsrechtliche Fragestellungen sowie die	Produkteaufsicht	. Das Buch ist vornehmlich für Praktiker geschrieben , die sich einen verlässlichen Überblick über die binnenmarktrechtliche Regulierung von Banken und Versicherungen verschaffen wollen .	Sg	Ind	Produkt	e	1
http://forum.gofeminin.de/forum/soins/__f882_soins-Hat-jemand-Erfahrungen-mit-Mary-Kay-Produkten-gesammelt.html	d5b8de854c92e097b64d6094ca537a6da322	57	Der Dermatologe schreibt nur starke Salben auf , die ich nicht vertrage oder verpasst mir über 3 Monate lang ein Antibiotikum ( half damals , aber nach Absetzen fing wieder alles an ) . Heute hat mich eine	Produkteberaterin	v. Mary Kay auf meine Haut angesprochen u. mit mir einen Beratungstermin ausgemacht . Da die Produkte nicht gerade preiswert sind , würde ich gerne eure Meinung dazu hören .	Sg	Ind	Produkt	e	1
http://www.nice-deals.de/category/sonstiges/page/20	285ce55c14e0f7d54747f1a213da590829e2	15	Darunter befindet sich eine Liste der Eigenschaften , aus der man in Kürze das Wichtigste herauslesen kann . Zudem findet man im	Produktebereich	zahlreiche Tipps zur Benutzung verschiedener Produkte und hilfreiche Tipps für allgemeine Alltagsthemen . Zudem werden neue Produkte immer unter Produktnews aufgelistet .	Sg	Ind	Produkt	e	1
http://www.seco.admin.ch/themen/00385/00440/index.html?lang=de	276c41e19b7009138b45755670cd2784985a	20	Diese wurden nach dem Prinzip des " New Approach " konzipiert und harmonisiert . New and Global Approach / Normierung / CE Kennzeichnung Zudem sind diese	Produktebereiche	Teil des Abkommens über die gegenseitige Anerkennung von Konformitätsbewertungen zwischen der EU und der Schweiz ( MRA ) . Mutual Recognition Agreements Die Kontrolle über die Einhaltung der Vorschriften über das Inverkehrbringen ( Marktkontrolle ) obliegt je nach Produkt den verschiedenen durch die PrSV und das WBF bezeichneten Kontrollorganen ( siehe die Abschnitte zu den einzelnen Produkten ) .	Pl	Ind	Produkt	e	1
http://beautyjunkies.inbeauty.de/forum/archive/index.php/t-21584-p-38.html	c12abc79a74337e9ff9b08b1e05bda9baba5	389	;-) bitte unbedingt berichten , ja ... :-) southernsun 27.11.2007 , 18:27 Ich hab doch schon ein Riesenwarenlager :schaem: Wenn laufend neue Sachen kommen und ich jedes Mal bestelle , kann ich den	Produkteberg	nie abbauen . Im Januar kommt ja auch schon wieder das Asam Hyaluronset , was auch schon auf meiner Wunschliste steht :gruebel: Dabei habe ich noch nichtmal alle Produkte von der ACE-Linie getestet .	Sg	Ind	Produkt	e	1
http://www.mythen-post.ch//datei_forum_2004/forum_juni_2004.htm	9bd5033f64b4bc3b78fcaf7cc881791eb25f	766	- keine Ahnung . Daher lassen Sie irreführende und falsche "	Produktebeschreibungen	" in Zukunft besser weg . Mit freundlichen Grüssen Urs Beeler Kritik an NATRACTIV Sehr geehrter Herr Urs Beeler , vielen Dank für Ihre Kritik an unseren Produktbeschreibungen .	Pl	Ind	Produkt	e	1
http://www.referate-max.de/referate/007215_marketing.htm	5eb88c0eef3702742c45b837c175b48853d6	27	Marktbearbeitung wird effizienter gestaltet . Geographische , Demographische , Sozialpsychologische ( Lebensstil , Temperament ) und verhaltensbezogene ( Freizeitgestaltung ,	Produktebindung	) Segmentierung . Marktgrössen 1. Marktpotential : maximale Aufnahmefähigkeit des Marktes 2. Marktvolumen : Umsatz in Bezug auf Kundengruppe 3. Marktanteil : % - Anteil des Unternehmung - Umsatzes am Marktvolumen ( Unternehmungsumsatz * 100 ) / Marktvolumen Zeigt relative Stärke gegenüber Konkurrenz .	Sg	Ind	Produkt	e	1
http://www.arial.ch/stempel/motiv_stempel.htm	55c5d28a1f7a06268b15074b1ee6f7e30f59	1	Organisator & Co . Produktmanager & Co . Business-Analyst & Co . Change-Manager & Co . Beratung Überblick AGB | Impressum | Deutsch | Français | Italiano | | Kontakt | Kundendienst | Hilfe | Stempel » » » Zur Stempel-Übersichts-Seite Adressstempel Buchungsstempel Datumstempel Rundstempel Tauchstempel Neue Stempelplatte Trodat Printy Textstempel rechteckig ■ Textstempel rund ● Datumstempel ■ Mobile Printy ●■ Texplatten für Printy Ersatzkissen für Printy Trodat Professional Textstempel ●■ Datumstempel ●■ Ziffernstempel ■ Textplatten für Professional Ersatzkissen für Professional Trodat Impressor Spezial-Stempelfarbe Colop Printer Texplatten für Colop Ersatzkissen für Colop Colop EOS Flash Holzstempel Stempelkissen Stempelfarbe Stempel-Zubehör Textplatten zu Trodat / Colop Ersatzkissen zu Trodat / Colop Diverses Kataloge als PDF Für alle unsere Produkte stellen wir auch einen Katalog oder	Produkteblätter	im PDF-Format bereit . Wissenswertes Visitenkarten Mit unseren kostenlosen Vorlagen Mit unseren kostenlosen Bildern Mit unseren kostenlosen Logos Mit Upload Ihrer Datei Mit Upload Ihres Bildes Mit unserem QR-Code-Generator Zweiseitige Visitenkarten Druckmuster Infos und Preise Schilder » » » Zur Schilder-Übersichts-Seite Parkplatz-Schilder Frei / Besetzt-Schilder Aluminium-Schilder Messing-Schilder Mein Konto Mein Konto Dies ist der Bereich unserer Website , welcher nur registrierten Kundinnen und Kunden zur Verfügung steht .	Pl	Ind	Produkt	e	1
http://www.nice-deals.de/category/sonstiges/page/20	285ce55c14e0f7d54747f1a213da590829e2	18	Hier findet man interessante News zu neuen Produkten und oft zusätzliche Informationen , die man sonst nicht findet . So kann man sich auf der Suche nach einem bestimmten Produkt gleich informieren sobald es auf	Produktebox	zu finden ist und dann auch gleich in wenigen Klicks kaufen . { lang : ' de ' } KategorienSonstiges Tags : Produktebox Kostenloses Girokonto inkl. 50 Euro Geschenke sind da , um sie entgegen zu nehmen .	Sg	Ind	Produkt	e	1
http://www.knx-professionals.de/forum/archive/index.php/t-6575.html	5af990afb6d523e379f61ed857563ddf3644	8	Ich habe die Schnittstelle bis jetzt 1 mal eingesetzt . Es gibt und braucht keine	Produktedatenbank	gemäss Angaben der Firma welche das B+O in meinem Objekt geliefert und installiert hatte . Ich musste nur die verwendeten Gruppenadressen angeben .	Sg	Coll	Produkt	e	1
http://www.swisstextiles.ch/cms/front_content.php?idcat=6%26sCat=164	74420012f353eafddf64470073d843fff27b	62	Der " Swiss Textiles Award " - Gewinner von 2009 wurde zum neuen Chefdesigner des renommierten französischen Modehauses Balenciaga ernennt . 28.11.2012 Internationale Designer für die Edition Ruckstuhl 2013 Die Ruckstuhl AG konnte für ihre neue Edition sechs international anerkannte Designer aus den Bereichen Mode , Architektur und	Produktedesign	gewinnen . 07.11.2012 Ursula Andress im Smoking von Rosmarie Amacher An der ersten " Gala de Berne " , die zu Ehren von Bondgirl Ursula Andress veranstaltet wurde , trug die Hauptakteurin einen eleganten Smoking aus dem Hause " À ma chère " .	Sg	Ind	Produkt	e	1
http://internetblogger.de/2014/02/blogger-gesundheit-blogparade	4ed3263e179d1bacf4a4fa1b07691af41a05	36	Ich habe momentan im Shop nichts zu tun , solange ich nicht vom Gewerbeamt das OK habe . Dann kann ich mich um die	Produkteeinstellung	kümmern , was eh einfach ist . Wie Lothar darüber denkt , weiss ich nicht und ich werde es so machen wie ich es für richtig halte , trotz eurer Kritik .	Sg	Ind	Produkt	e	1
