DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.nordkirchen.de/Aktuelles/Aktuelle_Meldungen,archive-y,year-2009,month-11,id-30954.html	abc8596cf64c7d8e2cfd77294d0ed8226c3e	7	Seit diesem Tag steht vor der Tür des Bürgerhauses eine Wanderliege , in der bis zu vier Personen Platz finden können . Die Liege ist nur eines von vielen Sitzmöbeln die im Rahmen des Projektes " Erlebte Natur - und Kulturlandschaft in der	Schlösserachse	Nordkirchen und Westerwinkel " konzipiert wurden . Es sind mehrere Bänke , Hocker und Liegen entstanden , die die Schlösserachse unverwechselbar machen werden .	Sg	Ind	Schloss	Uer	1
http://www.salzkammergut.at/advent.html	3a7c0295283cc7ac9a1a61f63c0043bac2b1	8	Jeder Weihnachtsmarkt im Salzkammergut verzaubert mit seinem ganz speziellen Flair : beim traditionsreichen Advent am Wolfgangsee erwarten Sie tausend Lichter , eine romantische Schiffsfahrt über den See und ein idyllischer Christkindlmarkt in St. Wolfgang , St. Gilgen und Strobl . Besonders stimmungsvoll sind auch der Advent in Mondsee und der	Schlösseradvent	am Traunsee . Am Fuschlsee laden die kleinen , charmanten Adventmärkte zum Advent der Dörfer .	Sg	Ind	Schloss	Uer	1
http://www.vimudeap.de/335_5099.html	627c3f55d5eb6c68a4ecf6e336c6a6a04512	20	Laut Parkverwaltung sind dabei konservatorische Maßnahmen gegen eine Beschädigung des Bauwerks durch das Erdreich ( Abdeckung mit wurzelfestem Geotextil ) erfolgt . Zwischen der " Arbeitsgemeinschaft Modell-Fort Sanssouci e.V. " s. Link ) und der zuständigen " Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg " schwelt nun ein Streit über die Rechtmäßigkeit und die Art und Weise der erfolgten und erforderlichen Erhaltungs - und Dokumentationsmaßnahmen , der nicht ohne gewissen Pathos seitens der Arbeitsgemeinschaft und obstruktiver Informationspolitik seitens der Stiftung geführt wird . Immerhin handelt es sich um einen Bestandteil einer als UNESCO-Weltkulturerbe ausgezeichneten und als solche besonders schützenswerten Park - und	Schlösseranlage	, für die aus dem Denkmalschutzrecht eine besondere Sorgfaltspflicht erwächst . Tatsache ist , daß das Fort seit den achtziger Jahren und spätestens seit der Wende zunehmend Vandalismus und Diebstahl ausgesetzt war .	Sg	Ind	Schloss	Uer	1
http://www.initiative-hauptstadt.de/veranstaltung_30.06.2011_24	c420a5be6dc7ad43ce2de985cf12912b0fea	3	Wir freuen uns sehr , unsere Mitglieder und Gäste im Rahmen einer neuen Serie von Mitgliederveranstaltungen mit Besuchen historisch relevanter Orte zu einer exklusiven Führung durch das Schloss Schönhausen einladen zu können . Ein Kleinod preußischer	Schlösserarchitektur	mit einer besonders bewegten Geschichte erwartet uns . Das Schloss , das Friedrich der Große 1740 seiner Frau Elisabeth Christine geschenkt hat , gehört zu den wenigen Schlossbauten Berlins , die den 2. Weltkrieg unversehrt überstanden haben .	Sg	Ind	Schloss	Uer	1
http://www.deutsches-architektur-forum.de/forum/archive/index.php/t-7712.html	f8f3b2ffabc5414de84293cd8a75b5cc5d3b	2	Fortsetzung von diesem Thread ( uriblank ) . Für die Fachhochschule Düsseldorf wird auf dem Schlachthof - /	Schlösserareal	in Derendorf ein neuer Campus gebaut . Hier ( uriblank ) ist der alte Thread zu der Fläche .	Sg	Ind	Schloss	Uer	1
http://www.tourbee.de/thueringen/weimar/weimar.html	e2d4e0e1a127aa38549df7a52ded512f48fb	30	Weimar ist allerdings nicht nur Zentrum für Kultur und Tourismus , sondern auch für einen aufstrebenden Wirtschaftsraum . Zu diesem Profil tragen bei : Classic-Center Schöndorf mit Bros , Hotels , Einkaufszentrum und 300 Wohneinheiten Industriepark Weimar Gewerbegebiet Senborn Dienstleistungspark Sackpfeife sehenswerte Altstadt Im historischen Stadtkern mit Frauen - und Jakobsvorstadt ,	Schlösserbereich	, Ilmpark gibt es täglich neue Toristenströme zu sehen . ) F ( Frauenplan mit Goethehaus : lang gestrecktes Barockhaus mit drei Fassadenteilen .	Sg	Ind	Schloss	Uer	1
http://regnum-forum.gamigo.de/archive/index.php/t-8717.html	d2d3e9bf1353541cb07d7f3c023951f5dbb7	22	Dachte eigentlich wäre ein sinnvoller Thread , aber naja um noch was sinnvolles mal hier rein zu schreiben : Mein vorschlag wäre Eferias mit Algaros tauschen oder halt die Karte etwas symmetrischer gestalten - > Der Grund hierfür ist Efe und shaana liegen nebeneinander Asilus hat die weiteste strecke zu beiden Schlössern . Ignis hat es was	Schlösserbesetzung	angeht momentan am einfachsten da die kürzesten wege . Syrtis hats näher zu Shaana müßte aber verhältnismäßig viel weiter laufen nach Imperia .	Sg	Ind	Schloss	Uer	1
http://www.kottingwoerth.de/dorf/nachrichten/2003/03/24maerz03.htm	f6b22c8d0c1bd0a92914c7de045b7b5d6094	8	Am 13. September findet eine Radltour statt , noch im Frühjahr wird ein Kegelabend organisiert . Im Zeitraum von Ende April bis Mitte Mai 2004 ist ein zweitägiger Ausflug in den Königswinkel bei Füssen mit Bergwandern ,	Schlösserbesichtigung	und Musicalbesuch geplant . Die Aktiven werden dabei zudem gegen die AH des TSV Schwangau auf dem Fußballfeld antreten .	Sg	Ind	Schloss	Uer	1
http://www.motorradonline24.de/mo24forum/touren-und-reisen/reiseplanung/651183/einmal-schottland-und-zur%C3%BCck/?s=7b366b372717a83f8b23713de91c9aba7aa0b9e6	fe9c7c63ddd09ffcfebdc670df61127f6f98	53	Da vergaß ich sogar meine Mückenstiche . Die Wanderungen haben wir dann etwas verkürzt und sind zu	Schlösserbesichtigungen	übergegangen . Ok , wir hatten wohl so richtig Pech gehabt .	Pl	Ind	Schloss	Uer	1
http://portal.dielinke-in-sachsen.de/dresdenfraktion.asp?iid=242%26mid=115%26uid=	90d49680ff280b9036642fb79b1cd60360a2	80	Die kulturpolitische Sprecherin der Fraktion DIE LINKE im Dresdner Stadtrat und Landtagsabgeordnete Annekatrin Klepsch bedauert das Scheitern der Arbeitsgruppe , hat jedoch großes Verständnis für die Entscheidung der Bürgerinitiative . Das Ende der Arbeitsgruppe ist offenbar Ausdruck der Ignoranz des Staatsbetrieb Sächsisches Immobilien - und Baumanagement und des	Schlösserbetriebs	gegenüber dem bürgerschaftlichen Engagement der Pillnitzerinnen und Pillnitzer . Der Park stand den Dresdnerinnen und Dresdnern jahrhundertelang gebührenfrei offen und es ist der Bürgerinitiative zu danken , dass wenigstens im Winter auf den Eintritt verzichtet wird .	Sg	Ind	Schloss	Uer	1
