DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.antbo.de/kataloge/a0096/seite-2.html	12c0c94c0e4573b20cc66ea2e4fc9a0dd006	181	d. AK " Geschichtliche Entwicklung des	Stadtraumes	" Hannover , Schroedel 1974. Forschungs - und Sitzungsberichte 97. 169 S. .	Sg	Ind	Stadt	Ue	0
http://www.dynamostadion.de/presse04/2004presse11.html	7d2cf6a544c91722851be9f49c5046cba6c2	95	" Eine Ausschreibung ohne festen Standort würde uns keinen Schritt weiterbringen " sagt	Stadtsprecher	Kay Schulz .	Sg	Ind	Stadt	Ue	0
http://www.mittelzentren.de	bf73c35bf7b5c1998937c5a95ae5b574f2fe	9	Hierbei geht es um eine " schleichende Auszehrung " der	Stadtkerne	, die sich in Form von Kundenschwund , Leerständen und ausbleibenden Investitionen äußert .	Pl	Ind	Stadt	Ue	0
http://www.bayern-evangelisch.de/nachrichten/leseprobe.php	ff3cbda4b8cb770148cca29e27dd87204e2d	25	Deshalb hängt gleich neben dem Christusbild im ersten Raum der Schau , die acht Säle umfasst , ein Gemälde des Münchner	Stadtmalers	Hans Mielich , der den bayerischen Herzog Wilhelm IV .	Sg	Ind	Stadt	Ue	0
http://www.weblexikon.de/Osnabr%c3%bcck.html	c93d23b88e6366a7f8ace919a9936c160dcc	31	Etwas vom	Stadtkern	entfernt geht die Bebauung in zweigeschossige Reihen - und freistehende Häuser über .	Sg	Ind	Stadt	Ue	0
http://www.jcdecaux.de/pressemitteilung+M506ded9d6a0.html	162b2beeac094ad10a922aefc4bb2a1c7f98	22	Dieses überzeugende Ergebnis verdanken wir zum einen der kontinuierlichen Stärke unseres Unternehmensbereichs Transportmedien , mit seiner einmaligen Präsenz im asiatisch-pazifischen Raum , und zum anderen einem gesunden Wachstum in unseren Kernmärkten für	Stadtmöbel	wie Frankreich und Deutschland .	Pl	Ind	Stadt	Ue	0
http://www.golden-leaf-hotel.de/stuttgart/links-und-tipps-fuer-ihre-staedtereise/see-strand-berge-mehr.html	3ccf1043b6b73603f3809aaf05e62be49d15	5	Öffnungszeiten : Der	Stadtstrand	hat im Sommer ( Juni-August ) bei regenarmen und sonnigem Wetter geoeffnet .	Sg	Ind	Stadt	Ue	0
http://rostock-sport.de/berichte2010/beri-230.html	5b947c16a148d9cbb9a99d82135f5559634c	17	Einer davon ist , dass ich mich in diesem Jahr an der	Stadtwette	beteilige .	Sg	Ind	Stadt	Ue	0
http://www.eilenburg.de/de/geschichtliches-im-detail/2014-04-15_stadtfest-programm-hat-gestalt-angenommen.html?sword_list%5B0%5D=stadtfest	e5d6b59eec23bcb3764c85e15476f04fe610	29	Der Eintritt zum Eilenburger	Stadtfest	ist frei .	Sg	Ind	Stadt	Ue	0
http://www.kunsthandwerker-maerkte.de/titelarchiv_aktuell_11_1.html	2d4d5aa758d8b64def8fae9e30ae2291816b	299	An alle Teilnehmer der Veranstaltung ART & Life am 29. und 30. Januar in der	Stadthalle	Braunschweig .	Sg	Ind	Stadt	Ue	0
http://art-service.de/article/palast_und_villenbau_in_siena_um_1500_studien_zur_entwicklun.html	120c2ff47fc460c47dd1fdd59f379f9ffa48	6	Von daher nutzten die privaten Bauherren um 1500 die freien Entfaltungsmöglichkeiten , die der Villenbau außerhalb der	Stadtmauern	zuließ , um sich mit den Innovationen der zeitgenössischen Architektursprache auseinanderzusetzen 14,5 x 22 cm , 160 S. , 55 Abb. , pb .	Pl	Ind	Stadt	Ue	0
http://www.markgroeningen.de/2312_DEU_WWW.php?font=base	1fd51f3cee28ab7189842cd85e905ceb5183	12	In die erste Zeit des	Stadtausbaus	gehörten neben dem Bau einer Stadtburg in der Nordwestecke der älteren Stadtsiedlung und der Anlage einer Stadtmauer auch die Erneuerung der Stadtkirche unter dem Stadtherrn Graf Hartmann von (Württemberg-)Grüningen .	Sg	Ind	Stadt	Ue	0
http://www.hwk-muenchen.de/74,3789,6422.html	6f62be59be7fd375e9a3ed2479af9f8beee9	7	Schaffung eines anerkannten Weiterbildungskurses für Fachkräfte aus dem Handwerk , freiberufliche Berater , Architekten ,	Stadtplaner	und Ingenieure verschiedener Fachrichtungen .	Sg	Ind	Stadt	Ue	0
http://www.ahf-muenchen.de/Tagungsberichte/Berichte/htm/2001/52-01.htm	5a9299a7a0343aa5954226ee6d41e73f1dbd	7	Allerdings haben diese den weitgehend historischen Charakter der Stadt zum Glück nicht dauerhaft beschädigen können , wie der	Stadtrundgang	am Freitag nachmittag deutlich machte .	Sg	Ind	Stadt	Ue	0
http://www.ingo-oschmann.de/de/gastebuch/?from=100%26select=6	0e73b0034a4161e4ba47f3d8cc6be7676715	13	Lieber Ingo , danke , es war ein toller Abend im	Stadttheater	Wunstorf !	Sg	Ind	Stadt	Ue	0
http://www.hhesse.de/artikel.php?id=45%26offset=70	6916d8c9aff28947360f4b8d1eb9b5ebb927	54	Während seiner Reise mußte Hesse die Realität der modernen	Stadtexistenz	erleben , die ganz anders als sein Ideal im Tessin war , woran er schon gewöhnt war .	Sg	Ind	Stadt	Ue	0
http://www.tourist-mv.de/tourist-mv/berichte-2007/berichte-056.html	e8e5836016e0ec2d8b22024caed41e245ca0	4	Am 1. Juli 2007 ist auf der L 22 bereits alles überstanden und der Parkplatz am	Stadthafen	wieder direkt befahrbar .	Sg	Ind	Stadt	Ue	0
http://www.verwaltung.uni-wuppertal.de/forschung/2002/Fb3/Huebner03.htm	0cc6c56f9b315ed4f34214c9ea90f9eafafb	2	Die periodisch durchgeführte allgemeine Bürgerbefragung des Amtes für Informationsverarbeitung und	Stadtforschung	enthielt deshalb auch spezielle Fragen zum Sportverhalten .	Sg	Ind	Stadt	Ue	0
http://www.kaenguruh.de/unternehmen/leistungen.html	a436b12b19b49010bac02a9c35fa2258d7e0	27	Neben den wichtigsten Tageszeitungen , Wochenblättern und	Stadtmagazinen	in den neuen Ländern , sind es vor allem Kontakte zu Hörfunk - und Fernsehstationen , die wir in den letzen Jahren enorm ausbauen konnten und mit denen wir kooperativ zusammen arbeiten .	Pl	Ind	Stadt	Ue	0
http://im-stadtrat.de/2010/03/19/bittere-niederlage-oder-sieger-der-herzen	6de033f7a9891bef34c264e4e3908779a197	10	Wir sollten es uns nicht erlauben , die "	Stadtminister	" ohne transparente Kontrolle im Hinterzimmer der Fraktionsräume und im nichtöffentlichen Ausschuß auszukarteln .	Pl	Ind	Stadt	Ue	0
http://www.karlsruhe.ihk.de/Recht/wettbewerbsrecht/1520696/Preisangaben_im_Handel_und_bei_Dienstleistungen_inkl_Versand_In.html	9ca38e3a347c402935c2c552a482b4adcc0b	142	Die Preisüberwachung erfolgt durch die örtlichen Landratsämter bzw. in	Stadtkreisen	durch die Stadt .	Pl	Ind	Stadt	Ue	0
http://www.dh-ontour.de/reise/bike/2002france/reisedoku2.htm	0ae70833059ea50e955de8ea82570d20e6f4	53	In Barcelonnette finden wir aufgrund eines	Stadtfestes	keine Zimmer mehr .	Sg	Ind	Stadt	Ue	0
http://www.elfnachelf.de/page/12	46d2ee92f96e668ff5d3bf3b0ca53aea7a74	31	Ksta.de wertet das Urteil als empfindliche Niederlage für	Stadtkonservatorin	Renate Kaymer , die trotz Bedenken ihres Amtskollegen auf Landesebene eine Baugenehmigung aus denkmalrechtlicher Sicht erteilt habe .	Sg	Ind	Stadt	Ue	0
http://www.geisenfeld-online.de/kunst/veranstaltungen/2009/ehrung/vorbericht.htm	201ead8c1080647909b8cac06a8e331ef8bf	19	Man habe sich anfangs überlegt , ob es sich lohne , die mittlerweile zerschlissene Fahne - die am 22. Juli 1956 erstmals von	Stadtpfarrer	Franz Heldmann im Beisein von Fahnenmutter Anna Heinzlmeier und Fahnenbraut Christa Götz geweiht worden war - überhaupt der Nachwelt zu erhalten , räumte die zweite Bürgermeisterin ein .	Sg	Ind	Stadt	Ue	0
http://www.gruene-muenchen-stadtrat.de/seiten/texte/presse_htm/P00/presse_0006/presse_000626.html	7291612fa2560b78ddb9313e04f173e10bd2	3	Statt endlich eine transparente und humane Einwanderungspolitik zu treiben , so	Stadträtin	Tassia Fouki-Friedl , versuche die CSU die aktuelle Einwanderungsdebatte mit ihren altbekannten Verdrehungen und Verfälschungen zu bestreiten .	Sg	Ind	Stadt	Ue	0
http://www.rzuser.uni-hd.de/~cd2/drw/s/C.htm	1095aab470ddfcf0a2459e1a679d83b53479	288	Cirullies , Michael : Die Rechtsterminologie des	Stadtgerichts	Babenhausen in der zweiten Hälfte des 14. Jahrhunderts / Michael Cirullies .	Sg	Ind	Stadt	Ue	0
http://www.kalifornien.citysam.de/hotels-kalifornien/hotel-duesseldorf.htm	5b0dc9eb25b80605135f7d91afa4cdf821de	40	Speziell für	Stadterkundungen	, für Nachtschwärmer sowie für Geschäftsreisende ...	Pl	Ind	Stadt	Ue	0
http://www.us-infos.de/fakten-schlafen.html	8c66c9200ea880d1a8ffb0cf26d32fa532ba	6	Motels befinden sich zum Teil in der Innenstadt ( insbesondere in kleineren Städten ) , am	Stadtrand	oder am Rande großer Straßen .	Sg	Ind	Stadt	Ue	0
http://www.roller-forum.de/archive/7527/thread.html	8e47bf5707ab86cc7d5ebc1a30af7f89d2ba	17	- mangelhafte Wartung - schlechter Treibstoff - Verschleiß - ... da gibt es letztendlich tausende Punkte , bei einer	Stadtleiche	die plötzlich Langstrecke laufen soll kann es zudem auch sein das sich die Rübe einfach mal ordentlich auskotzt und sich da halt einfach der Dreck der Jahre auflöst ...	Sg	Ind	Stadt	Ue	0
http://www.cowawa.de/vermischtes/mara11/index3.htm	85af8e425f040cc9bce1802986592593e1e6	311	In Duisburg - neben Frankfurt und Berlin einer der ältesten deutschen	Stadtmarathons	- sind es sogar nur fünfunddreißig über Tausend .	Sg	Ind	Stadt	Ue	0
http://www.merian.de/magazin/wien-design-hinter-historischer-kulisse.html	49a24eb3761ba801772c234e2165f843c9fd	24	Lange Zeit galt der klassizistische Adelspalast mit Blick auf den	Stadtgarten	als funktionslose Altlast .	Sg	Ind	Stadt	Ue	0
