DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.geburtshaus-hamburg.de/aktuell/neu.php	2cde14bf6115090ef074eb059802bac23f57	26	Kooperation mit " Väter e.V. " ab 2010 ! Ab 2010 findet in Kooperation mit " Väter e.V. " in unseren Paarkursen ein	Väterabend	statt . Osteopathie in der Schwangerschaft , nach der Geburt und bei Säuglingen Eine Schwangerschaft bringt zahlreiche Veränderungen mit sich und der Körper stellt sich auf diese u.a.kör perlich , strukturell und hormonell ein .	Sg	Ind	Vater	U	1
http://www.trennungsfaq.de/forum/archive/index.php/thread-2809-1.html	889dd7e960a23790e33158be295e76ee7fbd	1	Das alte Männchen aber verwandelte sich in Rauch und verschwand und wurde selig . Powered by : phpMyForum 4.2.1 © Christoph Roeder Trennungsfaq-Forum Trennungsfaq-Forum > Diskussion > Medien , Zeitungsartikel > Österreich : Väteraktivisten unter Terrorverdacht Normale Version : Österreich : Väteraktivisten unter Terrorverdacht Du siehst gerade eine vereinfachte Darstellung unserer Inhalte . Normale Ansicht mit richtiger Formatierung . Seiten : 1 2 3 4 marecello 20 - 02 -2010 , 11:36 Justiz :	Väteraktivisten	unter Terrorverdacht Die Linzer Polizei ermittelt gegen Väter , die in Scheidung lebend um ihre Kinder kämpfen , und wirft ihnen Beteiligung an einer terroristischen Organisation vor . Langsam aber sicher leben wir vergleichsweise wie in einer Diktatur und einem Unterdrückerstaat uriblank Vater 21 - 02 -2010 , 03:51 ... Väter sind Terroristen . ...	Sg	Ind	Vater	U	1
http://www.trennungsfaq.de/forum/archive/index.php/thread-442-5.html	3ab3e4fd4e789385bc73b30450729a1815e0	31	Ich vermute ganz stark , dass ein Satz wie dieser : " Trennungsbedingte Kindesentzugsverschärfung durch vorgeschaltete Vätermonate sind der Gipfel zynischer Väterverachtung " den Ausschlag gegeben hatte . Liest sich nämlich nicht so versöhnlich , in Zeiten der	Väteranfütterung	. 04 - 03 -2009 , 11:31 Meine Chips sind verdaut und die Verlautbarung von Frau Zypries erwartungsgemäß kurz , patzig und unschlüssig - wie nicht anders erwartet .	Sg	Ind	Vater	U	1
http://www.eltern-kind-programm.de/ueber_uns/verein/mitglieder.html	35054c46b8ae8273f3deb05d45d8e9c19756	20	Allein im Bereich der Kinderbetreuung in den Ferien wurden über 250 Wochen gebucht . Insgesamt waren 2011 bisher 166 Familien in den Seminaren , Freizeiten und Familienerlebnistagen , 132 Mütter , 62 Väter , man beachte den hohen	Väteranteil	, 258 Kinder , davon 57 über 10 Jahre - was hervorzuheben ist , da ja viele denken , EKP sei etwas für Familien mit kleinen Kindern . Es waren also insgesamt 452 Personen und 3 Seminarveranstaltungen stehen dieses Jahr noch aus .	Sg	Coll	Vater	U	1
http://www.prinzengarde-duesseldorf.de/de/historie-250.html	17c765ec6ceaf1ad6f152315fe4bf62a57d7	25	Besatzung und Unruhen ließen keine Zeit zu frohem Treiben . Wenn auch hier und da der Versuch gemacht wurde , nach	Väterart	ein bodenständiges Fest , ein Fest , so recht verwurzelt mit den lebensfrohen Rheinlanden , wieder zu neuem Leben zu erwecken , so schnürte damals der Feind alle Pulse ab , um diesen Mummenschanz , der mit dazu beitrug , an die alte gute Heimat in Treue zu halten , zu verhindern . Aber mit den Herzen der Rheinländer war der Karneval viel zu eng verwachsen , war er ein viel zu hehres Gemeingut seiner Sonnenkinder geworden , als dass sie ihn auf Dauer hätten missen können .	Sg	Ind	Vater	U	1
http://www.europrompt.de/euro-news/recht/seite_3.html	0c9614312e1d93d3e143c55090d599e0c453	23	Berlin ( Deutschland ) , 9. 12. 2009 - Unterschiedlich sind die Reaktionen auf das " Nichtehelichen " - Urteil des Europäischen Gerichtshofs für Menschenrechte ( EGMR ) . Väterrechts-Vertreter wie die Vereine " Trennungsväter e.V. " und "	Väteraufbruch	für Kinder e.V. " sowie der " Vätergrün " - Gründer und Grüne Bundestagstagskandidat Jörg Rupp , neu in den Parteirat der Grünen Baden-Württembergs gewählt , haben die Entscheidung begrüßt . Horst Mahler schrieb Manifest im Gefängnis München-Stadelheim Freitag , 04. Dezember 2009 um 09:31 Uhr Brandenburg ( Deutschland ) , 04. 12. 2009 - Der ehemalige Rechtsanwalt und RAF-Mitbegründer Horst Mahler hat ein 39 - seitiges " Manifest " verfasst und über einen Bremer Verlag veröffentlichen lassen .	Sg	Ind	Vater	U	1
http://www.freiburg-schwarzwald.de/familie2.htm	4e8666b7cc2f485a5d89c336bb353a51812f	428	Die Grundschule Neuershausen und die Karlschule in Freiburg hätten bereits ihr Interesse angemeldet . Arü am 28.12.2005 in der BZ Kontakt : DRK-Kreisverband Freiburg , Referat Familienbildung , Telefon 0761 / 88508 - 643 , E-Mail : emailblank Väteraufbruch - Kinder brauchen nicht auch den Vater Die hiesige Ortsgruppe des	Väteraufbruchs	hat ermittelt , dass es in Freiburg " mehrere hundert Kinder gibt , die ihren Vater nicht mehr sehen , obwohl sich diese Väter um ihre Kinder kümmern möchten " . Sie wollten nicht nur " Spaßväter " sein , sondern sich - auch zur Entlastung der Mütter - aktiv an der Erziehung ihrer Kinder beteiligen .	Sg	Ind	Vater	U	1
http://www.trennungsfaq.de/forum/archive/index.php/thread-2642.html	32334a3243e37d2e6f7bf7ffb4817e8697d7	69	Bemerkenswert , wie ich finde ! Ebenso bemerkenswert die Ambivalenz der Forderungen zu Interventionen in Familienstrukturen - religiös begründet , i.O. , in Bezug zu	Väterausgrenzung	und Feminismus abzulehnen ? Dass hier vielleicht das eine Rädchen in ein anderes greift ist u.U. mal einen kleinen Gedankenspaziergang wert !?	Sg	Ind	Vater	U	1
http://www.suryoyo.uni-goettingen.de/lskv/sergios1.html	2f7981cb71ef04f3ef0c6593f44927e416f3	77	Alles spricht dafür , daß S. selbst , angeregt durch Schriften des Theodoros von Pharan ( oder Raithu ) und eines Georgios Arsas , der Monophysit und Anhänger des jakobitischen Patriarchen Paulos des Schwarzen war , die monenergetische Unionsformel " entdeckt " hat J. L. van Dieten ) . Wie dem auch sei , feststeht , daß er letzteren 616 ( nicht 618 ) um ein Florileg von	Väteraussagen	über " die eine Energie Christi " gebeten hat V. Grumel , Regestes , 280 ) ex -279 ( ) und daß er bei ersterem um 620 anfragen ließ , was er von der oben erwähnten verlorenen Schrift des Menas und der Unionsformel von " der einen Energie in Christus " halte ( Regestes , 281 ) . Theodoros schloß sich offensichtlich den Auffassungen des S. an .	Pl	Ind	Vater	U	1
http://www.crossover-agm.de/cdVASoliloquyColourfulGrey02.htm	afc27b02b72cf9297fbd72b84784e3cced81	17	Doch der Mix ist durchaus gelungen . Wild durcheinander höre ich hier und da wieder und wieder die beiden	Väterbands	der Rockmusik heraus . Allerdings verhelfen Colourful Grey ihrem Titel zu ein wenig höherer Geschwindigkeit , als ich es auf meinen alten Cure-Kassetten gewohnt bin .	Pl	Ind	Vater	U	1
