DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.heimatfreunde-aussig.de/korektur.htm	14c99f930aa3177fae27173c4b4bec5d2fe0	13	Schiffswerften , Vinola , Solvay-Sodawerk ( TONASO ) , Schleusen mit Stoney-Anlage und Hydrozentrale von 1923 - 1935 u. a. . Im ZOO ( früher der Lumpe-Park mit	Vögelreservation	) richtete man einen Lehrweg mit hölzernen Dinosauriern , einer Mini-Burg und einer Tierausstellung ein . Zu den Merkmalen der Stadt gehören der Marienberg , Aussichtsgaststätte Ferdinandshöhe ( Vetruše ) und weitere Gipfel des böhmischen Mittelgebirges .	Sg	Ind	Vogel	U	1
http://www.standardwellensittichzucht-lenk.de/artikel34.html	33e3bc71aa0b27bfc9a1f0356f0cfba83906	103	So ein Wellensittich ist , wie alle Ausstellungszüchter wissen für ewig nicht mehr ausstellbar . Nach dem ich wieder einmal mit einem sehr guten Jungvogel davon betroffen war , es war mein bester Jungvogel von der Zuchtsaison Ringschere Die im Bild dargestellte Ringschere ist speziell zum trennen von Ringen an	Vögelfüßen	konstruiert worden . Mit ihr ist es sehr leicht einen Ring von einem Vogelfuß zu trennen .	Pl	Ind	Vogel	U	1
http://www.kakadu-info.de/forum/archive/index.php/thread-599-3.html	c98a1a7347ecb774abbaa7ae94b001941a62	14	Das andauernde saubermachen geht mir richtig auf die Nerven - das STIMMT . Ich glaube aber nicht das alle Papageienbesitzer davon begeistert sind das sie andauernd die	Vögelscheisse	bei sich zuhause wegmachen können . Aber ich hab mich damit abgefunden - ich musste mich damit abfinden .	Pl	Ind	Vogel	U	1
http://www.roma-antiqua.de/forum/rom_24/endlich_mal_rom_etwas_verspaeteter-10634-print-2	608be0a2816de1c5a9b75dcfe9fb84d2bc58	20	Herzlichen Dank dafür und vor allen Dingen für die Aufnahmen . Die Bilder von den	Vögelkonturen	nachbildenden Vogelschwärmen sind sensationell . Nach dem Betrachten aller anderen Aufnahmen ist man versucht zu beschließen , selbst nie wieder seine ' Schnappschüsse ' hier im Forum zu veröffentlichen meint tacitus FestiNalente 06.01.2010 17:14 Den Worten von Tacitus ist nichts hinzuzufügen :thumbup: Ich bin - mit vielen - gespannt auf die Fortzetzung !	Pl	Ind	Vogel	U	1
http://www.fellfussel.de/Afrika/Namibia89.htm	f330b6fc064d4b645aff081dd10bf6c023f3	504	Dafür treffen wir unterwegs zwei schöne Kudus ! Später versuchen wir uns im	Vögelfilmen	. Zuerst sehen wir eine Toko-Familie , die aber recht scheu sind .	Pl	Ind	Vogel	U	1
http://vogelforum.digiwurm.de/wichtig-dohlennest-mit-eiern-drin/comment-page-1	c9a9177bedfe43f5b35e83236e6c5243a72d	22	Ich würde mit den Eiern nichts machen . Wenn es schon	Vögelküken	wären , dann klar , würde ich sie aufpäppeln , aber da sie ja noch nicht geschlüpft sind , würde ich sie lassen . Sie sind sicher so oder so nicht mehr zu retten , weil die Eier , ab einer gewissen Reife , permanent gewärmt werden müssen .	Pl	Ind	Vogel	U	1
http://www.nymphensittichforen.de/beitrag19102.html	0d5cbdaa7b3fa8294f9c1a4334965001bfd8	66	Weiß nicht wo du her kommst , aber kann Dir sonst auch Zoo-Phoenix.de empfehlen ! Die Vögel dort leben und großen	Vögelzimmern	in großen Schwärmen , sind ein wenig zahm . Die Leute dort haben Ahnung von Nymphensittich !!	Pl	Ind	Vogel	U	1
http://www.africanhunters.de/7.html	cd4fe98b8920129c1559ea193e112a2e4901	44	Auch hier gilt wie immer auf der Jagd : Nicht das Kaliber ist allen entscheidend , sondern die Treffpunktlage des Schusses . Für Auerwild und Birkwild empfehlen wir .222 Remington oder .223 Remington , da beide Kaliber verhältnismäßig weite Schüsse vertragen und die	Vögelkörper	schonen . Andere ähnliche Kaliber sind ebenso brauchbar .	Pl	Ind	Vogel	U	1
http://www.buchen-sie-mv.de/ruegen-und-hiddensee.html	5fd8877aa74281716712f3d8ca55b13948b1	21	Rügen bietet für jeden Urlauber etwas und das nur nicht im Sommer ? der Hauptsaison . Immer mehr Urlauber sind begeistert von der ruhigen Winterlandschaft Rügens sowie den	Vögelzügen	in Frühjahr und Herbst . Auf Rügen und Hiddensee bieten wir Ihnen die folgenden Unterkünfte an : Weitere Unterkünfte finden Sie im Online-Buchungssystem : Sollten Sie bei den Unterkünften unserer Gastgeber kein passendes Angebot und keine passende Unterkunft mehr finden , empfehlen wir Ihnen unser Online-Buchungssystem , welches Ihnen freie und direkt buchbare Urlaubsunterkünfte auch anderer Anbieter auf Rügen und Hiddensee anzeigt .	Pl	Ind	Vogel	U	1
http://www.tczew-witten.de/aktuell/2004a/a041031.html	2602edbb65f00fd7d9065c7c47c65695666b	21	Kann man den Geruch wahrnehmen , um die Freiheit zu spüren ? - Besonders im Frühling , wenn die	Vögelgebrüder	zusammen im Orchester singen und versetzen sich von Platz zu Platz ? Doch riskiere ich es und nenne es den Geruch : Die Vögel riechen nach frischem Hefekuchen aus Omas Ofen , den sie kurz vor Ostern gebacken hat .	Pl	Coll	Vogel	U	1
http://www.yellopet.de/voegel-beitrag-8792.htm	8942ef0a0124c6bd6e0137e1ec172ae8194d	20	Mache jetzt den Käfig auf . » User # 5255 schrieb : Hallo , bring die Elter doch zu einem TA oder einer	Vögelstation	oder so . Aber lass sie doch nicht von einer Katze oder so holen .	Sg	Ind	Vogel	U	1
http://immerlicht.over-blog.de/m/article-56352184.html	c52569afbff3aabf40eb7d00d5c12f8b7884	12	Ansonsten könntest du die Himmelswache der Sha ' tar auf ehrfürchtig bringen und dir die Netherrochen holen . Man kann Dailys machen sowie diese	Vögelmobs	kloppen , aber je nach Rufstand kann das ganz schön dauern . Da würd ich dir eher die Kurenai empfehlen .	Pl	Coll	Vogel	U	1
http://www.pennys-wochenrueckblicke.de/2006_03_01_archive.html	0682925a4f59615d636dd8cb764e0dc63785	83	Vielleicht ist es aber auch schade , dass eine derartige Klage-Kultur in Deutschland nicht existiert . Wäre doch toll , lauter Leute die	Vögelverkäufer	aus Zoohandlungen vor den Kadi zerren , weil sie Panikanfälle bei jeder Erkältung bekommen . Da hätten selbst die Schöffen endlich mal wieder nen Grund zum Lachen .	Pl	Ind	Vogel	U	1
http://www.mik-ina.de/2010/11/07/mach-das-internet-schlau/comment-page-1	1097e47d27b4dcd7caf66f2b6f39f42f8419	21	Macht man nicht . Also nein . wie das Auto vor	Vögelkacke	schützen ? Vor was ?? Ach so Garage . wenn eine Ware das Lager verlassen hat , wann kommt sie dann ?	Sg	Ind	Vogel	U	1
http://www.pentaxinfo.de/forum/archive/index.php?t-2319.html	bf64b2acdf424e5d1dc4348ff1cd5c67c9e9	41	So kann man natürlich nicht fotografieren . Bei	Vögelfotografie	würde ich AF-C einstellen , dann führt der AF automatisch mit . Mit einfachen Worten : Ein beweglicher AF !	Pl	Ind	Vogel	U	1
http://www.planeta-verde.de/reisen/Brasilien-Pantanal/unterkunfte.php	bbd208a26213b298280ba56b6f000b5f52e7	31	Insgesamt ist die Fazenda aufgrund einer beeindruckenden Artenvielfalt am besten geeignet für Naturliebhaber und Naturfotografen . Pousada Pouso Alegre Diese Jahrzehnte alte Rinderfarm , die den Rücken zur traditionellen Rinderzucht gekehrt hat ( diese wird nur für den eigenen Bedarf weitergeführt ) hat große Bedeutung durch ein Araschutz-Projekt erlangt , welches die Fazenda zu einer Art Mekka für	Vögelfreunde	aus aller Welt werden ließ . Der Grund des extraordinären Vogelreichtums ist der Bento Gomes Fluss , welcher die 11.000 Hektar große Fazenda durchquert , und während der großen Trockenzeit von Mai bis Oktober fast vollständig austrocknet .	Pl	Ind	Vogel	U	1
http://www.hgv-ehningen.de/strassen.htm	0ad9202be0d3ecc1694f8bbd9c103a725be9	725	Der Zeisig gehört zu der Gattung der Finken . Diese Straße im Gebiet " Herdstelle " wurde wie einige andere auch nach einer heimischen	Vögelgattung	benannt . Ziegelweg Die Ziegelhütte , wo der in der Gemarkung Ehningen in großer Menge vorkommende Lehm gebrannt wurde , befand sich am südwestlichen Dorfrand .	Sg	Ind	Vogel	U	1
http://www.vogel-portal.de/forum/archive/index.php?t-39368.html	d7ee05d92b38259dd985793843a83ea32d45	59	Mein Gott ihr pflegt wieder eine Kultur ohne gleichen . Allesamt die	Vögelhalten	ob hier oder wo anders haben immer 100 % die Legalität gepachtet ...! Hier seh ich kein Verzug und keinerlei Kriminelle Tätigkeiten .	Pl	Ind	Vogel	U	1
http://www.doctorsdiaryfanforum.de/t2682f146-Kommentare-zur-Story-von-Kate-12.html	4646217fa632e42764ed47bb9b8d05bc88cf	92	Sissi Majestät , es wird ja immer bunter , niemand hier zieht die Kaiserin runter , alles ist nur der Spannung geschuldet , es wäre schön , wenn Ihr das erduldet . Pinklady Rosa Dame hat es mit den	Vögelsorten	, traumhaft sicher jongliert sie mit Worten . Pinky , Du bist eine Pfundsgranate , den Storch ich zu jeder Zeit Dir gern brate .	Pl	Ind	Vogel	U	1
http://www.jiggle.de/vb/fussball/51500-jiggle-bundesliga-tippspiel-saison-2011-2012-a.html	ad644f7b481bbf30c6af4adbc7c2757dc887	34	Da hast du wohl recht . nach oben # 17 ( permalink ) 04 - 08 -2011 , 23:55 - Jiggle Bundesliga Tippspiel Saison 2011 / 2012 Rocky Extremposter Level -1 - Registriert seit : Sep 2008 Alter : 45 Beiträge : 3.146 Borussia Dortmund - Hamburger SV 1:1 SV Werder Bremen - 1. FC Kaiserslautern 3:1 Hannover 96 - 1899 Hoffenheim 2:2 1. FSV Mainz 05 - Bayer 04 Leverkusen 1:3 VfB Stuttgart - FC Schalke 04 1:1 1. FC Köln - VfL Wolfsburg 2:1 FC Augsburg - Sport-Club Freiburg 1:1 Hertha BSC - 1. FC Nürnberg 2:1 FC Bayern München - Borussia Mönchengladbach 4:1 _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ Mensch , ärgere Dich nicht - lieber die anderen ! nach oben # 18 ( permalink ) 05 - 08 -2011 , 16:01 - Jiggle Bundesliga Tippspiel Saison 2011 / 2012 Ach komm du	Vögelexperte	. Wer Breitwandbilder machen kann , der hat auch ein wenig Ahnung von Fußball ...	Sg	Ind	Vogel	U	1
http://www.lexikus.de/bibliothek/Die-Kinder-des-Kapitaen-Grant	5c534eb385d23cdad49538545d081f15e872	18	Das Fort Independence . Die Hochflut . Worin man nach	Vögelweise	lebt . Worin man noch immer nach Vogelweise lebt .	Sg	Ind	Vogel	U	1
http://www.imloop.de/archiv/looparc/loop188.htm	4e89c74349301973e5f45be2bdc59af203bd	301	Juhu Leute , Sonntag !	Vögelschlägerei	in der Birke ! Go , Spatz , go ! Schnapp dir den Wurm , Yiha ! Sasa - 11.01.04 at 12:25:0 3 u n s t o l z Sasa - 11.01.04 at 05:30:0 4 Implied Author . Sasa - 11.01.04 at 04:11:2 3 Ich denke nicht , dass ich ein Zauberer bin .	Sg	Ind	Vogel	U	1
http://www.frankreich-sued.de/prominente-server/Georges%20Braque/Georges%20Braque.htm	9d3ce7edf3b8cf7be18d24eea32bf49e95fc	7	Nach dem Ersten Weltkrieg , bei dem Braque verwundet wurde , war sein Kontakt zu Picasso nahezu abgebrochen ; Braque arbeitete wieder vermehrt mit der Farbe als Ausdrucksmittel . Nach dem Zweiten Weltkrieg entstanden vor allem seine " Atelier - und	Vögelbilder	" . Braque zählt zu den wichtigsten Künstlern der Moderne , der außerdem die französische Tradition der Landschaftsmalerei aufrechterhielt .	Pl	Ind	Vogel	U	1
http://vogelforum.digiwurm.de/was-ist-mit-einem-hahn-los-der-nonstop-kraeht/comment-page-1	810a83302f8f6d872a584b4c43d97836c664	24	Mit dem Krähen markiert der Hahn sein Revier . Da wir uns dem Frühling nähern und schon einige	Vögelscharen	aus ihren Winterquartieren zurückgekehrt sind , sollte man annehmen , dass der Hahn Frühlingsgefühle hat und seine Hennen ruft . Besseres fällt mir dazu nicht ein !	Pl	Coll	Vogel	U	1
http://wow.ingame.de/forum/beta-tagebuecher-1409/lieber-tagebuch-177818/seite-2	41624a583959f9d6b0a2d94af23beafb8f4a	140	Die sind auch jetzt Live . Hm ... jetzt bin ich schon wieder in so ein kleines Lager gelandet , mit Tauren und so ein Nachtelfen , da durfte ich die	Vögelviecher	töten und solche Natta aufsammeln , danach durfte ich mit so ein Zauberteil die Vögel säubern , manchmal explodierten sie , manchmal wurden sie sehr böse auf mich , oder sie wurden Freundlich , also es sind schon Lustige dinge eingebaut wurden . Später musste ich ein Ritual mit diesen Nachtelfen machen , dort kam Schwarze böse Tiere und Dämonen raus , ich sollte dort diesen Riesen Kugelvieh , denn man aus Blutkessel kennt ( 2. boss ) töten , so hatte ich auch die Quest fertig .	Pl	Ind	Vogel	U	1
