DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://www.dr-ulonska.homepage.t-online.de/html/body_atzenhausen_bis_1933.html	4d2633efc06f8a5a91379b603bb5135b68a6	222	An dieser Stelle muss auch dreier unermüdlicher Helfer der Gemeinde gedacht werden . Von 1879 - 1914 wirkte in Atzenhausen der	Wegeaufseher	Wieland , der die Straßen des Amtes Reinhausen und später des Landkreises Göttingen in jenem Bezirk betreute . Ohne seinen sachverständigen Rat wäre der Ausbau des Straßen - und Feldwegenetzes nicht denkbar gewesen .	Pl	Ind	Weg	e	1
http://www.hatzenport.de/gemeinde/archiv/2007/070928.html	9702f2efd354a251acd24fff80cb6de966f1	50	Unseren Natursteinkünstlern auch von dieser Stelle aus noch einmal herzlichen Dank für diese tolle Leistung , die nicht nur fachlich ausgezeichnet ist , sondern Hatzenport auch davor bewahrt einen problematischen Sanierungsstau vor allem in diesem Bereich aufzubauen . Und soviel sei gesagt : im Bau - und	Wegeausschuss	wurde bereits jetzt darüber diskutiert , dass im kommenden Jahr weitere Sanierungsmaßnahmen erfolgen sollen und in ähnlicher Weise konzipiert werden . Geburtstage im Oktober 2007 Am 6.10. wird Paul Berg , Moselstr 50 a , 81 Jahre , am 18.10. wird Frau Genovefa Schmitt , Oberstr 42 , 91 Jahre und am 31.10. wird Adolf Weinheimer , Oberstr 86 , 73 Jahre alt .	Sg	Ind	Weg	e	1
http://www.singesong.de/105-radundwanderwege-de/01-bewegung%20001%20bis%20025/019-nibelungenweg/019-nibelungenweg.htm	ef363a18578b249ee3ba07f84bdea4e0a58f	26	Beachten : In Auerbach ( Nr 4510 ) halten nur Regiobahnen . Von Reichelsheim bis hinter Beerfurth fehlen	Wegeauszeichnung	. Auch danach genau beachten .	Sg	Ind	Weg	e	1
http://www.geiseltalsee-ifv.de/Pressespiegel/Presse_2008_2009/hauptteil_presse_2008_2009.html	d7e11f0fe81a36b84fbc2a6d313daa48e5aa	234	Gleich eine ganze Reihe von neuen Baumaßnahmen ist bereits angelaufen oder steht unmittelbar vor dem Start . Eines der Vorhaben ist die Fortführung des	Wegebaus	. Ein asphaltierter und 3,50 Meter breiter Wirtschaftsweg , wie er von Frankleben entlang des Südufers bis zur Marina Mücheln bereits besteht , soll bei entsprechender Witterung und Frostfreiheit bis Ende des Jahres auch auf der kompletten Nordseite entstehen , das habe die beauftragte Firma versprochen , ist zu hören .	Sg	Ind	Weg	e	1
http://www.barrierefrei-brandenburg.de/themen/freizeit/naturerlebnisse	a9715b41d414387a2bf03aada8359de5a08f	2	" In vielen Gebäuden komme ich dank Rampen , Kontraststreifen etc. gut zurecht - aber in der Natur wird das ja wohl kaum klappen " denken Sie ? Dann kennen Sie noch nicht den Gutspark Dahlen mit der tastbaren	Wegebegrenzung	oder den auch für Rollis nutzbaren Walderlebnispfad , die Vogelbeobachtungsstation im Nationalpark Unteres Odertal oder die Sinnesboxen im Biosphärenreservat Spreewald . Für einen ersten Besuch ist es nie zu spät .	Sg	Ind	Weg	e	1
http://www.nullbarriere.de/sinnesgarten.htm	9ad9321c2bdd02f712faeaf12f5ad951bcae	22	Die Wegeflächen heben sich klar von der Umgebung ab und sind in Material und Farbe einheitlich . Da häufig bei demenziell erkrankten Menschen das räumliche Wahrnehmungsvermögen eingeschränkt ist , können Farb - und Materialwechsel des	Wegebelages	die Patienten verunsichern und beunruhigen . Die Wege - und Aufenthaltsflächen sind so angeordnet , dass die entstehenden Räume jeweils ineinander greifen und immer wieder neue Eindrücke und Ausblicke - z.B. in den angrenzenden Parkbereich - erlauben .	Sg	Ind	Weg	e	1
http://www.uni-potsdam.de/u/ewi/anfahrt.html	a052a47609f98443ea22075a17b463b63cde	2	A 115 ( AVUS ) Richtung Hannover bis Ausfahrt Saarmund , biegen Sie rechts ab . A 115 ( AVUS ) Richtung Hannover bis Ausfahrt Babelsberg folgen Sie dem Wegweiser " Potsdam Zentrum " bis zur Ausfahrt Neuendorfer Str. / Bergholz-Rehbrücke und dann weiter der	Wegebeschilderung	Potsdam-Rehbrücke bis zur Arthur-Scheunert-Allee , dort biegen Sie links ab . Das IEW liegt nach ca. 800 m an der linken Straßenseite ( Entfernung ab Berlin-Charlottenburg ca. 25 km ) aus allen anderen Richtungen über den Berliner Ring , Dreieck Nuthetal , die A 115 Richtung Berlin bis Ausfahrt Saarmund , biegen Sie rechts ab .	Sg	Ind	Weg	e	1
http://www.urlaubswandern.de/erzgebirge-tafelberge.htm	ac7172ae78470a4f92120d97dd363e014c69	9	Leistungen : Pauschalarrangement über 7 Tage ( alle 4 Wanderungen ) : ● 6 Ü / F im DZ in komfortablen Beherbungseinrichtungen ● Personentransfer ● Wanderkarte ● Wegebeschreibung ● Wandernadel ● ErzgebirgsCard ( 4 Tage Gültigkeit ) mit kostenlosem Eintritt in 13 Einrichtungen direkt am Weg . Kurz - , Wochenend - und Feiertagsarrangement : ● 3 Ü / F im DZ in komfortablen Beherbungseinrichtungen ● Personentransfer ● Wanderkarte ●	Wegebeschreibung	● Wandernadel ● ErzgebirgsCard ( 48 Stunden Gültigkeit ) mit kostenlosem Eintritt in 13 Einrichtungen direkt am Weg . Preise : Pauschalarrangement 7 Tage ab 233,00 € pro Person im DZ , EZ-Zuschlag : 60,00 € .	Sg	Ind	Weg	e	1
http://www.steinach-niederbayern.de/rathaus-steinach/gemeinderatssitzung.html	9ceb27a13516e73b14063bec9db037c45ee6	280	Durch diese Wegführung ist auch ein Waldweg der Gemeinde Steinach sowie im Gemeindebereich Steinach ein privater Waldweg betroffen . Das Einverständnis der privaten	Wegebesitzer	liegt vor . Die Gemeinde Mitterfels hat angefragt , ob sich die Gemeinde Steinach an dem Ausbau des Radweges beteiligen würde , wobei jedoch ein Ausbau nur insoweit erfolge , damit er für Mountainbike befahrbar sei .	Pl	Ind	Weg	e	1
http://www.antbo.de/kataloge/a0261/seite-25.html	94a090114144a53e69dccaefa1c8887604c8	897	) Details ( Thüringen . - WOERL 'S REISEFÜHRER : Illustrierter Führer durch Thüringen mit der neuen einheitlichen	Wegebezeichnung	, dem Rennsteige und dem Kyffhäuser-Gebirge . Leipzig : Woerl . ( 1929 ) 10. Auflage .	Sg	Ind	Weg	e	1
http://www.ak-berlin.de/publicity/ak/internet.nsf/tindex/de_ww_kommunal.htm?OpenDocument%26879C587401559F3AC12571FF0048DA6F	d4f71fd7ac98c265547fb30107f2c371355b	38	Innerhalb der Fläche wird ein interessantes , vielfältiges Nutzungsangebot geschaffen , dabei bilden Ruhezonen und Aktionsräume einen spannungsvollen Kontrast und sind räumlich klar voneinander abgegrenzt . Fragwürdig bleiben der Vorschlag landwirtschaftlicher Elemente in den Ruhezonen , die teilweise überzogene Kleinteiligkeit der Aktionsflächen , die unbefriedigende Detaillierung des Entwurfs und die fehlende Berücksichtigung notwendiger	Wegebeziehungen	. 4. Preis WES & Partner Peter Schatz , Michael Kasachke , Hamburg mit Krafft-Wehberg , Berlin Mitarbeiter : Tim Clasen , Ute Hertling , Fabian Lux , Nadja Winkler Beurteilung des Preisgerichts Die Verfasser stellen die schiffsbugartige Ausformulierung der Platzspitzen als prägnantes Merkmal des Entwurfs dar .	Pl	Ind	Weg	e	1
