DocURL	DocID	SentID	LC	Match	RC	N2Num	N2Typ	N1Lemma	N1Pl	LE
http://ps3-welt.de/2010/10/21	4b2ed8b2d9a71c1e206aef8871db9b83a5c7	36	Als Erstes sollte man zu diesem Spiel sagen , dass es auf dem traditionellen Worms-Erlebnis in 2 D basiert . Es ist ein rundenbasiertes Spiel , in dem Spieler ihre	Würmerarmee	mit einer Mischung aus Strategie und Können in der Umgebung bewegen müssen und sich gegenseitig mit lustigen Waffen ( explodierende Schafe , tödliche Bananen , vollautomatische Maschinenpistolen etc. ) angreifen . Das Team , das übrig bleibt , gewinnt .	Sg	Coll	Wurm	Uer	1
http://www.j-lorber.de/jl/a-z/tierleben.htm	ec3a57de9ae37615f5d225a80a884182423a	18	Diese zehren , sich gewaltig vermehrend , wohlbehaglich am abgestorbenen Polypen , und wenn sie sich so gewisserart zu Tode gefressen haben , dann vereinigt sich ihr Leben ( Seelensubstanz ) zu einem Leben , aus welchem dann ein , Tintenfisch ' oder , Tintenwurm ' zum Vorschein kommt " . " Seine Nahrung besteht ebenfalls in einer	Würmerart	... Und wenn er stirbt , nachdem er mehrere Millionen solcher (Würmer)Leben in sich aufgenommen hat , so vereinigen sich diese wiederum zu einem höher potenzierten Leben , und es geht der sogenannte , Seefalk ' oder , Fliegende Fisch ' daraus hervor .	Sg	Ind	Wurm	Uer	1
http://www.herz-fuer-tiere.de/ratgeber-tier/terraristik/amphibien/steckbriefe/chinesische-rotbauchunke.html	8dda80d05d436722a0fc28deb64a9e208514	36	Ernährung Die natürliche Nahrung stellen Wirbellose wie Insekten , deren Larvenformen und Würmer . Im Terrarium können alle üblichen Futtertiere angeboten werden : verschiedene Arten von Grillen , Heimchen ,	Würmerarten	, Fliegen , Maden und Asseln . Kaulquappen werden anfangs mit Löwenzahn , Wegerich und Salatblättern ernährt .	Pl	Ind	Wurm	Uer	1
http://lumma.de/2013/11/10/natuerlich-brauchen-wir-eine-internetministerin/?replytocom=94043	c8fa80e659f6138cc7642c96f0d43a8e2ace	184	Keine Bevorteilung aufgrund von Dingen für die man nichts kann . Mag sein du bist mit einem	Würmeraufstand	glücklich . Ich will dass das Geschlecht keine Rolle spielt .	Sg	Ind	Wurm	Uer	1
http://www.hufrehe-forum.de/28362214nx18618/ektoparasiten-und-endoparasitenwuermer-f134/wurmkuren-fallbeispiel-t3553.html	f7443ea7dee9448e1483443d4533dee08cd9	102	So wurde vor etwa einem Jahr Enano aus seinem Loch geholt . Man beachte den Bauch , dass ist ein	Würmerbauch	und ganz sicher kein Heubauch . Auch das Fell ist ein klares Anzeichen für eine Verwurmung .	Sg	Ind	Wurm	Uer	1
http://www.collies-suchen-ein-zuhause.de/geschichte_esmaralda.htm	67d0d7ae4685bfd42958728d38cc937097b9	268	Der Tierarzt sagte es könnte von einem Zeckenbiß sein der sich entzündet hat . ( Das war unmöglich , dafür passte unsere Hanna auf . ) Ich musste sehr auf Schmeißfliegen acht geben , dass die keine Eier in die Wunde ablegten . Das hätte einen	Würmerbefall	in 24 Stunden bedeutet . Ich begann Esmé zu verbinden .	Sg	Ind	Wurm	Uer	1
http://www.manfredwirth.de/wurm.htm	3b99bc4bc78f3ab26e760cbe5b02d997bd62	204	Die niederprasselnde Wassermenge des wolkenbruchartigen und graupelvermischten Regens bewirkte eine unvorausschaubare , schlagartige Wandlung des Geschehens . Abrupt veränderte sich das erschütternde Bild des abscheuerregenden	Würmerberges	. Im Verlaufe eines Atemzuges zersetzte sich die unübersehbare Schar der schleimigen Scheusale .	Sg	Coll	Wurm	Uer	1
http://www.fachwerk.de/wissen/lehmschuettung-holz-31060.html	74c9717cc37ece88c8f3b7880c05437c2c73	194	Glauben Sie , daß dann mehr Leute Gift verspritzen lassen ? Ich nicht . Da können Sie noch hundert solche	Würmerbilder	hier reinstellen , um uns Angst einzujagen . Ich wenigstens bekomm keine und laß Hausschwammholz drin und Insektenbefallholz ohne Ende - wenn nämlich die Tragfähigkeit noch stimmt und die Optik das zuläßt und die Randbedingungen passen .	Pl	Ind	Wurm	Uer	1
http://www.lausitzer-rassekaninchen.beepworld.de/fuetterung.htm	eeadce4df265fdcca67954b9616c5177c2de	9	Es ist wichtig , dass täglich frisches Wasser zur Verfügung steht , dies gilt auch für die Wintermonate . Kleiner Tipp : um	Würmerbildung	zu vermeiden , geben Sie zum Wasser etwas Apfelessig ( pro Liter Wasser 1 EL Apfelessig ) . Beachten Sie bei ungeimpften Tieren , dass Gras zur Fütterung ungeeignet ist , da sich Mücken darin befinden und diese Hauptüberträger der Myxomathose sind .	Sg	Ind	Wurm	Uer	1
http://www.pennys-wochenrueckblicke.de/2005_12_01_archive.html	6cf03d9e51aef8d02483a6268e4c31382ea1	56	Sie kam also glücklicherweise mit Kopf , bedauerlicherweise aber ohne Hirn zurück , denn die gute Dame zieht es gleich wieder zurück in das vom Krieg zerrüttete Land . Das ist zwar auf der einen Seite löblich , wird aber auf der anderen Seite nicht gern gesehen , denn bei erneutem Freikaufen fehlt in Deutschland dann das Geld für	Würmerbrücken	, die über viel befahrene Autobahnen führen . Und das wäre dann doch schwer ärgerlich .	Pl	Ind	Wurm	Uer	1
