Wort	Buch	55590
Volk	Mord	27981
Land	Spiel	23174
Gut	Zug	17563
Buch	Regal	16183
Mann	Chor	13247
Volk	Verständigung	11798
Gut	Wagen	10468
Gut	Bahnhof	8231
Volk	Wanderung	7817
Kraut	Tee	7733
Kraut	Garten	7258
Grab	Feld	7117
Mann	Welt	6805
Volk	Bund	6642
Huhn	Stall	6577
Mann	Mannschaft	6499
Band	Riss	6095
Land	Grenze	5730
Huhn	Ei	5118
Mann	Stimme	5045
Gut	Stand	4674
Buch	Verbrennung	4671
Blatt	Teig	4522
Buch	Schrank	4479
Land	Ebene	4436
Volk	Kunde	4298
Gott	Dämmerung	4261
Buch	Wurm	4234
Land	Vergleich	4146
Haus	Block	4100
Mann	Domäne	3971
Gut	Transport	3788
Blatt	Wald	3767
Haus	Zeile	3479
Land	Kammer	3468
Kraut	Mischung	3449
Land	Sache	3442
Huhn	Fleisch	3337
Buch	Tisch	3326
Mann	Sache	3238
Haus	Wand	3192
Rad	Werk	3177
Gott	Welt	3055
Huhn	Suppe	3022
Blatt	Dach	3020
Volk	Schlacht	2943
Gut	Trennung	2929
Volk	Gemeinschaft	2914
Huhn	Brühe	2872
Gott	Gatte	2863
Huhn	Auge	2829
Haus	Kampf	2793
Kraut	Butter	2734
Buch	Halle	2647
Mann	Freundschaft	2610
Buch	Markt	2523
Gut	Schuppen	2486
Gut	Gemeinschaft	2343
Bad	Architektur	2324
Mann	Herz	2308
Buch	Gilde	2307
Mann	Arbeit	2299
Buch	Sammlung	2284
Gut	Abwägung	2270
Korn	Futter	2267
Mann	Beruf	2258
Mann	Gruppe	2252
Haus	Schlucht	2243
Mann	Ballett	2231
Volk	Ball	2206
Bad	Betrieb	2173
Land	Code	2156
Mann	Bild	2114
Haus	Fassade	2112
Buch	Geld	2100
Gott	Vater	2065
Buch	Freund	2063
Gott	Bild	2051
Huhn	Haufen	2019
Kraut	Salz	2002
Band	Dehnung	1976
Huhn	Brust	1946
Schloss	Verwaltung	1911
Buch	Schau	1895
Haus	Front	1844
Land	Bericht	1837
Gott	Bote	1834
Gut	Waggon	1773
Land	Parlament	1764
Volk	Freundschaft	1743
Land	Kampf	1740
Buch	Kiste	1731
Kraut	Likör	1715
Glas	Rücken	1712
Kraut	Quark	1694
Mann	Magazin	1690
Haus	Reihe	1646
Kraut	Buch	1640
Gott	Speis	1627
Buch	Sendung	1592
Kraut	Kunde	1560
Land	Gruppe	1537
Mann	Tag	1518
Kraut	Spirale	1502
Huhn	Hof	1489
Mann	Fußball	1458
Mann	Team	1432
Gott	Funke	1427
Huhn	Farm	1353
Kraut	Hexe	1326
Huhn	Haltung	1324
Mann	Gesundheit	1323
Huhn	Hals	1291
Bad	Bahn	1280
Haus	Meer	1267
Mann	Mode	1257
Blatt	Magen	1254
Korn	Mais	1239
Land	Pokal	1227
Buch	Bus	1221
