Nerv	System	49533
Nachricht	Agentur	42964
Mensch	Würde	39910
Mensch	Leben	35159
Mensch	Verstand	34757
Person	Kreis	34451
Mensch	Bild	30471
Nerv	Zelle	29975
Art	Vielfalt	29907
Spur	Element	29063
Person	Gruppe	26521
Patient	Verfügung	25506
Student	Werk	25133
Herr	Haus	22996
Frau	Arzt	22938
Stern	Himmel	21501
Herr	Mannschaft	20946
Frau	Bewegung	20606
Spur	Suche	20604
Mensch	Menge	19414
Schuld	Krise	18941
Strahl	Therapie	18932
Armatur	Brett	18217
Art	Schutz	17007
Frau	Kirche	16805
Mensch	Masse	16435
Schrift	Reihe	16289
Person	Verkehr	16001
Schuld	Bremse	15433
Strahl	Schutz	15385
Nachricht	Dienst	14997
Frau	Anteil	14928
Frau	Fußball	14796
Frau	Haus	14313
Nachricht	Magazin	14082
Senior	Heim	13688
Tat	Drang	13539
Mensch	Handel	13363
Million	Höhe	13178
Frau	Quote	12967
Gebühr	Ordnung	12795
Strahl	Belastung	12766
Person	Gesellschaft	12721
Mensch	Kind	12546
Gefahr	Abwehr	12432
Staat	Gemeinschaft	11995
Schuld	Berg	11851
Person	Schaden	11851
Zahl	Wert	11850
Frau	Tag	11578
Fahrt	Buch	11528
Geburt	Rat	11458
Form	Sprache	11180
Quant	Sprung	11033
Nerv	Kitzel	10931
Quant	Physik	10874
Stern	Flotte	10715
Gewalt	Teilung	10423
Held	Tat	10405
Mensch	Hand	10276
Favorit	Rolle	10238
Bank	Krise	10225
Quant	Mechanik	10064
Mensch	Sohn	9326
Million	Stadt	9227
Unterschrift	Aktion	8969
Person	Wagen	8968
Gefahr	Quelle	8885
Unterschrift	Liste	8845
Frau	Gruppe	8808
Senior	Zentrum	8645
Nachricht	Sendung	8586
Patient	Versorgung	8566
Frau	Bild	8525
Bank	System	8483
Referent	Entwurf	8410
Frau	Stimme	8375
Million	Betrag	8315
Tourist	Attraktion	8130
Senior	Beirat	8081
Prinz	Paar	8070
Alp	Raum	8055
Gefahr	Situation	7993
Unterschrift	Sammlung	7983
Priorität	Liste	7920
Frau	Recht	7799
Satellit	Bild	7594
Mensch	Kenntnis	7544
Bank	Sektor	7534
Mensch	Affe	7484
Nerv	Zusammenbruch	7461
Gefahr	Zone	7386
Pflicht	Heft	7348
Frau	Chor	7347
Zeit	Wende	7304
Alp	Verein	7245
Frau	Ärztin	7165
Quant	Theorie	7023
Ahn	Tafel	6873
Schuld	Stand	6867
Nachricht	Sender	6834
Patient	Gruppe	6611
Box	Stopp	6507
Student	Bewegung	6457
Architekt	Kammer	6444
Mensch	Geschlecht	6408
Mensch	Kette	6330
Schuld	Schnitt	6309
Mensch	Seele	6285
Frau	Förderung	6274
Frau	Zeitschrift	6247
Frau	Klinik	6208
Bank	Aufsicht	6190
Person	Zug	6079
Schuld	Last	6036
Mensch	Gruppe	5980
Pirat	Schiff	5925
Nerv	Bahn	5914
Patient	Datum	5869
Präsident	Wahl	5856
Herr	Doppel	5793
Schuld	Fall	5724
Repräsentant	Haus	5717
Nerv	Faser	5697
Ahn	Forschung	5678
Bär	Dienst	5666
Katholik	Tag	5653
Typ	Bezeichnung	5610
Person	Datum	5590
Mensch	Opfer	5539
Herr	Einzel	5479
Konfirmand	Unterricht	5417
Schuld	Abbau	5382
Frau	Bund	5378
Nerv	Säge	5374
Gefahr	Potential	5358
Migrant	Kind	5337
Autor	Team	5327
Typ	Schild	5243
Frau	Mannschaft	5206
Frau	Feld	5205
Zutat	Liste	5157
Zahl	Werk	5145
Insekt	Stich	5107
Tracht	Verein	5091
Welt	Bummler	5064
Gebühr	Erhöhung	5047
