Schule	Jahr	190934
Strafe	Tat	122802
Erde	Geschoss	82766
Ende	Effekt	78204
Grenze	Wert	73545
Schule	Leiter	72520
Ende	Spiel	66610
Erde	Gas	62909
Schule	Zeit	60331
Kunde	Gebung	55646
Sache	Schaden	54686
Schule	Klasse	53615
Ende	Stand	53091
Farbe	Ton	52069
Ende	Gerät	50042
Pfarre	Kirche	47170
Schule	Leitung	46624
Schule	Hof	42993
Ende	Stufe	42343
Schule	Kind	41323
Schule	System	40274
Buße	Geld	39746
Sprache	Gebrauch	38406
Sprache	Kurs	36836
Schule	Abschluss	36789
Strafe	Anzeige	36152
Ende	Ergebnis	35799
Sprache	Kenntnis	34024
Sache	Bearbeiter	31691
Schule	Form	31480
Schule	Gebäude	31088
Quelle	Code	29459
Ecke	Punkt	29141
Ende	Punkt	29122
Farbe	Gebung	28725
Ende	Verbraucher	28173
Sache	Lage	28132
Erde	Boden	27989
Ehre	Furcht	27670
Schule	Tag	27331
Ende	Kunde	27102
Pfarre	Haus	26965
Erde	Oberfläche	26946
Schule	Medizin	26804
Pfarre	Gemeinde	26293
Schule	Buch	26267
Ende	Runde	26030
Kirche	Turm	25815
Ecke	Ball	25161
Schule	Alltag	24929
Schule	Leiterin	24850
Erde	Reich	24304
Schule	Haus	23995
Rebe	Sorte	23847
Strafe	Verfolgung	23765
Ende	Produkt	22102
Sprache	Raum	21894
Grenze	Gebiet	21260
Fuhre	Park	20942
Adresse	Buch	20901
Schule	Zentrum	20542
Lymphe	Knoten	19905
Schule	Weg	19682
Schule	Träger	19595
Hochschule	Lehrer	19523
Schule	Bildung	19022
Sprache	Ausgabe	18689
Strafe	Gesetzbuch	18486
Sache	Beschädigung	18064
Schule	Unterricht	17804
Schule	Wesen	17701
Ende	Spurt	17615
Sprache	Schule	17424
Grenze	Übergang	17257
Ende	Station	17073
Sprache	Reise	16951
Sprache	Förderung	16717
Schule	Art	16656
Schule	Besuch	16625
Kontrolle	Gruppe	16593
Sprache	Rohr	16500
Kirche	Hof	16221
Grenze	Bereich	16188
Ecke	Datum	15965
