Mutter	551
Vater	495
Mangel	475
Bruder	322
Apfel	174
Tochter	155
Nagel	152
Vogel	131
Kloster	72
Abwasser	61
Faden	54
Garten	53
Hafen	43
Graben	41
Boden	41
Wasser	38
Lager	36
Hammer	31
Bogen	30
Laden	28
Kasten	28
Großmutter	28
Soller	26
Singvogel	26
Kindergarten	24
Großvater	23
Acker	21
Ofen	18
Mantel	17
Sattel	15
Nistkasten	15
Flughafen	14
Schützengraben	13
Granatapfel	13
Schaden	12
Schrebergarten	11
Fragebogen	11
Vorvater	10
Fußboden	10
Briefkasten	10
Proller	9
Rundbogen	8
Spitzbogen	4
Sinkkasten	4
Regenbogen	3
Nachtigaller	3
Magen	3
Bindfaden	3
Schnabel	2
Gebärmutter	2
Wahller	1
Vitalienbruder	1
Unfaller	1
Marstaller	1
Kragen	1
Guckkasten	1
Draller	1
Baller	1
