N1	With_Ppot	With_PexpLE	With_PexpCompound	With_PexpCorpus	With_Ftype	With_Ftoken	With_Fhapax	Without_Ppot	Without_PexpLE	Without_PexpCompound	Without_PexpCorpus	Without_Ftype	Without_Ftoken	Without_Fhapax	N1alone_Ftoken	N1alone_Fband	LE
Brief	0.0264935064935065	0.00265528192846358	2.0342057682896e-05	1.7978748062217e-06	79	1925	51	0.0034483503351163	0.000315722103908824	0.000191055796668769	1.68859221996117e-05	1278	138907	479	574803	9	+-e
Gerät	0.00542695658434733	0.0313948039777165	0.000240514917309536	2.12572256500331e-05	2001	111112	603	0.0464261857047428	9.16187316144605e-05	5.54420787827951e-05	4.90009015813367e-06	238	2994	139	1310490	8	+-e
Geschenk	0.0464967131633798	0.0150986619461655	0.000115670524079213	1.02232096824371e-05	635	6237	290	0.00588727370298467	0.000245854581958228	0.000148776225798436	1.3149162798445e-05	907	63357	373	397346	10	+-e
Hund	0.00321343422825749	0.0694017806008226	0.000531685546888244	4.699151209203e-05	3908	414821	1333	0.0618481244281793	0.00022278511716322	0.000134815990133703	1.19153271471164e-05	652	5465	338	1944959	8	+-e
Produkt	0.0620177193483853	0.0112979642838548	8.6553461121342e-05	7.64978103823745e-06	472	3499	217	0.00218084684104102	0.000615625146243929	0.000372538860310292	3.29257856668838e-05	3027	428274	934	1731078	8	+-e
Weg	0.00917707236347224	0.0222314781069402	0.000170314875109737	1.50527949462092e-05	1124	46529	427	0.00332104783418539	0.000552348899949049	0.000334247928201311	2.95415507375253e-05	2120	252330	838	3867996	7	+-e
Ball	0.0478187919463087	0.00898486759142497	2.27352409397073e-05	2.00938948930661e-06	85	1192	57	0.00536117381489842	0.000475890102342737	0.000287979718569626	2.54522668645504e-05	1888	134672	722	698709	9	+=e
Hand	0.00908543922984356	0.0238020176544767	6.02284452964177e-05	5.32311952430348e-06	281	16620	151	0.00216821772112302	0.000730972470218969	0.000442340038633955	3.90949639235269e-05	3306	511480	1109	2837874	7	+=e
Stadt	0.00564729430266638	0.0747162673392182	0.000189061477288093	1.67096599637076e-05	1230	83934	474	0.000898783833125802	0.000949143694423188	0.000574363981634712	5.07635239403775e-05	4740	1602165	1440	4053304	6	+=e
Zahn	0.00550668188838896	0.0129255989911728	3.27068378430878e-05	2.89070066882705e-06	142	14891	82	0.00151719450565111	0.000456116275375587	0.00027601380228557	2.43946934491259e-05	1916	456105	692	357780	10	+=e
Apfel	0.1	0.065615141955836	4.14818431180625e-05	3.66625450680504e-06	174	1040	104	0.00680422747861097	0.000445570234326441	0.000269631980267406	2.38306542942328e-05	1799	99350	676	170643	11	+=
Mutter	0.0229378842095605	0.157728706624606	9.97159690338041e-05	8.81311179520443e-06	551	10899	250	0.00278479664841533	0.000448206744588727	0.000271227435771947	2.39716640829561e-05	1763	244183	680	1645878	8	+=
Nagel	0.113821138211382	0.0618296529968454	3.90886598612512e-05	3.45473982372014e-06	152	861	98	0.0074018629407851	0.000293311766679388	0.000177494424880171	1.56873389954639e-05	1125	60120	445	114798	12	+=
Vater	0.0246165264720435	0.125552050473186	7.93739113509081e-05	7.01523698898273e-06	495	8084	199	0.00936688269094535	0.000235308540909082	0.000142394403780272	1.25851236435519e-05	874	38113	357	1592313	8	+=
Vogel	0.163179916317992	0.049211356466877	3.11113823385469e-05	2.74969088010378e-06	131	478	78	0.00432196011773973	0.000549712389686763	0.000332652472696771	2.9400540948802e-05	2279	192968	834	369303	10	+=
Bild	0.00466809515480147	0.104605585497305	0.000340629750219475	3.01055898924183e-05	2337	182944	854	0.00183085266202978	0.000885208320562737	0.000535674185649596	4.73440365638382e-05	4194	733538	1343	4950811	6	+-er
Brett	0.028509609265623	0.027437530622244	8.93455082542885e-05	7.89654816850317e-06	490	7857	224	0.0106117572648371	0.000199056524802641	0.000120456890592835	1.0646239048607e-05	674	28459	302	150950	11	+-er
Ei	0.00961524495635376	0.0810877021068104	0.000264047886001513	2.33371200337013e-05	1676	68849	662	0.00507951999645099	0.000301880425031819	0.000182679655269929	1.61456208088145e-05	1167	90166	458	332639	10	+-er
Kind	0.00139034513514466	0.207741303282705	0.000676473133925327	5.97881504186669e-05	5642	1219841	1696	0.0265783588508515	0.000203670417761642	0.000123248937725782	1.08930061788727e-05	662	11626	309	7274291	6	+-er
Lied	0.00666473485946103	0.0422586967172954	0.00013760803726665	1.21620942773821e-05	843	51765	345	0.00819726906199185	0.00024255894413037	0.00014678190641776	1.29729005625409e-05	917	44893	368	716152	9	+-er
Schwert	0.142857142857143	0.0111464968152866	3.62966127283047e-05	3.20797269345441e-06	154	637	91	0.00999314890500602	0.000278810960236811	0.000168719419605197	1.49117851574859e-05	1079	42329	423	192329	11	+-er
Bad	0.0126251864479011	0.027107400205879	9.45307386440463e-05	8.3548299818538e-06	638	18772	237	0.0136651323360184	0.000313085593646538	0.000189460341164228	1.67449124108884e-05	1248	34760	475	249447	11	+=er
Buch	0.00711068500264653	0.0814365778336955	0.000283991079808274	2.50997423927422e-05	1942	100131	712	0.00204403690695456	0.000612988635981642	0.000370943404805751	3.27847758781605e-05	2871	454982	930	3217139	7	+=er
Haus	0.0114499674408509	0.0482671851767128	0.000168320555729061	1.48765327103051e-05	976	36856	422	0.00142224308620782	0.000942552418767471	0.00057037534287336	5.04109994685694e-05	4470	1005454	1430	3828843	7	+=er
