N1	With_Ppot	With_PexpLE	With_PexpCompound	With_PexpCorpus	With_Ftype	With_Ftoken	With_Fhapax	Without_Ppot	Without_PexpLE	Without_PexpCompound	Without_PexpCorpus	Without_Ftype	Without_Ftoken	Without_Fhapax	N1alone_Ftoken	N1alone_Fband	LE
Brief	0.0264935064935065	0.00267169574100267	1.6815910621127e-05	1.7978748062217e-06	79	1925	51	0.00353417932900978	0.000231065565207079	0.000161894355195556	1.73089515657815e-05	1295	138929	491	574803	9	+-e
Element	0.17440543601359	0.00806747341400807	5.07774556010501e-05	5.42887686584593e-06	258	883	154	0.0361741263028817	0.00016659309589268	0.000116722203134881	1.24793663020095e-05	828	9786	354	653299	9	+-e
Gerät	0.00542695658434733	0.0315888731730316	0.000198823413814501	2.12572256500331e-05	2001	111112	603	0.048585690515807	6.87078870065856e-05	4.81396656996969e-05	5.14685728839939e-06	247	3005	146	1310490	8	+-e
Geräusch	0.109621451104101	0.00728168054900728	4.58315995360128e-05	4.90009015813367e-06	236	1268	139	0.0111407894436454	0.000229653759309683	0.000160905183982548	1.72031942242391e-05	1121	43803	488	208159	11	+-e
Geschenk	0.0464967131633798	0.0151919953900152	9.56198839240554e-05	1.02232096824371e-05	635	6237	290	0.00642981179893932	0.000193417407943196	0.000135516456182023	1.44887557913161e-05	978	63921	411	397346	10	+-e
Hund	0.00321343422825749	0.0698307926030698	0.000439521742312986	4.699151209203e-05	3908	414821	1333	0.0401438487915029	0.000225888943583295	0.000158267394081195	1.69211746467925e-05	1002	11957	480	1944959	8	+-e
Produkt	0.0620177193483853	0.0113678034470114	7.1550051074207e-05	7.64978103823745e-06	472	3499	217	0.00229442918196481	0.000462601732379957	0.000324118434128781	3.46531555787438e-05	3106	428429	983	1731078	8	+-e
Weg	0.00917707236347224	0.0223689035570224	0.00014079203598473	1.50527949462092e-05	1124	46529	427	0.00341719687615512	0.000408953108278924	0.000286529928034497	3.06343766001306e-05	2171	254302	869	3867996	7	+-e
Zitat	0.139759036144578	0.00607679815600608	3.82479535696222e-05	4.08928387297486e-06	186	830	116	0.0476444681702923	0.000168004901790076	0.000117711374347889	1.25851236435519e-05	674	7493	357	838230	9	+-e
Ball	0.0478187919463087	0.00905480540111199	1.87942530471419e-05	2.00938948930661e-06	85	1192	57	0.00542764987209432	0.000344480638964525	0.000241357775973823	2.58047913363586e-05	1907	134865	732	698709	9	+=e
Hand	0.00908543922984356	0.0239872915011914	4.97882843880426e-05	5.32311952430348e-06	281	16620	151	0.00216821772112302	0.000521897580070571	0.000365663625075095	3.90949639235269e-05	3306	511480	1109	2837874	7	+=e
Stadt	0.00564729430266638	0.0752978554408261	0.00015628905165518	1.67096599637076e-05	1230	83934	474	0.000898783833125802	0.000677666830749885	0.000474802182243585	5.07635239403775e-05	4740	1602165	1440	4053304	6	+=e
Zahn	0.00550668188838896	0.0130262112787927	2.70373464888708e-05	2.89070066882705e-06	142	14891	82	0.0015453951608307	0.000331774385887965	0.000232455235056755	2.48529752624765e-05	1939	456194	705	357780	10	+=e
Apfel	0.1	0.065615141955836	3.42912687175923e-05	3.66625450680504e-06	174	1040	104	0.00691957999758619	0.00032377415246939	0.00022684993151638	2.42536836604026e-05	1820	99428	688	170643	11	+=
Mutter	0.0229378842095605	0.157728706624606	8.24309344172891e-05	8.81311179520443e-06	551	10899	250	0.00278479664841533	0.000320009336743001	0.000224212141615026	2.39716640829561e-05	1763	244183	680	1645878	8	+=
Nagel	0.113821138211382	0.0618296529968454	3.23129262915773e-05	3.45473982372014e-06	152	861	98	0.00760550777948998	0.000216006302301526	0.000151343195590143	1.61808732559953e-05	1155	60351	459	114798	12	+=
Vater	0.0246165264720435	0.125552050473186	6.56150237961621e-05	7.01523698898273e-06	495	8084	199	0.0102310401989225	0.00018588777649042	0.000130240876379317	1.3924716636423e-05	933	38608	395	1592313	8	+=
Vogel	0.163179916317992	0.049211356466877	2.57184515381942e-05	2.74969088010378e-06	131	478	78	0.00446700092508829	0.000411306118107917	0.000288178546722843	3.08106388360347e-05	2363	195657	874	369303	10	+=
Bild	0.00466809515480147	0.104708190289358	0.00028158407196946	3.01055898924183e-05	2337	182944	854	0.00186734999863697	0.000644724693143988	0.000451721520606744	4.82958526377203e-05	4236	733660	1370	4950811	6	+-er
Brett	0.028509609265623	0.0274644433545856	7.38581172378911e-05	7.89654816850317e-06	490	7857	224	0.0106095204637274	0.000142121793671157	9.95765687760853e-05	1.0646239048607e-05	675	28465	302	150950	11	+-er
Ei	0.00961524495635376	0.0811672388425699	0.000218277114336982	2.33371200337013e-05	1676	68849	662	0.00507951999645099	0.000215535700335727	0.000151013471852474	1.61456208088145e-05	1167	90166	458	332639	10	+-er
Kind	0.00139034513514466	0.207945071113291	0.000559211459086889	5.97881504186669e-05	5642	1219841	1696	0.0174609333662563	0.000232947973070273	0.000163213250146232	1.74499613545048e-05	1042	28349	495	7274291	6	+-er
Lied	0.00666473485946103	0.0423001471309465	0.000113754689495859	1.21620942773821e-05	843	51765	345	0.00826317430620518	0.000174593329311255	0.000122327506675257	1.30786579040834e-05	921	44898	371	716152	9	+-er
Schwert	0.142857142857143	0.0111574301128004	3.00048601278932e-05	3.20797269345441e-06	154	637	91	0.0101515652297087	0.000202358845293369	0.000141781207197737	1.51585522877516e-05	1093	42358	430	192329	11	+-er
Bad	0.0126251864479011	0.0272351183635946	7.81445258275901e-05	8.3548299818538e-06	638	18772	237	0.0137612043208458	0.000225418341617497	0.000157937670343526	1.68859221996117e-05	1259	34808	479	249447	11	+=er
Buch	0.00711068500264653	0.0818202712020225	0.000234763301220439	2.50997423927422e-05	1942	100131	712	0.00225790538528906	0.000488955442464674	0.000342582963438254	3.66272926208696e-05	3080	460161	1039	3217139	7	+=er
Haus	0.0114499674408509	0.0484945989427718	0.000139143417296384	1.48765327103051e-05	976	36856	422	0.00142224308620782	0.0006729608110919	0.000471504944866894	5.04109994685694e-05	4470	1005454	1430	3828843	7	+=er
Loch	0.132564841498559	0.0052861411169846	1.51672919327812e-05	1.62161257031762e-06	97	347	46	0.014588650471059	0.00021788871016472	0.000152662090540819	1.63218830447186e-05	1068	31737	463	356645	10	+=er
Rad	0.0311209907907272	0.022523557802804	6.46258525831547e-05	6.90947964744028e-06	402	6298	196	0.00210274462215693	0.000402835282723543	0.000282243519444798	3.017609478678e-05	2480	407087	856	435287	10	+=er
Schloss	0.0229965156794425	0.0113766950126408	3.26426500292465e-05	3.48999227090096e-06	204	4305	99	0.00405131667792032	0.00030777368563224	0.000215639324435628	2.30551004562548e-05	1878	161429	654	435047	10	+=er
Wurm	0.363636363636364	0.0142495977936107	4.08857434709754e-05	4.3713034504214e-06	169	341	124	0.0131937989145102	0.000207064864951354	0.000145078444574429	1.55110767595598e-05	974	33349	440	87601	12	+=er
Auge	0.00231336157551266	0.0037739096757536	0.00028916771793585	3.09163961775772e-05	2329	379102	877	0.01238438626744	7.4355110596168e-05	5.20963505517267e-05	5.5698866545692e-06	325	12758	158	2326607	7	+-n
