N1	With_Ppot	With_PexpLE	With_PexpCompound	With_PexpCorpus	With_Ftype	With_Ftoken	With_Fhapax	Without_Ppot	Without_PexpLE	Without_PexpCompound	Without_PexpCorpus	Without_Ftype	Without_Ftoken	Without_Fhapax	N1alone_Ftoken	N1alone_Fband	LE
Bad	0.0126251864479011	0.0272351183635946	7.81445258275901e-05	8.3548299818538e-06	638	18772	237	0.0137612043208458	0.000225418341617497	0.000157937670343526	1.68859221996117e-05	1259	34808	479	249447	11	+=er
Blatt	0.013582966226138	0.0255113766950126	7.31986697625528e-05	7.82604327414154e-06	490	16344	222	0.0072695652173913	0.000295067432555679	0.000206736783518561	2.21032843823727e-05	1725	86250	627	436687	10	+=er
Grab	0.0162347188264059	0.0190760744656401	5.473414045308e-05	5.85190623201574e-06	338	10225	166	0.00318236354653886	0.000233418575036072	0.000163542973883902	1.74852138016856e-05	1337	155859	496	200214	11	+=er
Haus	0.0114499674408509	0.0484945989427718	0.000139143417296384	1.48765327103051e-05	976	36856	422	0.00142224308620782	0.0006729608110919	0.000471504944866894	5.04109994685694e-05	4470	1005454	1430	3828843	7	+=er
Kraft	0.00765101102645707	0.0378077839555203	7.84742495652593e-05	8.39008242903462e-06	600	31107	238	0.00292026460842091	0.000338833415374943	0.000237401091121793	2.53817619701888e-05	1981	246553	720	1526016	8	+=e
Punkt	0.0075897624323983	0.0346272722510346	0.000217947390599312	2.33018675865205e-05	1582	87091	661	0.00390310434637512	0.00025318385759961	0.000177391370866006	1.89658165832799e-05	1425	137839	538	2514776	7	+-e
Weg	0.00917707236347224	0.0223689035570224	0.00014079203598473	1.50527949462092e-05	1124	46529	427	0.00341719687615512	0.000408953108278924	0.000286529928034497	3.06343766001306e-05	2171	254302	869	3867996	7	+-e
Brett	0.028509609265623	0.0274644433545856	7.38581172378911e-05	7.89654816850317e-06	490	7857	224	0.0106095204637274	0.000142121793671157	9.95765687760853e-05	1.0646239048607e-05	675	28465	302	150950	11	+-er
Schwert	0.142857142857143	0.0111574301128004	3.00048601278932e-05	3.20797269345441e-06	154	637	91	0.0101515652297087	0.000202358845293369	0.000141781207197737	1.51585522877516e-05	1093	42358	430	192329	11	+-er
Bett	0.0178151811574403	0.00725670020479031	0.000107489938480145	1.14922977809466e-05	739	18299	326	0.00467228733261987	0.000252713255633811	0.000177061647128337	1.89305641360991e-05	1280	114933	537	576847	9	+-en
Hemd	0.0721526535480024	0.00269343780607248	3.98965722579679e-05	4.26554610887895e-06	243	1677	121	0.0202250856304029	5.83546437590179e-05	4.08857434709754e-05	4.3713034504214e-06	234	6131	124	91737	12	+-en
Last	0.00963709455366485	0.00389546790134449	5.77016540921024e-05	6.1691782566431e-06	427	18159	175	0.00583742340196904	0.00018918199025101	0.000132548942543001	1.41714837666887e-05	1055	68866	402	271554	10	+-en
