subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.71826100349,53,14.18,,,,,,,,,,,,,,,,,2017_Jun_26_1408,60.1467566269,split,001,548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.39350605011,j,9.84297394753,,,,,,,,,,,,,2017_Jun_26_1408,60.1467566269,split,001,548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,11.4723920822,,,,,,,,,,,2017_Jun_26_1408,60.1467566269,split,001,548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8.862,2,2.04525494576,space,6.99995803833,,,,,2017_Jun_26_1408,60.1467566269,split,001,548,
x,x,41,"Jetzt ist genau die richtige Zeit, um  __________ umzusetzen.",Nadel-Hölzer,False,0.0,x,0,x,x,0,2,Nadelhölzer,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,100,11.177,2,6.23377108574,2017_Jun_26_1408,60.1467566269,split,001,548,
pl,n,12,Für jedes Pixel seines Bildschirmkunstwerks hat Jonas gesondert eine __________ festgelegt.,Punktefarbe,True,0.2778716,sg,0,Punkt,Farbe,0,2,Punktfarbe,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,70,21.494,5,2.97623300552,2017_Jun_26_1408,60.1467566269,split,001,548,
schreib,x,32,"Leon konnte nur deshalb gewinnen, weil Johanna ihm __________ hat.",mutgemacht,False,0.0,x,0,x,x,0,2,Mut gemacht,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,100,9.31,9,3.72443389893,2017_Jun_26_1408,60.1467566269,split,001,548,
pl,n,10,In einem physikalischen Experiment hat Max verschiedene __________ gemessen.,Kräftestärken,True,0.5575868,pl,0,Kraft,Stärke,0,2,Kraftstärken,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,60,14.66,4,4.15678310394,2017_Jun_26_1408,60.1467566269,split,001,548,
x,x,37,Die Gäste suchen die Wohnung des Herrn __________.,Gantenbein,False,0.0,x,0,x,x,0,2,Gantenbeins,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,20,29.361,7,9.59367513657,2017_Jun_26_1408,60.1467566269,split,001,548,
x,x,57,Manche Menschen essen tatsächlich gerne ab und zu eine __________ .,Tütensuppe,True,0.0,x,0,x,x,0,2,Tüte Suppe,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,0,5.285,3,2.60874009132,2017_Jun_26_1408,60.1467566269,split,001,548,
