subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.51083016396,51,11.719,,,,,,,,,,,,,,,,,2017_Jun_19_1003,60.1442554497,split,001,995,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.635160923,j,2.9929049015,,,,,,,,,,,,,2017_Jun_19_1003,60.1442554497,split,001,995,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.38016319275,,,,,,,,,,,2017_Jun_19_1003,60.1442554497,split,001,995,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8.181,3,6.97283601761,space,4.20663619041,,,,,2017_Jun_19_1003,60.1442554497,split,001,995,
x,x,23,Die Gruppe __________ kurz vor dem Gipfel umgedreht.,hat,True,0.0,x,0,x,x,0,1,ist,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,11,7.158,7,5.70148301125,2017_Jun_19_1003,60.1442554497,split,001,995,
pl,y,13,In einer Biologie-Studie führt Johanna viele __________ durch.,Blattanalysen,False,0.5334598,pl,0,Blatt,Analyse,0,1,Blätteranalysen,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,20,11.735,2,11.4338510036,2017_Jun_19_1003,60.1442554497,split,001,995,
x,x,40,"In einer Studie wurde jetzt  __________, dass Aspirin nicht so gut wirkt wie gedacht.",nachgewiesen,True,0.0,x,0,x,x,0,1,bewiesen,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,70,12.7,7,6.18187308311,2017_Jun_19_1003,60.1442554497,split,001,995,
x,x,42,Im Fernrohr sahen wir den roten  __________ ganz deutlich.,Planeten,True,0.0,x,0,x,x,0,1,Planet,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,100,9.561,3,4.97152090073,2017_Jun_19_1003,60.1442554497,split,001,995,
pl,y,9,Wegen der Gentrifizierung in Berlin gibt es zahlreiche __________ .,Häuserabbrüche,True,0.21190723,pl,5,Haus,Abbrüche,1,1,Hausabbrüche,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,80,9.889,3,1.84569501877,2017_Jun_19_1003,60.1442554497,split,001,995,
x,x,19,Im Urlaub __________ ich jeden Tag bei einem alten Wrack getaucht.,bin,False,0.0,x,0,x,x,0,1,habe,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,100,7.233,7,9.72484517097,2017_Jun_19_1003,60.1442554497,split,001,995,
