subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.61015486717,7,36.775,,,,,,,,,,,,,,,,,2017_Jun_20_0948,60.1434792646,split,001,587,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.74188899994,j,13.2514731884,,,,,,,,,,,,,2017_Jun_20_0948,60.1434792646,split,001,587,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.25414204597,,,,,,,,,,,2017_Jun_20_0948,60.1434792646,split,001,587,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,8.213,3,7.38233017921,space,9.21122694016,,,,,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,36,Sie verlassen wegen  __________ die Wohnung.,dem Wetter,False,0.0,x,0,x,x,0,1,des Wetters,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,50,13.344,4,5.70308208466,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,44,Die Kinder fuhren mit  __________ unzureichenden Helmen zur Schule.,solch,False,0.0,x,0,x,x,0,1,solchen,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,16,19.186,6,2.9762699604,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,24,Am Ende von Cindys Party sah man am Horizont schon den __________ der aufgehenden Sonne,Licht-Schein,True,0.0,x,0,x,x,0,1,Lichtschein,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,90,17.37,1,8.27940583229,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,58,Im Magisterstudium musste man mehr __________ schreiben als im BA-Studium.,Seminararbeiten,True,0.0,x,0,x,x,0,1,Seminarsarbeiten,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,13.382,9,2.49407291412,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,38,"Die Teilnehmerinnen wussten überwiegend nicht, was  __________ ist.",Tupper-Ware,False,0.0,x,0,x,x,0,1,Tupperware,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,70,18.954,9,5.7363049984,2017_Jun_20_0948,60.1434792646,split,001,587,
pl,y,11,Die Düsseldorfer Friedhofsverwaltung hat heute erst eine __________ bearbeitet.,Grabbuchung,False,0.5313495,sg,0,Grab,Buchung,0,1,Gräberbuchung,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,10,12.434,7,2.32787895203,2017_Jun_20_0948,60.1434792646,split,001,587,
schreib,x,30,"Melanie mag Fußball, weil es ein Sport zum __________ ist.",Spaß haben,True,0.0,x,0,x,x,0,1,Spaßhaben,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,10,12.815,8,7.09404301643,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,19,Im Urlaub __________ ich jeden Tag bei einem alten Wrack getaucht.,bin,False,0.0,x,0,x,x,0,1,habe,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,20,19.022,8,4.81619906425,2017_Jun_20_0948,60.1434792646,split,001,587,
coll,n,3,Dank einer __________ ändern sich einige Wanderrouten um Graz.,Wegzusammenlegung,False,0.34460415,coll,0,Weg,Zusammenlegung,0,1,Wegezusammenlegung,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,10,10.656,2,3.89069604874,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,56,Auf __________ wird nur ein sehr geringes Pfand erhoben.,Biersflaschen,False,0.0,x,0,x,x,0,1,Bierflaschen,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,100,8.678,2,4.35629701614,2017_Jun_20_0948,60.1434792646,split,001,587,
pl,y,15,Für die Verladung eines LKWs in den Airbus mussten die Techniker eine __________ durchführen.,Lastberechnung,False,0.8331451,sg,3,Last,Berechnung,1,1,Lastenberechnung,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,90,16.107,2,4.18999314308,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,40,"In einer Studie wurde jetzt  __________, dass Aspirin nicht so gut wirkt wie gedacht.",nachgewiesen,True,0.0,x,0,x,x,0,1,bewiesen,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,50,12.901,8,5.33413505554,2017_Jun_20_0948,60.1434792646,split,001,587,
schreib,x,27,"Lara trat zur Seite, um __________.",Platz zu machen,True,0.0,x,0,x,x,0,1,platzzumachen,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,0,10.061,8,3.33877801895,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,46,"Es waren nur kleinere Delikte,  __________ sie überführt wurden.",derer,True,0.0,x,0,x,x,0,1,deren,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,80,22.448,5,3.22571396828,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,17,Gute Qualität hat __________ Preis.,ihren,True,0.0,x,0,x,x,0,1,seinen,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,10,10.044,3,3.65799593925,2017_Jun_20_0948,60.1434792646,split,001,587,
pl,y,9,Wegen der Gentrifizierung in Berlin gibt es zahlreiche __________ .,Hausabbrüche,False,0.21190723,pl,5,Haus,Abbrüche,1,1,Häuserabbrüche,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,10,10.075,8,8.64381408691,2017_Jun_20_0948,60.1434792646,split,001,587,
schreib,x,28,"Maria hat einen Kopfhörer gekauft, nachdem sie ihn __________ hatte.",probegehört,False,0.0,x,0,x,x,0,1,Probe gehört,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,80,15.809,5,13.2631380558,2017_Jun_20_0948,60.1434792646,split,001,587,
pl,y,13,In einer Biologie-Studie führt Johanna viele __________ durch.,Blätteranalysen,True,0.5334598,pl,0,Blatt,Analyse,0,1,Blattanalysen,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,90,17.255,7,2.19487380981,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,42,Im Fernrohr sahen wir den roten  __________ ganz deutlich.,Planeten,True,0.0,x,0,x,x,0,1,Planet,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,50,9.86,9,2.29460501671,2017_Jun_20_0948,60.1434792646,split,001,587,
coll,n,7,Chris besitzt eine große __________ .,Schwertersammlung,True,0.20263783,coll,0,Schwert,Sammlung,1,1,Schwertsammlung,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,80,9.645,1,10.4726250172,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,52,Beim Lernen einer Sprache gibt es oft erhebliche phonetische __________ .,Anfangschwierigkeiten,False,0.0,x,0,x,x,0,1,Anfangsschwierigkeiten,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,100,22.461,1,6.04800987244,2017_Jun_20_0948,60.1434792646,split,001,587,
coll,n,5,Judith kam mit einem __________ unter dem Arm aus dem Baumarkt.,Bretterbündel,True,0.45619727,coll,0,Brett,Bündel,0,1,Brettbündel,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,78,10.042,5,2.44422984123,2017_Jun_20_0948,60.1434792646,split,001,587,
x,x,23,Die Gruppe __________ kurz vor dem Gipfel umgedreht.,hat,True,0.0,x,0,x,x,0,1,ist,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,70,7.999,5,1.87895798683,2017_Jun_20_0948,60.1434792646,split,001,587,
