subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.05349993706,85,29.094,,,,,,,,,,,,,,,,,2017_Jun_22_1142,60.1546927729,split,001,943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.40621185303,j,9.95939087868,,,,,,,,,,,,,2017_Jun_22_1142,60.1546927729,split,001,943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.05700612068,,,,,,,,,,,2017_Jun_22_1142,60.1546927729,split,001,943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12.603,9,9.24190807343,space,5.28735113144,,,,,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,46,"Es waren nur kleinere Delikte,  __________ sie überführt wurden.",deren,False,0.0,x,0,x,x,0,1,derer,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,95,16.918,8,4.30646085739,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,y,9,Wegen der Gentrifizierung in Berlin gibt es zahlreiche __________ .,Häuserabbrüche,True,0.21190723,pl,5,Haus,Abbrüche,1,1,Hausabbrüche,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,95,16.809,8,4.35630106926,2017_Jun_22_1142,60.1546927729,split,001,943,
schreib,x,27,"Lara trat zur Seite, um __________.",Platz zu machen,True,0.0,x,0,x,x,0,1,platzzumachen,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,10.974,5,5.83598899841,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,1,Münster hat wegen einer neuen __________ jetzt ein einziges Wochenticket für alle Stadtbäder.,Bäderkooperation,True,0.984017,coll,0,Bad,Kooperation,0,1,Badkooperation,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,0,15.872,9,5.46984696388,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,52,Beim Lernen einer Sprache gibt es oft erhebliche phonetische __________ .,Anfangschwierigkeiten,False,0.0,x,0,x,x,0,1,Anfangsschwierigkeiten,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,100,13.799,5,17.921806097,2017_Jun_22_1142,60.1546927729,split,001,943,
schreib,x,28,"Maria hat einen Kopfhörer gekauft, nachdem sie ihn __________ hatte.",Probe gehört,True,0.0,x,0,x,x,0,1,probegehört,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,10,9.407,2,4.62232303619,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,56,Auf __________ wird nur ein sehr geringes Pfand erhoben.,Biersflaschen,False,0.0,x,0,x,x,0,1,Bierflaschen,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,100,10.791,7,16.5435080528,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,y,13,In einer Biologie-Studie führt Johanna viele __________ durch.,Blattanalysen,False,0.5334598,pl,0,Blatt,Analyse,0,1,Blätteranalysen,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,10,15.227,8,8.54611802101,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,40,"In einer Studie wurde jetzt  __________, dass Aspirin nicht so gut wirkt wie gedacht.",bewiesen,False,0.0,x,0,x,x,0,1,nachgewiesen,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,81,30.026,9,3.40857982635,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,3,Dank einer __________ ändern sich einige Wanderrouten um Graz.,Wegzusammenlegung,False,0.34460415,coll,0,Weg,Zusammenlegung,0,1,Wegezusammenlegung,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,95,16.691,7,4.23993086815,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,17,Gute Qualität hat __________ Preis.,seinen,False,0.0,x,0,x,x,0,1,ihren,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,100,5.073,2,3.29220604897,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,54,Bei der Einreise in viele Länder muss man __________ dabei haben.,Einreisevisa,False,0.0,x,0,x,x,0,1,Einreisevisen,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,5,24.241,6,2.67707014084,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,5,Judith kam mit einem __________ unter dem Arm aus dem Baumarkt.,Bretterbündel,True,0.45619727,coll,0,Brett,Bündel,0,1,Brettbündel,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,0,9.907,5,3.22568392754,2017_Jun_22_1142,60.1546927729,split,001,943,
schreib,x,30,"Melanie mag Fußball, weil es ein Sport zum __________ ist.",Spaßhaben,False,0.0,x,0,x,x,0,1,Spaß haben,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,94,13.05,5,3.27559804916,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,42,Im Fernrohr sahen wir den roten  __________ ganz deutlich.,Planeten,True,0.0,x,0,x,x,0,1,Planet,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,50,18.257,1,6.57990813255,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,y,15,Für die Verladung eines LKWs in den Airbus mussten die Techniker eine __________ durchführen.,Lastberechnung,False,0.8331451,sg,3,Last,Berechnung,1,1,Lastenberechnung,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,95,13.646,7,5.28702902794,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,23,Die Gruppe __________ kurz vor dem Gipfel umgedreht.,ist,False,0.0,x,0,x,x,0,1,hat,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,50,10.51,2,2.57720184326,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,34,Er wurde trotz des bekannten Skandals  __________.,wieder gewählt,False,0.0,x,0,x,x,0,1,wiedergewählt,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,30,13.068,7,12.8655269146,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,21,Die Fans __________ Fabian die Bude eingerannt.,haben,True,0.0,x,0,x,x,0,1,sind,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,50,18.257,9,2.12834191322,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,24,Am Ende von Cindys Party sah man am Horizont schon den __________ der aufgehenden Sonne,Lichtschein,False,0.0,x,0,x,x,0,1,Licht-Schein,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,0,14.361,9,5.55338096619,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,44,Die Kinder fuhren mit  __________ unzureichenden Helmen zur Schule.,solch,False,0.0,x,0,x,x,0,1,solchen,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,5,15.678,3,2.79341697693,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,y,11,Die Düsseldorfer Friedhofsverwaltung hat heute erst eine __________ bearbeitet.,Gräberbuchung,True,0.5313495,sg,0,Grab,Buchung,0,1,Grabbuchung,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,94,19.318,6,3.15916395187,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,36,Sie verlassen wegen  __________ die Wohnung.,des Wetters,True,0.0,x,0,x,x,0,1,dem Wetter,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,0,10.076,6,10.0897040367,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,50,"Verglichen mit Ampeln sind __________ sicherer, aber teurer.",Unterführungen,True,0.0,x,0,x,x,0,1,Straßentunnel,,,,,,,,,,,,,0,23,23,23,,,,,,,,,,,,,,,,,50,17.324,3,2.84330606461,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,48,Kinder sollen sich auf dem __________ sicher fühlen können.,Gehweg,False,0.0,x,0,x,x,0,1,Fußgängerweg,,,,,,,,,,,,,0,24,24,24,,,,,,,,,,,,,,,,,50,12.237,2,6.23502707481,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,19,Im Urlaub __________ ich jeden Tag bei einem alten Wrack getaucht.,bin,False,0.0,x,0,x,x,0,1,habe,,,,,,,,,,,,,0,25,25,25,,,,,,,,,,,,,,,,,50,9.294,7,4.19002103806,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,58,Im Magisterstudium musste man mehr __________ schreiben als im BA-Studium.,Seminarsarbeiten,False,0.0,x,0,x,x,0,1,Seminararbeiten,,,,,,,,,,,,,0,26,26,26,,,,,,,,,,,,,,,,,100,13.763,3,13.0638129711,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,38,"Die Teilnehmerinnen wussten überwiegend nicht, was  __________ ist.",Tupper-Ware,False,0.0,x,0,x,x,0,1,Tupperware,,,,,,,,,,,,,0,27,27,27,,,,,,,,,,,,,,,,,100,8.596,5,3.15912508965,2017_Jun_22_1142,60.1546927729,split,001,943,
schreib,x,29,"Kim sah sich das Tennisspiel an, solange sie am __________ war.",Tee trinken,True,0.0,x,0,x,x,0,1,Teetrinken,,,,,,,,,,,,,0,28,28,28,,,,,,,,,,,,,,,,,5,10.259,4,8.87863612175,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,7,Chris besitzt eine große __________ .,Schwertsammlung,False,0.20263783,coll,0,Schwert,Sammlung,1,1,Schwertersammlung,,,,,,,,,,,,,0,29,29,29,,,,,,,,,,,,,,,,,100,8.398,4,9.7432448864,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,39,Außer  __________ kann ich leider nichts mitbringen.,dem Essen,False,0.0,x,0,x,x,0,2,das Essen,,,,,,,,,,,,,0,30,30,30,,,,,,,,,,,,,,,,,90,18.789,9,2.39435791969,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,n,10,In einem physikalischen Experiment hat Max verschiedene __________ gemessen.,Kraftstärken,False,0.5575868,pl,0,Kraft,Stärke,0,2,Kräftestärken,,,,,,,,,,,,,0,31,31,31,,,,,,,,,,,,,,,,,0,10.737,6,3.22572612762,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,37,Die Gäste suchen die Wohnung des Herrn __________.,Gantenbeins,True,0.0,x,0,x,x,0,2,Gantenbein,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,,,100,12.869,8,5.83309602737,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,n,12,Für jedes Pixel seines Bildschirmkunstwerks hat Jonas gesondert eine __________ festgelegt.,Punktefarbe,True,0.2778716,sg,0,Punkt,Farbe,0,2,Punktfarbe,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,,,100,9.89,4,3.275578022,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,43,Die Autos beider  __________ Fahrer wurden verschrottet.,beteiligten,True,0.0,x,0,x,x,0,2,beteiligter,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,,,0,10.541,6,9.15738511086,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,49,Nora hätte sich beim Einsteigen beinah an der __________ verletzt.,Wagentür,False,0.0,x,0,x,x,0,2,Autotür,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,,,50,7.769,4,3.79095315933,2017_Jun_22_1142,60.1546927729,split,001,943,
schreib,x,26,"Benjamin ruft seinen Freund an, weil er eine Frage zum __________ hat.",Bergsteigen,False,0.0,x,0,x,x,0,2,Berg Steigen,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,,,0,8.958,7,11.2028830051,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,22,"Teilnehmen kann nur, wer schon mindestens drei Marathons gelaufen __________ .",hat,True,0.0,x,0,x,x,0,2,ist,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,,,50,10.26,7,3.40854907036,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,4,Auf seinem üblichen Wanderweg wurde Marcel von einer neuen __________ überrascht.,Wegebeschriftung,True,0.34460415,indiv,0,Weg,Beschriftung,0,2,Wegbeschriftung,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,,,95,15.393,7,2.6271378994,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,55,Maria und Jenny haben __________ Bilder von ihren Familienurlauben gezeigt.,einander,True,0.0,x,0,x,x,0,2,sich gegenseitig,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,,,50,12.667,7,6.15196204185,2017_Jun_22_1142,60.1546927729,split,001,943,
pl,n,16,Yannick hat ein Hemd mit einem besonderen __________ anfertigen lassen.,Hemdenschlitz,True,0.5650076,sg,0,Hemd,Schlitz,0,2,Hemdschlitz,,,,,,,,,,,,,0,40,40,40,,,,,,,,,,,,,,,,,90,10.408,4,3.22575092316,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,53,Ullis Hund sprang um uns herum vor __________ .,Wiedersehensfreude,False,0.0,x,0,x,x,0,2,Wiedersehenfreude,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,,,0,13.351,2,2.92629814148,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,6,"Svenja gab Leon das Stück Holz, damit er einen korrekten __________ machen konnte.",Brettschliff,False,0.45619727,indiv,1,Brett,Schliff,0,2,Bretterschliff,,,,,,,,,,,,,0,42,42,42,,,,,,,,,,,,,,,,,10,13.631,8,12.2198040485,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,18,Svens Feuer __________ noch einmal kurz aufgeflammt.,hat,True,0.0,x,0,x,x,0,2,ist,,,,,,,,,,,,,0,43,43,43,,,,,,,,,,,,,,,,,70,14.68,3,9.90506887436,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,8,Nach dem Fechtunfall hatte Jonas einen __________ auf dem linken Oberarm.,Schwertabdruck,False,0.20263783,indiv,0,Schwert,Abdruck,0,2,Schwerterabdruck,,,,,,,,,,,,,0,44,44,44,,,,,,,,,,,,,,,,,0,12.332,8,8.1969537735,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,47,"Frederick beobachtete einen Einbruch, konnte aber im __________ niemanden erkennen.",Mondschimmer,True,0.0,x,0,x,x,0,2,Mondschein,,,,,,,,,,,,,0,45,45,45,,,,,,,,,,,,,,,,,60,17.702,4,10.9225580692,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,51,Man darf im Büro nicht beim __________ erwischt werden.,Nichtstun,False,0.0,x,0,x,x,0,2,Nichtsmachen,,,,,,,,,,,,,0,46,46,46,,,,,,,,,,,,,,,,,0,13.234,9,2.79341411591,2017_Jun_22_1142,60.1546927729,split,001,943,
x,x,45,Wir  __________ das Auto dem Mann mehr als gerne.,übergaben,False,0.0,x,0,x,x,0,2,überließen,,,,,,,,,,,,,0,47,47,47,,,,,,,,,,,,,,,,,50,12.155,4,7.46551418304,2017_Jun_22_1142,60.1546927729,split,001,943,
coll,n,2,Neben dem __________ in Lankwitz gab es bis vor kurzem noch einen Kiosk.,Bädereingang,True,0.984017,indiv,2,Bad,Eingang,0,2,Badeingang,,,,,,,,,,,,,0,48,48,48,,,,,,,,,,,,,,,,,10,16.06,9,6.16864895821,2017_Jun_22_1142,60.1546927729,split,001,943,
