N2	F_LE	F_NLE
Album	325	5439
Ansammlung	268	369
Anteil	2707	11406
Anzahl	974	1672
Archiv	388	3784
Armee	196	952
Aufstand	262	283
Ausschuss	498	7595
Austausch	1860	2613
Auswahl	1223	4366
Band	1612	21888
Beirat	506	1860
Berg	3656	11756
Bewegung	3235	10449
Block	1614	6745
Brut	207	305
Bund	2217	5831
Bündel	387	668
Bundesliga	47	193
Bündnis	190	813
Clan	167	96
Club	910	9900
Collage	33	372
Datenbank	470	1916
Demo	64	339
Demonstration	264	496
Dreieck	303	896
Duell	198	1208
Duo	363	721
Ensemble	287	1362
Essay	0	76
Fluss	567	4017
Flut	451	1559
Folge	10290	5202
Förderung	945	5083
Freundschaft	389	2512
Gabel	52	852
Gabelung	51	258
Gemeinde	7082	9296
Gemeinschaft	4386	9063
Geschwader	39	280
Gesellschaft	4627	17977
Gruppe	12333	42895
Händler	2173	7763
Haufen	936	3054
Heer	156	356
Heim	3313	14387
Horde	134	195
Hort	300	144
Hügel	393	1011
Jury	157	661
Katalog	1637	3426
Kette	2038	8369
Klasse	2618	16363
Klub	202	1670
Klumpen	4	192
Kollektion	208	697
Kollektiv	316	217
Kolonie	189	730
Kolonne	107	438
Kombination	1782	1810
Komplex	462	2775
Konferenz	834	10397
Kongress	435	1471
Konkurrenz	195	372
Kontakt	1354	5340
Kooperation	58	273
Kreis	7866	38362
Kreuzung	425	568
Lexikon	347	823
Liste	4067	17888
Mannschaft	3680	6048
Masse	1548	10186
Meer	2409	1676
Mehrheit	627	235
Meisterschaft	549	5165
Menge	1634	10215
Meute	102	58
Mischung	543	2069
Mix	304	1734
Netz	3520	11474
Netzwerk	552	2321
Orchester	266	2517
Orden	237	1666
Organisation	1966	8136
Paar	2284	5452
Paarung	52	292
Parlament	357	1973
Partei	408	3476
Partnerschaft	796	378
Party	460	3246
Plenum	25	86
Quartett	163	264
Quote	1226	3477
Rat	3394	20918
Regierung	214	2023
Reihe	2798	10723
Rennen	1261	3777
Rudel	215	54
Runde	500	4130
Sammler	708	853
Sammlung	3279	5602
Schar	581	1603
Schwarm	533	564
Schwemme	79	121
Sequenz	65	2265
Serie	1267	6124
Set	473	4306
Staffel	274	836
Stapel	305	635
Strecke	586	10860
Strom	1332	9233
Synode	58	348
Tausch	878	1232
Team	3243	11420
Treff	828	2863
Treffen	1964	4535
Trio	215	452
Übersicht	397	1755
Umkreis	4	4
Union	274	1171
Veranstaltung	670	10535
Verband	6324	23455
Verbandes	0	0
Verbindung	1083	8978
Verbindungen	0	0
Verbund	303	1525
Verein	4711	22746
Vereinigung	752	2153
Vergleich	936	4767
Verhau	5	66
Vermehrer	19	16
Versammlung	9259	8393
Verteiler	70	617
Verteilung	1590	2962
Verwechslung	19	8
Verzeichnis	1440	4633
Verzweigung	15	25
Wechsel	4406	16928
Welle	337	9230
Wettkampf	221	746
Zaun	303	1798
Zeile	1122	8123
Zusammenführung	250	34
Zusammenhang	125	666
Zusammenschluss	35	93
Zusammenstellung	101	286
Zweikampf	5	7
Zyklen	0	0
Zyklus	381	1266
