subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.42088508606,56,63.643,,,,,,,,,,,,,,,,,2017_Jun_19_1056,60.1420994295,split,001,872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.37920999527,j,8.79557204247,,,,,,,,,,,,,2017_Jun_19_1056,60.1420994295,split,001,872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.39890694618,,,,,,,,,,,2017_Jun_19_1056,60.1420994295,split,001,872,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,9.727,4,3.65795683861,space,5.53679895401,,,,,2017_Jun_19_1056,60.1420994295,split,001,872,
x,x,25,Die moderne Kindererziehung ist durch ein starkes __________ gekennzeichnet.,Sicherheitsdenken,True,0.0,x,0,x,x,0,2,Sicherheits-Denken,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,11.926,7,2.61053395271,2017_Jun_19_1056,60.1420994295,split,001,872,
coll,n,8,Nach dem Fechtunfall hatte Jonas einen __________ auf dem linken Oberarm.,Schwerterabdruck,True,0.20263783,indiv,0,Schwert,Abdruck,0,2,Schwertabdruck,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,100,13.017,9,3.74115896225,2017_Jun_19_1056,60.1420994295,split,001,872,
x,x,35,Unter keinen Umständen können  __________ vor Dezember stattfinden.,Neu-Wahlen,True,0.0,x,0,x,x,0,2,Neuwahlen,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,100,8.543,4,4.14017415047,2017_Jun_19_1056,60.1420994295,split,001,872,
x,x,45,Wir  __________ das Auto dem Mann mehr als gerne.,übergaben,False,0.0,x,0,x,x,0,2,überließen,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,41,14.165,9,3.25900292397,2017_Jun_19_1056,60.1420994295,split,001,872,
x,x,55,Maria und Jenny haben __________ Bilder von ihren Familienurlauben gezeigt.,einander,True,0.0,x,0,x,x,0,2,sich gegenseitig,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,91,11.453,2,4.57252287865,2017_Jun_19_1056,60.1420994295,split,001,872,
schreib,x,26,"Benjamin ruft seinen Freund an, weil er eine Frage zum __________ hat.",Berg Steigen,True,0.0,x,0,x,x,0,2,Bergsteigen,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,91,8.859,8,3.0594830513,2017_Jun_19_1056,60.1420994295,split,001,872,
