Wie viele ‘K’ sehen Sie in folgender Zeichenfolge?	KLKKSLK
Wieviel ist 4+3?	#
Wie viele ‘P’ stehen hier am Anfang eines Fantasieworts?	Kleu Puwetz dang pock
Wie viele Buchstaben in folgender Zeichenfolge sind kein ‘i’?	KiuqkKUvic
Wieviel ist 2x4?	#
Welche Ziffer ist in folgendem Muster weiter von der 5 entfernt?	6       5   1
Wie oft steht hier das ‘h’ nicht am Ende eines Fantasieworts?	Dahl basch hos hadil
Welche Zahl ist größer?	9       7
Wie viele Fantasiewörter sehen Sie hier?	E wei Kli ded
Welche Ziffer kommt in dieser Zeichenfolge zuerst vor?	awe5vcaw3iibc1
Wieviel ist 9–4?	#
Drücken Sie die folgende Ziffer.	4
Welche dieser Zahlen ist kleiner?	2         4
Wieviel ist 9/3?	#
Wie viele ‘d’ sehen Sie hier?	DdDDdddDD
Das wievielte Fantasiewort beginnt hier mit ‘g’?	Heg Giki gorf Tigo
Wieviel ist 7–1?	#
Drücken Sie die folgende Ziffer.	9
Wieviel ist 5+0?	#
Wie viele ‘w’ sehen Sie hier?	wwwwwwww
Drücken Sie die folgende Ziffer.	3
Welche Zahl ist größer?	6   5
Wie oft steht hier das ‘k’ mitten im Fantasiewort?	ajos mikon oklo
Wie viele ‘v’ sehen Sie in folgender Zeichenfolge?	vnvnnvnuvn
Wieviel ist 1+2*3?	#
Nennen Sie einen ganzzahligen Teiler von 8.	#
Welche Zahl kommt hier mehr als zweimal vor?	3   8   5   2   8   7   2   8
Wie viele ‘x’ sehen Sie in folgender Zeichenfolge?	xxXxXXxXXxxxXX
Setzen Sie diese Reihe fort.	2   4   6
Setzen Sie diese Reihe fort.	1   3   5
Wie viele Buchstaben in folgender Zeichenfolge sind kein ‘j’?	ijiiijijijijj
Was ist die Differenz zwischen 7 und 3?	#
Welche dieser Zahlen ist die kleinste?	4   7   2   9   6
Welche dieser Zahlen ist die größte?	4   7   2   9   6
Was ist die Quadratwurzel aus 4?	#
Wieviel ist 102–99?	#
Drücken Sie die folgende Ziffer.	3
Drücken Sie irgendeine der folgenden Ziffern.	4   7   2   9   6
Drücken Sie irgendeine der folgenden Ziffern.	3   8   5   2   8   7   2   8
Drücken Sie irgendeine Ziffer, die hier nicht vorkommt.	4   7   2   9   6
Drücken Sie irgendeine Ziffer, die hier nicht vorkommt.	3   8   5   2   8   7   2   8
Welche dieser Zahlen ist die größte?	1   7   7   8   6   7   2
