subExp,govComp,idx,sentence,opt1,swapped,prodQuotN1,cond,fNoLe,n1,n2,fLe,block,opt2,introloop1.thisRepN,introloop1.thisTrialN,introloop1.thisN,introloop1.thisIndex,introloop2.thisRepN,introloop2.thisTrialN,introloop2.thisN,introloop2.thisIndex,testruns.thisRepN,testruns.thisTrialN,testruns.thisN,testruns.thisIndex,realruns.thisRepN,realruns.thisTrialN,realruns.thisN,realruns.thisIndex,key_resp_2.keys,key_resp_2.rt,rating_2.response,rating_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,rating_3.response,rating_3.rt,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,rating.response,rating.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.33977603912,50,27.364,,,,,,,,,,,,,,,,,2017_Jun_20_1013,60.1424443823,split,001,116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,6.92465877533,j,9.75989103317,,,,,,,,,,,,,2017_Jun_20_1013,60.1424443823,split,001,116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.23750400543,,,,,,,,,,,2017_Jun_20_1013,60.1424443823,split,001,116,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,7.713,4,7.0786960125,space,8.21357011795,,,,,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,56,Auf __________ wird nur ein sehr geringes Pfand erhoben.,Bierflaschen,True,0.0,x,0,x,x,0,1,Biersflaschen,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,0,7.39,8,4.55582404137,2017_Jun_20_1013,60.1424443823,split,001,116,
pl,y,11,Die Düsseldorfer Friedhofsverwaltung hat heute erst eine __________ bearbeitet.,Grabbuchung,False,0.5313495,sg,0,Grab,Buchung,0,1,Gräberbuchung,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,50,11.902,3,2.67698788643,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,19,Im Urlaub __________ ich jeden Tag bei einem alten Wrack getaucht.,bin,False,0.0,x,0,x,x,0,1,habe,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,0,11.756,8,2.49425387383,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,42,Im Fernrohr sahen wir den roten  __________ ganz deutlich.,Planet,False,0.0,x,0,x,x,0,1,Planeten,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,100,9.01,9,3.8741209507,2017_Jun_20_1013,60.1424443823,split,001,116,
schreib,x,28,"Maria hat einen Kopfhörer gekauft, nachdem sie ihn __________ hatte.",probegehört,False,0.0,x,0,x,x,0,1,Probe gehört,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,0,11.685,2,5.08788704872,2017_Jun_20_1013,60.1424443823,split,001,116,
coll,n,7,Chris besitzt eine große __________ .,Schwertsammlung,False,0.20263783,coll,0,Schwert,Sammlung,1,1,Schwertersammlung,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,50,9.878,6,2.42768001556,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,34,Er wurde trotz des bekannten Skandals  __________.,wieder gewählt,False,0.0,x,0,x,x,0,1,wiedergewählt,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,90,12.138,9,2.24477601051,2017_Jun_20_1013,60.1424443823,split,001,116,
pl,y,13,In einer Biologie-Studie führt Johanna viele __________ durch.,Blätteranalysen,True,0.5334598,pl,0,Blatt,Analyse,0,1,Blattanalysen,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,100,6.679,8,10.0365271568,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,48,Kinder sollen sich auf dem __________ sicher fühlen können.,Gehweg,False,0.0,x,0,x,x,0,1,Fußgängerweg,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,50,10.639,4,3.77436280251,2017_Jun_20_1013,60.1424443823,split,001,116,
schreib,x,30,"Melanie mag Fußball, weil es ein Sport zum __________ ist.",Spaßhaben,False,0.0,x,0,x,x,0,1,Spaß haben,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,87,12.201,1,3.85751199722,2017_Jun_20_1013,60.1424443823,split,001,116,
x,x,23,Die Gruppe __________ kurz vor dem Gipfel umgedreht.,ist,False,0.0,x,0,x,x,0,1,hat,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,0,8.199,4,5.9026119709,2017_Jun_20_1013,60.1424443823,split,001,116,
